# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1280762770
# output
#   file = output_cal_pl_Ka_EPs_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.133641
# Diagonal elements of inverse mass matrix:
# 0.0754687, 0.0162321, 0.759125, 0.0334711, 0.264034, 0.0232917, 0.0209129, 0.0352098, 0.0128079, 0.0497445, 0.0534377, 0.213027, 0.0866157, 0.0163733, 0.171613, 0.0596702, 0.717871, 0.0992627, 0.0821559, 0.0789428, 2.68795, 0.0546912, 0.092547, 0.456879, 0.0164929, 0.209172, 0.669475, 1.54005, 0.519317, 0.0704359, 0.525178, 1.09054, 0.0767534, 0.0394969
-2576.79,0.869893,0.133641,5,31,0,2591.4,73.9026,34.3076,219.45,24.7337,215.094,78.993,47.0457,19.4751,43.3804,18.9229,109.616,167.332,19.6033,23.9057,71.3562,0.0744038,-1.43271,-2.09791,-2.46837,-5.09461,-0.329742,-2.90206,-3.83695,-3.44186,-5.22926,-2.70295,-0.484793,-0.175375,-4.73105,-4.77293,-1.12,2.19907,-3.21586,1.51612,0.238662,0.122713,0.0847229,0.00612972,0.719109,0.0549102,0.0215593,0.0320052,0.00535749,0.0670076,0.615825,0.839143,0.00881724,0.00845557,0.326279,-35.0861,-41.8373,-43.5124,-49.5953,-42.3301,-39.452,-55.4087,-42.9022,-38.349,-48.7321,-51.623,-47.146,-35.4309,-42.8592,-45.3187,-42.6529,-36.5046,-34.2248,-45.1442,-39.426,-34.5661,-45.4606,-34.1165,-49.3485,-37.7495,-42.7891,-37.5675,-38.0771,-33.0724,-43.1786,-38.619,-40.2406,-49.0054,-54.6052,-36.7195,-36.4705,-34.8437,-38.5739,-43.7914,-49.3869,-47.8767,-49.9178,-50.6102,-47.8459,-37.7267,-32.1072,-43.5736,-41.4463,-44.9401,-32.8876,-39.6809,-44.8617,-42.5661,-36.2629,-46.3895,-27.9613,-45.4821,-57.0189,-48.0947,-34.1129,-40.8503,-46.8281
-2575.41,0.369847,0.133641,5,63,0,2598.41,97.5031,33.005,278.452,29.8595,168.183,70.141,49.1612,25.6672,45.2827,10.4413,125.055,200.597,20.1507,29.6121,64.0162,0.0638569,-1.13891,-3.7556,-1.56621,-5.29626,-0.85934,-4.34195,-4.75552,-1.97911,-5.43751,-4.04512,-1.9111,-0.0433282,-3.37077,-4.24465,-0.741847,2.08936,-2.32197,1.63632,0.320167,0.0233864,0.208835,0.00501032,0.423441,0.0130112,0.00860404,0.138192,0.00435031,0.0175075,0.147917,0.957597,0.0343632,0.0143408,0.476234,-33.3617,-41.6163,-41.3988,-49.8061,-42.0946,-40.4841,-55.3631,-42.2595,-38.5275,-50.2445,-53.4978,-46.9123,-34.2864,-40.7914,-45.9449,-42.8501,-36.3621,-34.2725,-44.0575,-39.1555,-34.308,-44.162,-33.9121,-50.0035,-39.486,-44.0333,-36.7627,-37.7152,-33.8296,-43.6581,-37.9709,-39.5451,-48.9805,-55.1135,-36.0102,-37.3101,-34.0423,-37.9995,-42.8591,-51.9921,-50.2898,-49.4048,-50.6385,-48.1323,-38.8353,-30.872,-43.4653,-40.974,-45.8328,-32.7975,-40.7024,-44.6676,-41.7476,-35.5676,-45.8805,-27.503,-44.9715,-58.2358,-48.4204,-32.8478,-40.2332,-46.2806
-2572.16,0.975759,0.133641,5,31,0,2588.76,72.9821,42.7031,201.706,34.2993,101.959,82.9164,67.5133,20.7537,45.8566,17.7264,169.233,172.436,33.918,34.5612,132.358,0.0763139,-2.83509,-2.28987,-3.48455,-4.47993,-3.94015,-3.22309,-3.10093,-2.82858,-5.01108,-2.88675,-0.0560599,-1.18373,-1.88238,-3.54412,-2.26397,2.307,-3.55029,1.64347,0.058713,0.101279,0.0306675,0.0113342,0.0194454,0.0398319,0.0450074,0.0590969,0.00666372,0.055757,0.945482,0.306136,0.152227,0.0288942,0.103937,-34.5641,-42.0631,-42.551,-50.2807,-40.7175,-39.1402,-54.2439,-43.0512,-40.1879,-48.189,-52.3341,-46.501,-35.2935,-47.3588,-45.1233,-43.1052,-35.9854,-33.4352,-44.5941,-38.8228,-33.2485,-45.716,-33.7892,-50.9075,-38.6678,-42.9585,-36.751,-38.2991,-33.5849,-43.1015,-38.6991,-40.2446,-48.6736,-53.1931,-36.1534,-37.1293,-34.3963,-37.6393,-43.09,-50.9673,-48.9113,-50.1665,-50.5501,-48.1078,-38.3316,-32.8821,-43.5005,-40.5759,-44.8127,-33.6646,-40.9419,-44.8569,-42.8812,-35.6099,-46.1138,-28.7464,-46.7333,-56.3362,-49.3977,-33.5787,-40.9417,-46.6093
-2567.93,0.966408,0.133641,5,63,0,2583.26,67.5469,40.9849,256.096,38.4495,151.908,93.4774,63.2745,28.9829,48.3567,19.5998,126.784,186.451,54.12,38.2137,92.3558,0.07469,-2.16451,-2.24746,-2.413,-4.90716,-2.45536,-3.42009,-3.02055,-2.19924,-5.57845,-3.29713,-0.0760537,-0.981348,-2.12429,-4.11986,-1.37474,2.09609,-2.4483,1.40033,0.114807,0.105668,0.0895459,0.00739343,0.0858326,0.0327096,0.0487743,0.110888,0.00377843,0.0369893,0.926766,0.374806,0.119517,0.0162468,0.252904,-34.6208,-41.4927,-42.7021,-50.7665,-42.5267,-40.2398,-54.6349,-41.9243,-38.5885,-50.5394,-51.9669,-46.3703,-35.234,-42.9741,-43.9126,-44.2504,-36.2261,-33.72,-43.6526,-38.2754,-34.3061,-45.4794,-34.8449,-51.752,-38.6581,-41.5171,-36.62,-37.7235,-33.9615,-42.7758,-38.1297,-41.0484,-48.4447,-53.5308,-36.1832,-37.4508,-34.7986,-37.9074,-43.3923,-49.0873,-49.266,-49.8466,-49.2491,-50.4817,-36.8449,-32.5084,-43.6143,-40.1704,-45.1118,-33.8318,-39.2566,-45.452,-41.945,-36.0618,-45.6762,-28.4672,-46.5557,-57.34,-47.6041,-34.4949,-40.8204,-46.1585
-2571.55,0.964911,0.133641,6,63,0,2583.75,62.9169,31.563,196.458,28.4309,122.684,68.8844,44.8724,20.7338,42.6127,15.3714,148.243,198.587,22.2702,27.2508,116.715,0.0283739,-3.1138,-3.20794,-4.06083,-5.16394,-3.65094,-4.77506,-4.02248,-2.50344,-5.52459,-4.65367,-1.38092,-0.309184,-2.52316,-4.95999,-1.27815,2.02791,-3.24852,1.57206,0.044432,0.0404398,0.0172348,0.00571912,0.0259667,0.00843754,0.0179085,0.0818032,0.0039875,0.00952659,0.251348,0.734046,0.0802057,0.007013,0.278551,-33.0302,-41.3193,-41.9635,-48.9538,-41.1029,-39.1559,-55.7623,-43.3518,-37.7962,-48.3935,-50.9423,-47.4948,-34.3966,-45.1343,-46.3508,-42.2377,-37.0304,-33.8902,-45.0603,-38.7025,-33.9929,-46.7174,-33.599,-47.8035,-38.928,-42.75,-38.3944,-38.9287,-31.6147,-43.6685,-38.2894,-40.7276,-49.3232,-54.3513,-36.7269,-36.853,-34.2952,-38.2603,-43.7462,-49.3359,-47.2732,-50.9567,-50.3113,-48.4738,-38.5543,-31.7464,-44.4197,-41.9321,-44.852,-32.7371,-39.4622,-46.2825,-42.0576,-35.7722,-46.588,-28.3144,-45.6644,-57.7026,-48.2249,-33.9828,-41.7989,-46.9062
-2573.84,0.791937,0.133641,6,95,0,2587.84,52.4446,32.9291,219.216,30.9268,106.775,79.0596,44.8852,23.3979,45.115,9.546,121.983,216.913,23.9311,28.1025,115.443,0.0287425,-3.90973,-4.51713,-3.60462,-5.43696,-3.19637,-4.02633,-5.19892,-4.13923,-5.47308,-5.541,-0.23718,-0.429011,-4.78233,-5.21557,-2.56492,2.10912,-3.52285,1.515,0.0200459,0.0109203,0.0271977,0.0043527,0.0409103,0.0178397,0.00552254,0.0159352,0.00419826,0.00392259,0.788849,0.651153,0.00837649,0.00543135,0.0769256,-33.8944,-41.153,-42.4317,-51.6989,-42.1801,-39.8894,-54.0013,-42.2909,-38.7404,-51.3164,-51.6815,-47.4763,-34.9284,-46.0191,-46.1777,-45.0131,-35.8889,-34.6476,-44.271,-39.3178,-34.4717,-45.5946,-33.9896,-48.9307,-37.7345,-44.8122,-37.9259,-38.1224,-31.5578,-43.1265,-37.7446,-39.9897,-47.5203,-55.1179,-37.3094,-36.766,-34.3559,-38.5905,-43.5148,-49.1364,-49.9437,-49.3018,-51.2164,-47.418,-38.0181,-31.7345,-43.8085,-40.2064,-45.8042,-33.5348,-39.3596,-45.0451,-41.6157,-36.3619,-45.2654,-27.3773,-44.9818,-56.6277,-47.3436,-34.5704,-40.7592,-46.0682
