# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kgamma_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1280763017
# output
#   file = output_cal_pl_Ka_Kgamma_EPs_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.148005
# Diagonal elements of inverse mass matrix:
# 0.0896156, 0.0219931, 0.252757, 0.0408073, 0.112352, 0.0172011, 0.030935, 0.0386696, 0.0180558, 0.0693074, 0.0409247, 0.126722, 0.100723, 0.022224, 0.188869, 0.599017, 0.290323, 0.227198, 0.507253, 0.443683, 0.297278, 0.372897, 0.684159, 0.156787, 0.483959, 0.479767, 0.128441, 0.618436, 0.687797, 0.909049, 1.0976, 0.133387, 0.751338, 0.330056, 0.146865, 0.268462, 0.508187, 0.185648, 0.370804, 0.336342, 0.243885, 0.526247, 1.08097, 1.24845, 0.409725, 0.534665, 0.440423, 2.88666, 0.131768, 0.0896718
-2565.98,0.995925,0.148005,4,15,0,2591.14,60.7505,37.0031,226.154,37.9074,115.305,80.3292,57.3784,27.1862,64.2961,15.5583,120.852,225.923,24.3802,32.1979,75.8608,0.0551646,0.179995,0.10643,0.167077,0.12292,0.132122,0.0646776,0.0550167,0.375108,0.184209,0.0626602,0.0300828,0.0291437,0.216256,0.118597,-1.87603,0.976591,-3.98155,-2.48238,-2.05407,-3.96839,-3.60365,-3.7308,-3.95983,-1.32116,-2.59284,-4.44218,-0.616736,-0.310304,-4.55701,-2.51587,-2.36907,2.03235,-2.62756,1.25658,0.0186567,0.0835443,0.128212,0.0189038,0.0272243,0.0239737,0.0190663,0.266824,0.074807,0.0117703,0.539703,0.733224,0.0104934,0.0807922,0.0935673,-33.4137,-40.9479,-40.2781,-51.0926,-42.1456,-41.0306,-54.8507,-41.179,-38.8888,-50.0072,-51.1896,-45.9513,-34.4009,-41.8504,-46.0065,-44.3254,-36.9387,-34.0743,-43.7189,-38.6593,-34.0029,-44.1705,-34.3833,-48.1266,-38.4163,-43.3195,-37.508,-38.5587,-32.7793,-42.83,-37.6544,-39.9441,-49.5615,-54.6237,-36.6477,-37.8158,-34.7428,-37.8391,-43.4368,-49.1034,-50.3102,-50.6909,-48.0883,-51.7442,-38.3172,-32.2139,-43.1433,-39.9285,-45.5269,-32.8194,-39.8583,-46.4563,-41.2385,-36.1283,-45.682,-28.2026,-44.9316,-56.911,-46.8303,-33.7786,-41.8147,-45.2817
-2557.65,0.991047,0.148005,5,31,0,2592.53,83.1513,36.9501,226.34,35.5699,152.161,75.7902,55.2258,20.6475,59.8848,20.4549,176.67,175.077,33.2912,31.3806,74.9745,0.118102,0.0783837,0.141047,0.131056,0.12471,0.115093,0.19674,0.158015,0.242768,0.190362,0.0549157,0.0943988,0.114477,0.157516,0.0820958,-1.877,0.587842,-1.45816,-3.01053,-2.92536,-4.72936,-1.90452,-3.96838,-3.3689,-2.37264,-3.59002,-4.14994,-0.317325,-0.781882,-3.20147,-5.15868,-3.55897,2.0626,-3.09798,1.62461,0.232665,0.0492658,0.0536454,0.00883215,0.148894,0.018904,0.0344273,0.0932339,0.0275979,0.0157654,0.728094,0.457544,0.0407021,0.00574926,0.028468,-34.7227,-41.014,-42.3457,-50.4178,-41.1663,-38.2233,-54.4882,-42.3054,-38.8191,-46.9068,-49.7799,-46.8996,-34.4513,-45.5453,-45.051,-42.3263,-36.2712,-33.8898,-44.9466,-39.1754,-33.9619,-45.433,-32.8144,-51.9649,-40.2159,-43.1414,-36.747,-37.3885,-32.5883,-42.6915,-38.1374,-40.4279,-48.4054,-53.2581,-36.3059,-37.2991,-34.1826,-37.5548,-43.0266,-50.9269,-49.4245,-49.3691,-49.0377,-49.3946,-38.3244,-31.8178,-43.5463,-40.8872,-46.4225,-33.4278,-41.0622,-45.2316,-42.5986,-35.1518,-46.3755,-28.2503,-45.6301,-56.8583,-48.6522,-33.9906,-40.9012,-46.4706
-2556.89,0.886822,0.148005,5,31,0,2578.89,61.0517,37.0883,243.093,48.93,140.963,82.2638,57.4065,22.2625,60.973,17.1104,104.733,192.969,42.2896,43.5784,88.1054,0.141236,0.101162,0.159628,0.217408,0.155729,0.199726,0.194188,0.116477,0.367113,0.128014,0.11016,0.0584245,0.137887,0.287038,0.198929,-1.707,0.568941,-1.56798,-2.30312,-1.37653,-2.18385,-1.93268,-2.76568,-1.66861,-1.87805,-2.64399,-1.99763,-1.01856,-0.165528,-1.22421,-1.52065,-2.24963,2.63891,-1.77052,0.584258,0.208467,0.0999462,0.252452,0.112607,0.144759,0.0629334,0.188508,0.152889,0.0710768,0.135657,0.361115,0.847446,0.293989,0.218569,0.105438,-34.0691,-41.3882,-40.287,-51.7451,-42.5454,-40.7714,-54.7874,-41.7964,-40.3741,-49.839,-51.4881,-45.5919,-35.2225,-43.1091,-44.6393,-43.9449,-37.2426,-34.3196,-43.6728,-38.754,-34.9432,-45.3695,-35.1437,-50.6901,-39.9362,-43.1967,-36.8816,-37.8401,-32.6658,-42.8752,-37.2253,-40.7536,-48.6692,-55.0605,-36.2594,-37.6462,-35.4283,-38.2815,-43.1143,-50.0019,-48.7402,-50.9577,-48.787,-52.2915,-36.7238,-32.1446,-43.2577,-40.2975,-47.5928,-32.6569,-39.6411,-46.4373,-40.8904,-36.0602,-45.2068,-27.3219,-45.3756,-56.0466,-45.8301,-34.1947,-41.9905,-44.9896
-2566.06,0.556969,0.148005,5,63,0,2583.73,83.5227,39.1044,293.825,34.2607,130.701,88.7148,60.8879,28.2917,63.0293,14.9556,167.937,187.178,30.5687,28.6996,93.0869,0.0748233,0.186891,0.184245,0.164617,0.105017,0.0556442,0.165782,0.0575444,0.222676,0.314414,0.05641,0.0458559,0.0555599,0.11517,0.151876,-1.86061,0.730866,-0.981904,-2.39968,-1.03924,-3.73218,-2.63399,-3.57582,-2.98465,-2.54592,-4.34199,-2.184,-0.207522,-1.61401,-3.11491,-4.48061,-3.48113,2.10196,-2.50567,1.11324,0.374597,0.0907468,0.353725,0.0239405,0.0717912,0.0279926,0.050557,0.0784007,0.0130106,0.11259,0.812595,0.199087,0.0443827,0.0113265,0.0307727,-33.8137,-42.9352,-41.0691,-49.6515,-41.3446,-39.4915,-53.9006,-41.5655,-40.3326,-49.8592,-51.0967,-47.0477,-35.1259,-44.203,-45.0759,-43.1805,-35.9728,-33.6891,-43.6618,-38.7876,-33.7534,-44.035,-33.3272,-51.3213,-37.8883,-42.9462,-37.5252,-38.55,-32.9257,-42.574,-38.6608,-39.8564,-48.3398,-54.6579,-36.5985,-36.6422,-34.0666,-37.2565,-44.0879,-49.9898,-49.237,-49.4756,-49.6167,-49.6607,-39.5974,-31.5461,-42.8143,-40.2773,-44.6118,-34.5076,-39.0721,-45.4234,-42.3797,-36.226,-46.4203,-29.0109,-46.5401,-56.4394,-48.646,-33.2155,-41.3599,-46.5209
-2561.78,1,0.148005,5,31,0,2584.67,61.3032,43.4025,287.548,45.5699,130.12,113.094,56.6829,27.3766,64.007,14.0771,128.328,235.52,34.4188,34.1285,71.6317,0.109187,0.155646,0.130988,0.134831,0.0945469,0.134273,0.165911,0.0673533,0.254413,0.124027,0.114194,0.0399147,0.0533819,0.265561,0.113691,-1.7554,0.762449,-3.08846,-2.70471,-1.90563,-2.99469,-3.01996,-2.45492,-3.65116,-2.82975,-3.38291,-3.3054,-1.83185,-0.61146,-3.09212,-3.37621,-3.72184,2.12683,-2.91646,0.68385,0.0455721,0.0668896,0.148729,0.0500521,0.0488032,0.0858697,0.025961,0.0590279,0.0339484,0.0366847,0.160118,0.542558,0.0454054,0.0341768,0.0241895,-33.4228,-41.2767,-40.8531,-50.0307,-42.28,-40.3088,-53.7454,-40.9462,-39.5707,-49.943,-52.2507,-45.5484,-35.301,-44.7437,-44.4302,-43.7315,-35.8734,-34.5791,-42.9988,-39.2883,-34.8034,-44.2517,-34.9568,-51.1814,-39.1408,-43.6106,-36.7706,-38.5752,-34.1522,-42.2412,-37.6852,-39.5342,-48.5024,-54.9399,-36.9029,-37.6392,-33.9116,-37.5661,-43.9146,-50.8359,-50.7984,-51.0431,-49.2683,-49.7912,-40.6912,-32.0964,-42.8898,-39.8612,-46.0288,-36.9927,-39.7123,-44.6303,-40.5703,-37.2364,-46.0792,-28.5459,-44.8405,-57.5677,-46.6619,-33.0705,-40.8757,-44.8367
-2566.91,0.787739,0.148005,5,63,0,2592.01,69.7287,31.4061,231.013,30.9784,130.945,56.87,52.0078,20.5866,55.1817,11.1061,114.142,121.49,32.5401,26.3949,105.301,0.0867396,0.147223,0.114007,0.359357,0.116257,0.166537,0.266528,0.170197,0.285098,0.297462,0.173452,0.104368,0.0795409,0.341453,0.100557,-1.52622,0.760234,-1.39618,-1.6773,-0.927364,-1.33429,-0.591453,-1.86193,-1.20727,-1.26442,-1.37531,-1.34434,-0.477128,-0.738305,-1.15246,-1.12516,-0.68217,3.87898,-1.04527,0.375661,0.247541,0.186878,0.395595,0.263346,0.553522,0.155373,0.299012,0.282404,0.252762,0.260712,0.620563,0.477923,0.31586,0.324601,0.505519,-34.5183,-42.5738,-41.7372,-51.8657,-40.9946,-39.7266,-54.7764,-42.4608,-40.3366,-46.1077,-52.1057,-47.0127,-34.9603,-44.6052,-46.6713,-43.5361,-36.4355,-35.1137,-43.893,-41.0362,-34.892,-44.7251,-33.4092,-50.0248,-39.6298,-44.9351,-37.5814,-37.7719,-32.6268,-43.2441,-39.3398,-39.6791,-48.4975,-54.8672,-36.5649,-37.5004,-35.2269,-38.5636,-43.4816,-53.9406,-50.5647,-48.4504,-49.6148,-47.747,-38.3745,-31.7065,-42.8382,-40.8612,-47.8437,-32.7382,-41.71,-44.4312,-42.3618,-35.7235,-46.3335,-26.9495,-44.1391,-57.881,-48.3052,-32.7619,-40.9191,-45.0044
