# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1442894995
# output
#   file = output_cal_g_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.442858
# Diagonal elements of inverse mass matrix:
# 0.028329, 0.00985139, 0.0416084, 0.0196517, 0.0354739, 0.00980104, 0.0221481, 0.0129703, 0.0102065, 0.0440059, 0.0162614, 0.0195792, 0.0619229, 0.0201497, 0.114437, 0.0201164, 0.012258
-2601.87,0.974351,0.442858,3,7,0,2605.44,64.5401,31.8196,177.647,42.7165,81.0156,74.432,60.3418,19.8951,61.2815,17.376,83.5811,96.8058,37.2445,30.4815,47.8147,0.249321,0.21514,-34.4836,-42.5479,-42.3187,-51.5629,-42.1851,-39.884,-55.0865,-43.083,-41.0472,-46.4925,-53.4356,-45.3845,-35.1778,-43.6662,-45.1467,-43.8889,-36.7207,-35.7933,-44.1889,-41.4835,-35.0272,-45.3039,-35.0557,-53.1471,-40.4661,-44.8592,-37.2583,-37.7368,-33.2265,-42.9131,-39.5432,-39.8988,-48.675,-54.5202,-36.6503,-38.8241,-34.8774,-38.7106,-43.8243,-54.2483,-54.3368,-49.9635,-49.2379,-50.7648,-38.0117,-33.0809,-42.8248,-40.6542,-48.6358,-35.3718,-42.7812,-44.3267,-41.1544,-37.0959,-47.1816,-28.057,-45.5338,-57.491,-48.1098,-33.6451,-41.6104,-45.4158
-2601.64,0.882772,0.442858,3,7,0,2610.04,62.0422,29.3152,170.903,39.086,87.9901,73.9429,58.6123,19.3925,62.0257,18.1661,89.9683,100.465,36.6809,29.444,54.3575,0.248755,0.222668,-34.5474,-42.4702,-42.1417,-51.4012,-42.0462,-39.7232,-54.9153,-42.8024,-41.0702,-46.2152,-52.863,-45.7739,-35.1648,-43.5221,-45.3063,-43.456,-36.6895,-35.7329,-44.3775,-41.4622,-34.9773,-45.0148,-34.5623,-54.1862,-39.8593,-44.6467,-37.5907,-37.8233,-32.1294,-42.9827,-39.8179,-40.2029,-49.1821,-54.2835,-36.6646,-38.2799,-34.7105,-38.6214,-43.9532,-54.1371,-53.5384,-50.1654,-49.0775,-51.5445,-38.3063,-32.8219,-42.8448,-40.6984,-48.4013,-34.8226,-43.0602,-44.3838,-41.3208,-36.8412,-47.7991,-28.695,-45.8532,-57.7275,-48.7973,-33.5582,-42.0336,-45.8298
-2604.02,0.845601,0.442858,3,7,0,2613.24,50.4354,32.3433,182.249,41.092,142.597,76.9636,48.8326,19.3187,63.8408,10.4711,79.8288,103.932,21.8371,30.6843,90.7043,0.299688,0.189483,-35.3727,-43.1023,-41.1818,-51.4968,-42.42,-41.3413,-55.4816,-43.2587,-41.9428,-47.4393,-53.3475,-46.299,-35.9649,-42.2842,-45.3996,-43.8579,-37.06,-36.0771,-44.9179,-41.4039,-36.0471,-44.9604,-35.6788,-52.6901,-39.2546,-45.4969,-37.3259,-39.1753,-32.9237,-43.4917,-39.0786,-39.9832,-49.4901,-55.0422,-37.0921,-37.7806,-35.4928,-38.8624,-44.0564,-52.4963,-50.9543,-50.2499,-49.4411,-50.4151,-39.0778,-33.0704,-42.3165,-41.5296,-47.1826,-35.6652,-42.5981,-44.1276,-41.0925,-36.9706,-48.0954,-27.8678,-44.9691,-58.1209,-47.0508,-32.4063,-41.7355,-44.3171
-2601.03,0.996201,0.442858,3,7,0,2610.01,62.8327,29.458,174.917,37.2446,112.984,69.92,48.3515,19.8575,58.4963,15.5951,98.625,89.305,21.8153,29.6831,73.0721,0.293686,0.202158,-35.3284,-42.8811,-41.4626,-50.7017,-41.7268,-40.1065,-55.8885,-43.349,-41.6978,-44.9684,-52.9164,-45.955,-35.3258,-42.7583,-45.5904,-42.5699,-37.2274,-35.6494,-45.2628,-41.8477,-34.9861,-45.3155,-34.7088,-50.9391,-40.2999,-45.8206,-37.4975,-38.7732,-32.7496,-43.6327,-39.5399,-40.0785,-49.7843,-54.4941,-36.6254,-38.5915,-35.2583,-38.8594,-44.2323,-54.4753,-51.9389,-49.8016,-49.5781,-49.1752,-39.0275,-32.6652,-42.6277,-41.9027,-48.0031,-34.9811,-42.7749,-44.7111,-41.4554,-36.5536,-47.7947,-28.0061,-45.1081,-58.9222,-47.8251,-33.011,-41.696,-45.0302
-2598.89,0.966601,0.442858,3,7,0,2606.64,49.8662,29.9093,182.983,42.4631,95.8034,78.4174,53.5185,21.4695,61.169,17.4598,78.6923,91.4254,21.2501,32.4735,92.2942,0.245174,0.199008,-34.7111,-42.4073,-42.0368,-50.8468,-41.9547,-40.4918,-55.2227,-43.4347,-42.1407,-47.3519,-52.8687,-45.3989,-35.7676,-43.8424,-44.6662,-43.3742,-37.2457,-35.8113,-45.2578,-41.1292,-35.416,-46.3041,-35.221,-52.4327,-39.1974,-44.9772,-36.9206,-38.4131,-32.7707,-42.8763,-39.3726,-40.2903,-48.0474,-55.0508,-36.6813,-37.6368,-34.7727,-38.9858,-43.8312,-53.0755,-51.7742,-50.847,-50.2589,-50.9837,-38.3835,-32.6382,-43.645,-41.622,-48.2474,-35.47,-41.8299,-44.5432,-40.3633,-36.5617,-47.2253,-27.9782,-45.0981,-57.7599,-46.9069,-33.9373,-41.5662,-44.4898
-2601.13,0.699328,0.442858,3,7,0,2608.5,57.7148,30.6965,179.171,30.9816,129.803,65.2425,52.122,17.2167,58.5064,14.8976,81.7948,94.2113,18.6632,31.1444,53.6271,0.264367,0.23246,-35.6476,-43.0112,-42.5357,-50.5669,-41.8092,-39.6485,-55.699,-43.5529,-40.1964,-46.4258,-52.1387,-45.7504,-34.8669,-43.2547,-46.0216,-43.3125,-36.6939,-35.6756,-44.6604,-41.744,-35.1523,-45.4571,-34.4656,-53.0736,-39.252,-46.1272,-37.6937,-38.7355,-31.9673,-43.2369,-39.2198,-39.886,-50.0499,-55.1207,-36.5996,-38.0547,-35.2876,-38.516,-43.8737,-54.7911,-51.2995,-49.7815,-49.8525,-49.97,-39.2652,-32.6419,-43.3299,-41.3982,-47.4232,-33.5801,-43.3165,-44.3199,-41.4917,-36.5389,-48.5219,-28.1568,-45.3367,-58.6092,-48.1705,-32.5753,-41.6784,-44.772
-2599.2,0.953696,0.442858,3,7,0,2608.41,49.8675,29.1271,167.04,44.9563,90.7208,77.7923,52.4743,17.7543,58.2192,14.6,79.2425,96.2821,34.825,26.9881,75.7106,0.263821,0.194857,-34.0568,-42.6417,-41.3077,-51.6727,-42.4949,-40.8292,-55.0631,-43.0481,-42.0124,-46.6718,-53.4665,-45.9799,-35.898,-42.5085,-44.9521,-43.7557,-37.2842,-36.3398,-44.8512,-40.9739,-35.8542,-45.3079,-35.4667,-52.5594,-39.7849,-44.0975,-37.3879,-38.3093,-32.8879,-43.373,-39.3278,-40.0404,-48.6051,-54.7207,-37.3603,-37.8293,-35.0929,-39.2262,-44.1921,-52.2393,-52.1712,-50.5343,-49.4371,-50.7687,-38.0896,-33.2402,-42.5361,-41.0918,-47.468,-36.2802,-42.337,-44.1805,-40.7705,-37.2263,-47.5676,-27.8277,-44.847,-56.9002,-47.1697,-33.5122,-42.009,-45.1356
-2603.39,0.809446,0.442858,3,7,0,2608.69,58.5924,34.578,183.392,38.0078,128.371,66.7557,63.2004,18.6757,63.2978,17.88,76.2043,90.1454,29.7262,29.4637,93.6054,0.241884,0.196317,-35.7905,-42.5819,-42.5362,-50.9438,-41.1696,-40.0533,-54.8507,-43.0637,-41.7879,-46.8984,-53.262,-45.9189,-35.6387,-44.6106,-45.0891,-43.74,-36.8805,-35.4283,-44.5297,-42.4079,-35.2865,-45.9505,-35.0494,-52.4558,-38.9561,-46.2738,-37.4119,-38.0082,-33.5215,-43.2301,-40.4678,-39.7819,-48.7104,-54.6823,-36.5824,-37.7075,-35.0835,-38.665,-43.6198,-53.9334,-52.3393,-49.8062,-49.7066,-50.4897,-38.7951,-32.8212,-42.7508,-41.3638,-49.7132,-34.2522,-41.0991,-44.7906,-42.4671,-36.7093,-46.7069,-27.9938,-46.3361,-57.1397,-47.6047,-33.4878,-41.6237,-44.6815
-2602.16,1,0.442858,3,15,0,2610.7,48.2456,30.7302,191.602,44.6971,133.946,80.2349,55.9671,19.3401,65.5113,20.9315,87.7718,108.559,33.1488,35.3675,63.4005,0.270725,0.193072,-35.236,-41.955,-42.346,-51.3256,-42.2202,-39.9196,-55.1596,-42.669,-40.3414,-47.0368,-52.3994,-45.6931,-35.4306,-43.1515,-44.0854,-43.3422,-36.8983,-36.0915,-44.5807,-41.1857,-36.0982,-45.5659,-35.5323,-54.1827,-39.8031,-44.6905,-37.0242,-38.421,-32.8597,-43.3375,-39.4952,-40.7186,-49.9441,-54.6,-36.9765,-37.843,-34.8797,-38.8396,-44.0076,-52.9538,-51.839,-49.9514,-48.7995,-51.6599,-39.0273,-32.752,-42.9999,-41.2973,-48.0439,-35.9159,-42.1251,-44.5102,-41.539,-36.7955,-47.7759,-28.4251,-46.0334,-58.2784,-47.3789,-33.4064,-41.8307,-45.2205
-2606.38,0.800151,0.442858,3,7,0,2613.94,55.948,32.2969,186.352,47.6396,129.556,87.0968,63.4351,21.7072,66.1636,13.1613,95.503,98.4312,30.6555,41.7746,65.8211,0.280217,0.191441,-35.7346,-42.3655,-41.8894,-51.7938,-42.6966,-40.9716,-55.3775,-42.8575,-41.4773,-46.7796,-53.2494,-45.6611,-35.7694,-42.3349,-44.2607,-43.5335,-36.7179,-35.7721,-44.7782,-41.2125,-35.5318,-45.0876,-35.7567,-52.3323,-40.2413,-45.1581,-36.6328,-38.33,-33.792,-43.2739,-39.28,-40.9388,-49.5244,-54.3099,-36.6131,-38.4342,-34.8614,-38.9306,-43.835,-53.7857,-53.0937,-50.6171,-49.0884,-51.8232,-39.2969,-32.9484,-42.6604,-41.0216,-48.9594,-35.9853,-41.6208,-45.1906,-41.1567,-36.547,-46.8268,-28.4765,-46.1413,-58.8028,-46.5327,-33.18,-41.9359,-45.0687
-2605.55,0.882703,0.442858,3,7,0,2615.24,59.6863,33.9118,220.076,33.6648,115.201,85.6592,49.8135,22.691,63.6764,13.0372,81.0835,102.402,30.5343,27.2456,56.8586,0.25117,0.20681,-34.6515,-44.1432,-42.1491,-50.4008,-42.0638,-40.1161,-55.0385,-43.9569,-41.1146,-47.774,-54.0001,-45.3818,-36.3179,-46.5102,-44.9644,-43.8429,-36.4902,-36.02,-44.5866,-40.9102,-35.5293,-45.3494,-35.1789,-53.6103,-39.4749,-44.6493,-36.6372,-38.5277,-33.3097,-42.2158,-38.4876,-39.0962,-48.3326,-54.9703,-36.7008,-38.4232,-34.9631,-38.6933,-44.6477,-53.9549,-52.8405,-50.765,-49.9862,-50.373,-39.2628,-32.8506,-43.3632,-40.9573,-47.3903,-36.1281,-42.2276,-43.7728,-40.4158,-37.686,-48.0391,-28.6305,-44.9519,-58.2741,-47.2506,-32.9519,-41.0801,-44.3737
-2614.46,0.787159,0.442858,3,7,0,2623.22,55.47,30.4897,153.586,45.2889,122.42,69.6092,40.1165,16.2273,61.0854,19.5397,102.687,88.54,26.2305,37.4307,85.5738,0.258593,0.239893,-36.1351,-41.3025,-41.9138,-52.5586,-41.9034,-40.0069,-55.2922,-42.8143,-42.1399,-45.3347,-52.2231,-46.1135,-35.185,-42.686,-45.1476,-42.6152,-37.1669,-35.1304,-45.2789,-42.2937,-35.3573,-45.4238,-34.5982,-54.242,-41.304,-46.6654,-37.7816,-37.9442,-31.17,-44.1712,-39.8616,-40.8842,-50.3896,-54.1109,-36.3695,-38.2556,-35.1926,-38.7962,-43.4894,-56.259,-52.6387,-50.0435,-50.1292,-51.9816,-37.3118,-32.6853,-43.1063,-41.8433,-50.3985,-34.0796,-43.2433,-45.8463,-42.0677,-35.7478,-47.3668,-27.6883,-45.8194,-59.606,-47.7917,-33.5238,-42.5409,-45.4191
-2610.26,1,0.442858,3,7,0,2619.42,54.3679,30.1556,199.537,31.4992,91.0666,74.2259,63.2981,18.4886,61.0784,12.052,65.3105,91.32,29.544,22.405,58.2345,0.247532,0.164373,-34.1565,-44.2976,-42.9304,-49.3094,-42.6896,-40.5122,-55.8076,-44.4398,-41.2574,-47.8658,-54.2414,-46.0954,-36.5006,-44.6274,-45.5585,-44.2061,-37.1302,-36.4738,-45.0416,-41.3635,-35.4455,-46.144,-35.4734,-50.4223,-38.2302,-44.3746,-37.4775,-38.8792,-34.2809,-42.9773,-39.9922,-39.6651,-48.4289,-55.4058,-37.4492,-37.6929,-35.3142,-39.3055,-44.8951,-51.9661,-52.899,-50.5453,-49.7105,-49.719,-39.6147,-33.016,-42.8045,-41.4022,-47.2438,-35.7372,-40.4609,-44.3127,-41.0428,-37.9591,-47.6123,-28.1492,-45.3787,-57.208,-47.326,-33.5392,-41.3755,-45.0652
-2603.64,1,0.442858,3,7,0,2616.53,58.4469,32.1173,171.766,40.0393,99.3104,81.3841,49.5035,17.3856,61.9043,10.5155,82.963,110.218,31.9209,29.2919,71.5424,0.276311,0.169792,-33.9803,-42.6977,-41.3949,-51.1506,-42.7699,-41.3129,-55.0479,-42.8583,-41.7784,-47.4369,-53.8945,-46.2111,-35.8686,-41.5348,-45.4001,-44.3099,-36.7391,-36.4255,-44.5116,-40.9598,-35.9028,-44.5795,-35.9178,-52.3592,-39.83,-44.2374,-37.0907,-39.3337,-33.2616,-43.39,-39.2381,-40.2551,-48.9337,-54.5824,-37.5595,-38.3264,-35.4181,-38.9652,-44.6326,-51.6817,-52.8679,-50.3355,-49.1174,-50.8208,-39.2757,-33.6916,-42.2327,-40.7316,-46.3833,-36.9392,-42.4094,-44.0276,-40.7816,-37.809,-48.1049,-28.1443,-45.2105,-56.9739,-47.5516,-32.7178,-41.8884,-45.0755
-2603.88,0.990077,0.442858,3,7,0,2610.27,68.6108,30.3173,196.915,37.8575,116.482,79.4556,48.0119,21.2803,62.1809,11.4998,75.3731,91.1385,36.1503,26.5129,82.6564,0.242674,0.189265,-35.1977,-43.7406,-41.979,-50.8067,-42.1563,-40.3548,-54.8408,-43.5166,-42.4354,-47.3113,-53.9444,-46.1857,-36.4791,-45.1226,-45.3124,-44.0606,-36.4236,-35.7754,-44.763,-41.1212,-35.5266,-45.2372,-35.3088,-51.563,-39.5374,-44.3919,-36.9385,-37.9124,-33.2206,-42.5478,-39.2243,-39.542,-48.3436,-54.561,-36.62,-38.5196,-34.9177,-39.0581,-44.2712,-53.1757,-52.6427,-50.452,-49.7643,-50.6856,-38.1641,-32.6737,-42.9643,-41.0155,-48.4949,-35.7889,-41.1055,-44.5117,-41.3177,-37.4996,-47.1741,-28.3513,-45.085,-58.2626,-47.6433,-33.4144,-41.4284,-44.8277
-2602.37,0.958354,0.442858,3,7,0,2613.24,51.8693,30.726,192.361,42.4806,105.224,68.9602,62.5584,18.0664,65.7638,18.118,96.0024,100.632,21.8499,30.0946,57.8333,0.27851,0.237632,-34.9676,-43.4487,-42.0727,-50.8951,-41.911,-39.478,-55.6144,-43.6298,-40.5109,-46.4251,-52.4713,-45.3743,-34.9228,-44.3435,-45.3889,-42.8314,-37.0309,-35.4311,-44.9949,-41.9881,-34.8632,-45.5265,-34.2351,-54.8667,-39.7967,-46.1267,-37.8409,-37.9355,-32.3443,-43.4149,-39.7036,-39.7655,-49.9129,-55.1268,-36.3593,-37.3131,-34.7949,-38.3113,-43.3355,-55.3632,-53.2023,-49.3757,-49.0004,-50.4343,-38.6478,-32.2105,-42.5457,-41.6907,-49.2976,-33.9773,-43.7324,-44.4684,-41.3639,-35.902,-47.9621,-27.6238,-45.2035,-59.4538,-48.2975,-32.6957,-41.444,-44.7951
-2600.92,0.892448,0.442858,3,7,0,2611.23,56.9978,31.3172,170.723,27.628,105.184,77.76,50.2959,20.1872,54.0758,14.0303,73.7246,84.9716,25.0977,27.6452,73.3896,0.263589,0.198441,-34.6241,-42.9959,-41.5115,-50.4507,-41.8877,-40.9671,-55.4633,-43.4412,-41.9526,-46.0991,-53.4673,-45.6999,-36.0312,-43.1161,-45.6145,-43.6446,-37.3583,-36.3583,-45.0693,-41.1049,-35.3642,-45.6157,-35.3785,-50.1578,-38.6644,-44.9016,-37.2302,-39.3441,-33.0926,-42.8913,-38.7227,-39.8516,-48.1048,-54.9444,-37.3215,-38.5116,-35.7017,-39.3193,-45.0557,-52.6433,-51.2053,-51.5546,-50.6003,-49.8944,-39.6279,-33.5302,-43.3615,-41.2522,-46.0937,-35.3126,-41.7466,-44.4546,-40.424,-37.7879,-48.109,-28.6891,-45.1846,-56.1799,-46.6534,-33.514,-42.1694,-44.6828
-2599.8,0.881459,0.442858,3,7,0,2609.97,51.2063,25.3685,154.835,41.5004,95.3375,61.3838,51.1623,16.5087,58.5346,14.1776,73.1704,92.9669,25.8225,24.5341,50.9724,0.250964,0.202554,-34.5692,-42.7052,-42.425,-51.2435,-42.7507,-40.0411,-55.6683,-43.3743,-40.8733,-46.815,-52.9334,-46.625,-35.2023,-41.8731,-45.785,-43.6107,-36.9453,-35.9074,-44.7306,-41.7207,-35.5986,-45.3852,-34.7204,-52.7912,-39.6019,-44.7576,-38.0721,-38.1119,-31.5791,-43.5529,-40.4396,-40.1731,-49.7681,-54.9723,-37.0747,-37.8018,-34.9504,-39.0169,-43.5898,-52.7652,-51.4846,-49.4736,-48.9983,-50.5027,-37.574,-32.4681,-42.5226,-41.4072,-48.1086,-34.4136,-42.5238,-44.1875,-41.6028,-36.5199,-47.6899,-27.6846,-44.994,-57.9763,-48.5156,-33.2736,-41.6721,-45.893
-2599.58,0.969349,0.442858,3,7,0,2606.75,53.6763,25.4017,165.332,42.0741,100.364,64.025,53.4617,15.667,58.7992,14.5509,72.6009,90.5714,21.6451,26.3088,42.7139,0.258873,0.197223,-34.6141,-42.8118,-42.5874,-50.5727,-42.8583,-40.0292,-56.2178,-43.81,-40.4431,-46.8859,-52.7861,-46.2072,-35.1448,-41.848,-45.6921,-43.4463,-37.1082,-35.8909,-45.0142,-41.432,-35.4938,-45.7417,-34.8902,-51.6718,-39.7698,-44.8271,-37.767,-38.2306,-32.2128,-43.526,-40.0084,-40.1571,-49.9377,-55.2379,-36.9551,-37.8643,-34.9566,-39.0357,-43.5213,-53.0117,-51.9779,-49.5952,-49.0394,-50.2516,-37.9683,-32.377,-42.7018,-41.7401,-48.0299,-34.5401,-42.2337,-44.3473,-41.4095,-36.4911,-47.6129,-27.3708,-44.6918,-58.5814,-48.1459,-33.1918,-41.4409,-45.7079
