# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1203076868
# output
#   file = output_cal_pl_Ka_EPs_5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.130901
# Diagonal elements of inverse mass matrix:
# 0.0749134, 0.0137561, 0.380662, 0.0573885, 0.097331, 0.0131521, 0.0243057, 0.0507049, 0.0151995, 0.0355232, 0.051499, 0.134967, 0.102973, 0.0192786, 0.253661, 0.0868719, 0.725933, 0.147676, 0.0885596, 0.103511, 0.51453, 0.0537515, 0.147909, 0.567188, 0.0449775, 0.193719, 1.14214, 1.1716, 0.444896, 0.103999, 0.960118, 2.10706, 0.081948, 0.0668253
-2567.24,0.925224,0.130901,5,31,0,2579.96,71.7367,39.293,280.669,28.0084,110.316,80.2109,49.1258,28.5887,49.4464,10.3502,149.476,184.173,44.5204,32.9157,60.3919,0.0932017,-1.95036,-2.37121,-1.66565,-5.4704,-2.90249,-3.57275,-3.98275,-0.75836,-5.03717,-4.63028,-0.357608,-0.869065,-1.0766,-3.62672,-3.03293,2.17186,-2.77622,1.94784,0.142223,0.0933678,0.189067,0.00420954,0.0548866,0.0280786,0.0186343,0.468434,0.00649207,0.00975207,0.699347,0.419344,0.340753,0.0266032,0.0481745,-33.3741,-42.219,-42.0525,-51.2806,-41.968,-39.5459,-54.53,-41.9756,-38.9888,-49.3101,-51.8047,-47.1794,-34.5573,-42.5434,-45.1282,-44.1003,-35.8492,-33.9208,-44.2244,-38.7335,-34.0651,-44.2715,-33.9455,-52.5429,-40.2112,-42.4258,-36.3355,-37.4762,-34.4051,-43.3538,-38.0587,-39.9788,-49.2514,-54.0803,-36.0334,-37.6705,-34.4704,-37.3383,-42.6136,-50.9723,-49.1512,-48.5968,-50.2963,-48.6153,-37.1287,-31.9365,-43.4528,-40.5983,-44.8003,-34.2619,-41.3501,-44.0194,-41.8475,-35.7783,-45.9499,-27.2441,-45.1083,-58.4111,-48.518,-32.8206,-40.1601,-46.1423
-2568.46,0.95805,0.130901,5,31,0,2578.78,87.6848,37.7456,262.17,35.0395,126.94,73.975,45.7858,31.9259,42.3129,11.7781,140.252,186.799,47.6,33.579,73.3467,0.0716566,-1.62619,-2.56982,-1.23285,-4.33073,-2.82704,-3.69882,-4.07126,-1.18424,-5.44738,-3.82044,-0.231019,-0.28395,-0.613329,-3.89004,-3.07091,2.14778,-3.58715,1.51496,0.196677,0.0765493,0.29146,0.0131579,0.0591875,0.0247528,0.0170559,0.305977,0.00430759,0.0219183,0.793724,0.752804,0.541545,0.0204444,0.0463788,-34.2959,-41.3214,-41.196,-50.4786,-42.5935,-40.7928,-54.92,-41.6029,-40.2665,-48.9962,-52.9271,-47.0058,-35.1024,-40.2701,-45.4338,-43.7039,-36.3053,-33.6477,-44.0047,-38.9733,-33.5811,-44.4381,-33.9316,-49.583,-39.2675,-42.736,-36.7017,-37.8463,-34.2103,-43.3615,-38.1087,-40.2202,-48.8702,-53.698,-35.8039,-38.0865,-34.5719,-37.5351,-43.2216,-50.1356,-48.035,-49.2693,-49.8227,-48.5467,-37.6975,-32.1244,-43.2929,-40.7814,-44.7103,-33.3723,-40.1669,-45.0572,-41.9928,-35.9194,-46.1098,-28.3437,-46.0817,-56.93,-47.9554,-33.7764,-40.597,-46.0299
-2571.26,0.958249,0.130901,5,31,0,2585.4,72.0392,31.845,274.33,38.6009,120.462,71.6046,45.512,29.9169,42.7738,11.2414,130.824,204.32,51.9111,30.3285,44.4531,0.0745089,-2.23297,-2.78293,-1.2353,-5.22423,-3.37532,-3.83253,-4.75718,-0.922454,-5.66016,-4.39888,-0.27931,-0.324436,-1.61952,-5.16589,-3.11267,2.05156,-2.8277,1.71069,0.10721,0.0618571,0.290747,0.0053845,0.0342071,0.0216548,0.00858978,0.397542,0.00348195,0.0122911,0.756306,0.722935,0.197994,0.00570797,0.0444819,-34.2752,-41.1855,-42.4631,-51.7484,-44.0096,-39.8432,-55.0139,-41.6573,-38.8466,-49.9336,-51.2713,-47.6838,-34.4594,-38.9549,-45.3843,-44.14,-35.7604,-34.3623,-43.801,-38.8796,-34.6376,-44.3761,-34.0176,-51.2654,-40.1267,-41.7503,-36.9336,-37.0355,-33.7228,-43.4619,-38.457,-40.9906,-50.2641,-54.4061,-36.4642,-38.1384,-34.3701,-37.8383,-42.7154,-49.9387,-48.0882,-48.1825,-48.8314,-48.8864,-36.6211,-31.6133,-43.2903,-40.4647,-45.1295,-34.0821,-40.918,-44.3542,-42.4417,-35.9595,-45.8506,-27.5412,-44.9373,-58.1175,-48.851,-33.8057,-40.1454,-47.0409
-2569.69,0.954658,0.130901,5,63,0,2588.33,76.5495,39.4644,233.682,31.4956,144.29,73.4868,44.7764,27.5941,42.5113,16.4875,140.198,146.763,28.4181,22.3131,148.392,0.0654994,-1.31478,-1.99442,-1.80164,-4.75117,-2.66541,-3.38387,-3.80591,-1.09634,-5.21593,-2.49796,-0.477642,-1.58556,-2.34301,-3.23979,-1.14419,2.30331,-2.41596,1.59986,0.268534,0.136093,0.165028,0.00864161,0.0695706,0.0339158,0.0222389,0.334092,0.00542937,0.0822523,0.620244,0.204833,0.0960377,0.0391723,0.318481,-33.3381,-42.4567,-40.8635,-50.522,-41.8233,-40.699,-54.6314,-42.5334,-40.5361,-49.1863,-53.9496,-47.4965,-35.9614,-43.1866,-45.2422,-42.8309,-36.9314,-33.576,-44.9542,-39.091,-34.0333,-44.5985,-33.85,-50.7793,-38.3809,-42.7536,-37.5469,-38.1235,-33.4713,-43.9233,-38.9075,-39.7136,-48.7803,-53.8433,-36.2602,-36.4928,-34.4217,-37.8614,-43.1501,-50.4819,-47.4794,-49.8982,-50.8154,-48.6355,-37.7839,-32.102,-43.2729,-41.585,-44.5763,-33.1654,-39.9397,-44.9034,-42.7763,-35.4712,-46.0313,-28.1408,-45.6409,-56.642,-48.705,-33.4099,-40.9074,-46.6413
-2565.8,0.870216,0.130901,5,31,0,2582.69,77.4561,37.925,224.142,40.1122,152.455,76.5066,56.6792,32.0916,48.9924,16.112,137.175,184.758,20.0555,33.6428,114.387,0.0637327,-1.03273,-2.52,-2.4726,-3.85829,-0.937366,-3.86524,-3.46476,-1.60201,-5.12114,-3.33551,-0.515445,-0.634606,-3.4745,-4.13326,-0.950454,2.12539,-2.88697,1.33858,0.356035,0.0804593,0.0843652,0.0211041,0.391658,0.0209578,0.0312805,0.201492,0.00596924,0.0355965,0.597235,0.530144,0.0309772,0.0160306,0.386566,-33.8709,-40.9963,-41.6453,-49.6623,-42.1145,-40.5997,-55.0915,-42.2234,-38.9911,-48.848,-52.4813,-46.8901,-34.7022,-41.9384,-44.734,-43.3097,-36.7986,-33.6876,-44.134,-38.4502,-33.9525,-45.4866,-33.9796,-50.1838,-38.3048,-42.6638,-36.9352,-38.6698,-33.5484,-43.0973,-38.5921,-40.6139,-47.948,-53.9544,-36.3331,-37.2161,-34.376,-37.6512,-43.7663,-49.7329,-48.6461,-50.5409,-50.3443,-48.7034,-38.4861,-32.1281,-43.3218,-41.1645,-44.202,-33.5692,-39.8981,-44.948,-41.5898,-35.6934,-46.347,-28.7566,-46.4917,-57.0046,-48.0601,-34.0661,-40.8874,-46.5172
-2571.4,0.969253,0.130901,5,31,0,2584.2,87.0385,41.7664,265.392,50.7712,162.816,91.5797,55.1015,20.9082,58.6526,13.4163,141.066,187.193,36.8175,36.0164,136.761,0.0676456,-3.19191,-3.15732,-3.2483,-4.02673,-3.32746,-3.94083,-3.43227,-3.12192,-4.87472,-3.24297,-1.36437,-1.28992,-3.22993,-4.3793,-2.61764,2.15166,-2.71133,1.05765,0.0410932,0.0425395,0.0388402,0.0178325,0.0358841,0.0194322,0.0323134,0.0440726,0.0076372,0.0390479,0.255541,0.275294,0.0395603,0.0125341,0.072975,-34.7336,-41.4215,-41.4068,-49.9479,-41.1228,-39.5532,-53.8913,-42.5496,-39.6888,-50.1886,-52.306,-47.0868,-35.621,-48.0725,-44.9515,-43.8405,-35.6236,-33.4634,-43.799,-38.066,-34.3924,-45.2523,-34.4579,-51.6041,-40.0944,-43.3603,-36.3679,-37.2497,-34.0403,-42.3281,-37.7883,-39.6942,-47.9584,-53.87,-35.886,-37.6127,-33.8444,-37.5045,-42.648,-52.0206,-51.3934,-50.2451,-49.9689,-49.9039,-37.8859,-31.6646,-43.1021,-40.4708,-46.6803,-34.8106,-39.8687,-45.6554,-43.1274,-35.7503,-46.0252,-28.3838,-45.7942,-58.7873,-49.5193,-33.4942,-40.6994,-46.6665
-2568.35,0.981042,0.130901,5,31,0,2587.84,82.9693,42.5086,249.2,35.4311,102.394,76.4022,50.5933,30.3722,49.435,15.9489,129.107,160.009,32.4261,31.347,37.7788,0.110061,-1.76024,-1.93938,-2.10162,-5.14522,-3.06414,-3.86491,-3.34727,-1.54185,-5.56101,-3.56335,-0.679686,-1.28224,-2.31665,-4.31518,-4.23737,2.0999,-2.6645,2.23017,0.172004,0.143793,0.122258,0.00582719,0.046694,0.0209649,0.0351803,0.213986,0.00384489,0.0283437,0.506776,0.277416,0.0986033,0.0133642,0.0144456,-33.8479,-41.719,-42.0032,-50.8033,-42.6221,-39.5277,-55.0554,-42.3138,-39.3858,-50.3233,-51.7264,-46.1579,-34.4514,-43.0494,-45.4654,-43.6333,-36.1804,-33.4728,-44.1705,-38.8198,-33.7519,-44.5797,-34.0629,-52.6618,-40.8213,-42.5939,-36.7029,-37.5138,-33.5307,-42.7013,-37.9667,-39.7142,-48.927,-54.034,-35.5785,-38.8657,-34.9504,-37.7204,-42.499,-51.8025,-50.1079,-49.3747,-49.5886,-49.749,-35.5701,-31.8482,-43.051,-40.5493,-45.7703,-32.6186,-41.1998,-44.7202,-41.4022,-35.5452,-45.705,-27.5623,-45.3909,-58.527,-48.6914,-33.6129,-40.1353,-46.1419
-2570.26,1,0.130901,5,31,0,2582.38,79.1535,31.5612,237.144,40.9098,153.08,77.0357,50.1348,31.8139,42.9271,16.784,158.843,231.758,29.3507,31.8947,133.193,0.0487549,-1.42298,-3.8943,-3.02167,-3.99918,-2.39783,-4.23276,-4.08281,-0.700055,-5.58971,-3.60833,-0.411328,-0.106265,-2.6862,-4.84449,-1.80818,2.16123,-3.7374,1.354,0.240996,0.0203575,0.0487198,0.0183307,0.0909154,0.0145123,0.01686,0.496558,0.00373613,0.0270971,0.66277,0.899186,0.0681395,0.00787163,0.163952,-33.3822,-40.6898,-41.569,-49.4241,-41.8409,-39.7168,-54.3107,-42.1938,-38.5598,-50.4307,-51.4574,-46.8905,-34.5638,-44.0812,-45.1768,-42.9487,-36.4045,-33.8596,-44.2559,-38.567,-34.245,-45.7646,-33.2482,-50.5328,-37.9908,-43.0464,-36.9454,-38.2559,-31.4497,-43.7751,-37.812,-40.6586,-48.4989,-54.1342,-36.5033,-36.1604,-33.8783,-38.2567,-43.7748,-49.476,-48.496,-50.316,-49.9183,-49.4571,-38.7122,-30.8461,-43.9815,-41.0533,-45.196,-32.7294,-39.4206,-45.9851,-42.124,-35.5717,-46.6767,-29.0282,-46.4898,-57.9257,-48.3689,-33.724,-40.8917,-46.3518
-2573.22,0.970813,0.130901,5,31,0,2585.28,73.9953,41.3699,269.334,28.0236,96.0959,83.3861,47.462,23.9926,44.4996,9.47042,130.875,166.124,25.6093,33.8469,39.0282,0.0646195,-3.01879,-2.58759,-1.81025,-5.87789,-4.50827,-3.96631,-4.72216,-1.91286,-5.7335,-5.78073,-0.704565,-1.22526,-3.14079,-4.45955,-3.74614,2.03209,-2.13913,2.45935,0.0488601,0.0752013,0.163613,0.00280069,0.0110176,0.0189431,0.00889597,0.147658,0.00323573,0.00308648,0.494324,0.293681,0.0432488,0.0115675,0.0236087,-33.7848,-41.2558,-41.8165,-51.7333,-42.7945,-40.5792,-55.3933,-42.1876,-39.1565,-50.8357,-51.6885,-46.6381,-34.5795,-41.284,-46.0137,-44.1798,-36.143,-33.6651,-44.6369,-38.344,-33.5755,-44.5524,-34.3409,-49.6737,-40.7985,-42.6511,-36.8088,-37.4459,-34.715,-43.086,-37.3954,-40.1086,-49.4783,-54.3058,-35.6259,-38.2536,-34.6672,-37.5348,-42.0914,-51.195,-49.9896,-49.1813,-50.0752,-49.2592,-36.5611,-32.3558,-43.844,-40.6189,-45.9193,-33.488,-40.8222,-45.3447,-41.506,-35.4524,-44.8366,-26.1782,-44.2576,-58.4614,-47.43,-33.8109,-40.5255,-45.9182
