# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kgamma_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1280763127
# output
#   file = output_cal_pl_Ka_Kgamma_EPs_7.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.161972
# Diagonal elements of inverse mass matrix:
# 0.0717937, 0.0148279, 0.34521, 0.0441262, 0.116633, 0.0195722, 0.0382599, 0.0373695, 0.0180741, 0.0634129, 0.0514586, 0.113163, 0.139704, 0.0165736, 0.179693, 0.440108, 0.296312, 0.166084, 0.408526, 0.271031, 0.254295, 0.447541, 0.62666, 0.313599, 0.421935, 0.425488, 0.0730639, 0.49278, 0.528859, 0.541599, 1.79739, 0.0921562, 0.504946, 0.202284, 0.140818, 0.407123, 0.486724, 0.0842128, 0.268192, 0.633685, 0.22678, 0.34324, 0.851772, 0.99591, 0.425877, 0.286788, 0.484459, 2.26566, 0.123187, 0.0741831
-2568.88,0.815174,0.161972,5,31,0,2588.88,88.2251,35.4733,224.003,38.1516,147.393,75.13,56.7397,26.8104,60.7183,21.6234,144.747,209.386,41.9076,37.2858,55.4711,0.11397,0.1221,0.161583,0.173858,0.0923688,0.223213,0.133846,0.127089,0.329334,0.130484,0.04374,0.0806207,0.0595371,0.235039,0.0959425,-1.68571,0.632507,-2.2014,-3.11262,-2.27526,-3.78822,-2.37171,-2.81695,-2.63866,-3.00212,-3.04916,-0.622564,-0.35651,-0.0336721,-2.01175,-1.85267,-1.60092,2.20205,-1.67889,1.19141,0.110648,0.0444841,0.102771,0.0226359,0.0933207,0.0597883,0.0714567,0.0496815,0.0473989,0.536567,0.700115,0.966888,0.133754,0.156818,0.201712,-34.1065,-42.4797,-41.5937,-50.9098,-41.2524,-39.6097,-54.7795,-42.1542,-38.7076,-47.9688,-52.6102,-45.6927,-34.6562,-44.5822,-45.1356,-42.9779,-35.9964,-34.0686,-42.5327,-40.2484,-34.3118,-43.784,-34.2628,-51.6483,-40.6805,-44.5521,-36.775,-37.7912,-32.0911,-42.3913,-38.0108,-39.8345,-48.8937,-53.8552,-35.9131,-39.4434,-34.869,-37.951,-43.0504,-50.8068,-50.112,-50.1069,-48.7678,-49.9395,-37.311,-31.8898,-43.1281,-40.0968,-46.8294,-32.7327,-41.6657,-44.9789,-41.913,-35.5964,-46.2801,-28.9188,-45.6502,-56.8138,-48.8439,-32.9091,-40.6039,-46.1868
-2564.1,0.970496,0.161972,5,31,0,2591.79,76.0123,39.9576,240.803,44.0859,129.574,90.2727,60.9193,25.0047,61.6058,13.0772,131.4,201.356,30.5827,30.9039,89.6717,0.129826,0.192222,0.14511,0.265077,0.15776,0.277507,0.223627,0.183429,0.400908,0.270085,0.146283,0.0378846,0.276157,0.267633,0.0748167,-1.66992,0.665608,-1.23076,-1.60283,-1.6143,-2.37112,-1.83373,-1.71353,-1.49902,-0.821073,-2.04211,-2.02176,-0.305741,-0.891187,-2.05931,-1.46024,-1.17126,2.33561,-1.61468,0.598833,0.29207,0.201325,0.19903,0.0933758,0.159816,0.180228,0.22335,0.439959,0.129754,0.132423,0.736578,0.410169,0.127543,0.232181,0.309978,-33.3571,-42.5087,-39.9155,-53.277,-41.6704,-40.9775,-54.7473,-41.8978,-38.9509,-48.2701,-51.1887,-45.8696,-35.0814,-44.2122,-46.0081,-44.6501,-37.1154,-34.0612,-43.4145,-39.9307,-34.5954,-44.1852,-34.2251,-49.6987,-40.1672,-43.5446,-37.4625,-38.4775,-32.4836,-42.6718,-37.3914,-39.83,-49.0399,-54.6567,-37.0016,-37.554,-35.303,-37.3754,-43.563,-50.7936,-49.4371,-51.4789,-48.3926,-51.6736,-38.6904,-31.894,-42.2849,-39.7754,-45.8708,-34.4147,-41.2782,-45.6362,-40.7616,-36.7505,-45.5788,-28.3132,-44.338,-58.4911,-46.5234,-32.8508,-41.6069,-45.3062
-2570.32,0.83708,0.161972,5,31,0,2590.02,51.1671,39.5333,262.064,46.7899,159.956,92.2397,56.3147,27.8847,66.6783,16.1733,125.421,195.905,27.3754,34.334,67.0661,0.148038,0.208661,0.187559,0.212619,0.157298,0.0971832,0.328062,0.111153,0.2965,0.445629,0.103301,0.040682,0.14413,0.370001,0.123039,-1.66457,1.00596,-1.68255,-1.49206,-1.13226,-1.46549,-0.896249,-2.40971,-2.21216,-1.95135,-1.94944,-0.840575,-0.0460451,-0.221648,-1.41996,-2.73993,-2.26427,2.59006,-1.65124,0.807652,0.185899,0.22491,0.322305,0.230965,0.408097,0.089841,0.109464,0.142082,0.142354,0.431462,0.954999,0.801197,0.241723,0.0645751,0.103906,-35.27,-41.6879,-41.3301,-51.1176,-42.9843,-40.418,-55.1895,-42.1293,-38.8818,-48.7558,-50.4553,-45.6842,-35.1508,-43.871,-44.9664,-43.5541,-36.4438,-34.6114,-43.8589,-39.5224,-34.7522,-45.2499,-34.0945,-49.8376,-38.1533,-43.6381,-37.6746,-38.4301,-32.9334,-42.2953,-37.9443,-40.0813,-48.6485,-55.3772,-37.0526,-36.8457,-34.5891,-37.8245,-43.9149,-50.6672,-49.4744,-49.8762,-48.5975,-49.8067,-39.9892,-32.3028,-43.1888,-40.9953,-47.019,-34.843,-39.5773,-45.8481,-40.8395,-36.5744,-46.111,-27.4555,-44.4681,-57.5043,-45.5085,-33.6942,-41.4667,-44.2924
-2566.24,0.948817,0.161972,5,31,0,2592.61,91.6435,33.0487,198.934,32.8799,92.9655,70.113,65.0998,21.9739,55.1237,16.2322,166.997,209.575,28.2688,31.6365,62.97,0.0869443,0.101478,0.108931,0.136339,0.0681742,0.20318,0.168476,0.188118,0.336666,0.153672,0.063815,0.0286019,0.0494656,0.1203,0.165423,-1.91745,0.616716,-0.863309,-3.08141,-3.19612,-4.09673,-3.6782,-3.9027,-2.47895,-3.29367,-2.83181,-4.04623,-0.30173,-0.226233,-2.17697,-4.95275,-2.72677,2.18016,-2.8098,1.10218,0.421764,0.0458945,0.0409208,0.0166269,0.0252683,0.0201874,0.0838315,0.0371173,0.0589059,0.0174881,0.739538,0.797532,0.113385,0.00706393,0.0654301,-33.5946,-41.1741,-42.1478,-50.4912,-41.9971,-39.2882,-55.3913,-42.2257,-39.1084,-46.7836,-50.014,-46.2201,-33.7587,-44.2251,-46.309,-42.8954,-36.66,-34.1067,-44.3971,-39.2583,-33.666,-46.0722,-32.8387,-47.2787,-39.6672,-43.1815,-38.0615,-38.5454,-31.8841,-42.289,-37.924,-40.9266,-48.7352,-54.1917,-36.9876,-37.942,-34.3959,-37.8237,-43.4955,-50.4189,-47.719,-51.4938,-49.1596,-49.6243,-39.0738,-31.8337,-44.5527,-40.2972,-45.5304,-33.0008,-40.3088,-45.9549,-40.673,-35.8181,-45.935,-29.063,-45.009,-56.8348,-47.2521,-34.686,-41.821,-46.2089
-2566.24,0.753316,0.161972,5,31,0,2590.78,56.5818,45.9734,274.046,47.8458,181.89,90.0798,61.5919,28.724,52.4498,17.3899,126.447,245.024,30.9059,37.5338,90.6303,0.0737921,0.12099,0.17964,0.200203,0.134305,0.0699926,0.11487,0.0918222,0.0564684,0.340169,0.0859299,0.052452,0.141962,0.231847,0.0609683,-1.81671,0.641723,-3.73575,-2.80106,-1.59471,-3.97598,-0.551296,-3.71404,-3.67529,-2.21097,-5.2888,-1.49512,-0.677487,-0.3467,-3.28272,-3.29745,-2.31403,2.11407,-2.82267,1.44833,0.0238554,0.0607457,0.202968,0.0187609,0.576202,0.0243788,0.0253419,0.109595,0.00504783,0.224222,0.507892,0.707017,0.0375261,0.0369775,0.0988619,-34.5942,-41.9236,-40.8287,-51.8004,-41.4919,-40.3639,-53.691,-41.2389,-38.2487,-50.7727,-51.7112,-45.8889,-34.6407,-44.1542,-44.3252,-44.496,-35.9515,-33.8292,-42.7939,-38.6709,-35.0832,-44.059,-35.0592,-53.0166,-39.4945,-43.4955,-36.5041,-37.7995,-34.116,-42.6263,-38.0083,-39.6883,-48.3839,-55.5314,-36.5033,-37.8211,-34.3611,-37.2177,-42.7112,-50.2195,-50.1988,-49.2887,-49.7579,-48.8951,-37.7941,-32.5099,-42.8045,-40.118,-45.8319,-34.8978,-40.4929,-44.2314,-42.1583,-36.5458,-45.0976,-27.3211,-45.4135,-55.7823,-47.5919,-33.3205,-40.5408,-45.6158
-2563.4,0.768134,0.161972,5,31,0,2584.88,103.134,40.5561,286.99,45.471,208.112,80.5119,62.2331,25.5464,57.8671,20.1393,160.99,177.154,33.3318,43.0504,65.3297,0.119685,0.162591,0.101874,0.119518,0.0974393,0.113902,0.210941,0.0841553,0.268556,0.0596686,0.0719235,0.0755049,0.0693191,0.217177,0.181382,-1.91439,0.547007,-0.700093,-2.86762,-1.92357,-4.33905,-0.525645,-3.78204,-2.6017,-2.76608,-4.78653,-4.18654,-0.213598,-1.38557,-2.68689,-3.20903,-3.49571,2.05472,-2.40688,1.29153,0.496539,0.0568339,0.146084,0.0130489,0.591174,0.0227763,0.0741473,0.0629083,0.00834132,0.0151987,0.807673,0.250181,0.0680923,0.0403959,0.0303272,-34.9892,-40.4901,-41.8451,-50.5861,-41.7505,-39.5929,-54.6338,-41.5784,-39.5858,-49.4971,-51.554,-45.7081,-34.6618,-44.0928,-44.377,-43.496,-36.0495,-33.3126,-43.6431,-39.0895,-33.9914,-45.051,-33.8963,-51.6786,-40.4726,-43.8765,-36.3155,-37.4064,-33.7332,-42.9573,-37.7367,-40.0452,-48.5185,-53.7683,-35.564,-38.2061,-34.2594,-37.2892,-42.4485,-51.9548,-50.543,-48.8047,-49.192,-49.2849,-38.4519,-31.3126,-43.3261,-40.1595,-45.8036,-33.4078,-40.4786,-45.2478,-42.3241,-35.0656,-45.5737,-27.9336,-45.7738,-58.0652,-48.2414,-33.7738,-40.2544,-45.3824
