# 0.0559425, 0.0152175, 0.0504046, 0.0438563, 0.0691927, 0.009068, 0.0380129, 0.0296904, 0.0163488, 0.045998, 0.0685973, 0.0762816, 0.091188, 0.0121621, 0.131377, 0.0351396, 0.404866, 0.174159, 0.060875, 0.331507, 0.188223, 0.748806, 0.0809073, 0.248708, 0.156411, 0.489722, 0.37581, 0.123165, 0.399158, 0.0560793, 0.378754, 0.0647438, 0.180219
-2597.55,0.838841,0.233297,4,15,0,2605.25,49.926,28.7066,167.013,41.0716,106.772,63.5575,40.6744,19.025,55.5499,18.5815,105.202,106.786,18.332,22.4805,90.0898,0.202872,-1.92679,-1.46281,-1.48354,-1.01966,-1.27913,-2.02061,-1.549,-1.432,-1.47454,-1.47724,-0.54939,-1.37529,-1.80697,-1.58084,-1.21165,-1.28557,0.501527,0.145615,0.231586,0.226832,0.360719,0.278281,0.132574,0.21246,0.23883,0.228885,0.228267,0.577302,0.252766,0.164151,0.205802,0.297706,-33.8257,-41.9986,-40.031,-50.9417,-42.2043,-40.9605,-55.2428,-43.0853,-42.1171,-45.6413,-53.5185,-46.0714,-35.4361,-44.0433,-45.9594,-44.0503,-37.4386,-35.8776,-45.0804,-40.1688,-35.7537,-45.5417,-33.3947,-54.5328,-38.3356,-43.378,-37.7442,-38.9338,-30.9854,-42.1367,-39.2842,-39.6967,-47.9051,-54.9696,-37.4576,-37.724,-35.2817,-38.4338,-44.1392,-53.7664,-50.8311,-50.9582,-50.2423,-51.2818,-37.9862,-33.5678,-43.8647,-41.7434,-45.8275,-33.8044,-43.8344,-43.4853,-40.8144,-36.5059,-49.0455,-28.4567,-44.178,-56.6113,-49.0313,-33.826,-42.1064,-45.2131
-2596.21,0.84592,0.233297,5,63,0,2617,35.7561,27.7377,188.794,44.304,105.924,58.193,50.6484,17.0236,45.1571,14.1676,91.3694,104.053,42.1378,28.8101,74.0917,0.13303,-1.78009,-1.60326,-1.23234,-1.24612,-1.39711,-1.82378,-1.48526,-1.27063,-1.73381,-1.14783,-1.02379,-1.40011,-1.02686,-1.52917,-1.53843,-1.48736,0.181107,0.168623,0.201239,0.291609,0.287619,0.24731,0.161414,0.226443,0.280655,0.176611,0.317326,0.359232,0.24657,0.358129,0.216716,0.214717,-34.3614,-41.7481,-42.2185,-50.5637,-42.5649,-40.6556,-55.1909,-43.1596,-41.0608,-46.1481,-53.9196,-46.9187,-36.2602,-41.6252,-44.5438,-44.2852,-36.8946,-36.7409,-43.705,-40.5882,-36.7711,-45.9161,-35.0021,-51.9218,-39.6497,-42.9577,-37.404,-39.312,-33.2621,-43.3971,-40.8811,-40.88,-48.6076,-55.117,-38.3969,-37.9342,-35.5294,-39.4151,-44.8425,-51.5843,-48.3923,-48.9842,-50.2944,-49.5123,-39.4062,-33.5188,-43.4538,-40.7403,-45.5651,-36.1841,-40.5963,-44.271,-42.2963,-37.2223,-47.5238,-28.0273,-46.4335,-55.7783,-47.43,-33.6168,-41.6481,-46.1009
-2595.01,0.966887,0.233297,4,15,0,2607.29,82.9811,28.137,188.608,29.8288,112.453,62.1543,50.639,16.9984,61.2556,16.4322,103.615,90.0389,15.8198,27.4928,57.9864,0.195603,-0.457505,-1.60817,-1.23001,-1.62262,-1.23989,-1.93349,-1.33588,-1.35171,-1.36996,-0.625872,-0.972331,-1.08908,-1.24132,-1.37587,-1.57983,-1.36102,0.313841,0.632861,0.200254,0.292291,0.197381,0.289416,0.144643,0.262927,0.258796,0.254116,0.534795,0.378201,0.336527,0.289002,0.25262,0.206011,-34.6947,-43.6396,-41.7922,-48.858,-42.1417,-41.6427,-56.0638,-44.0429,-40.9044,-44.7632,-53.4989,-45.5754,-35.5687,-43.2023,-45.2175,-42.0117,-37.4009,-35.1632,-46.2007,-41.2917,-34.4193,-45.2593,-33.5728,-50.7819,-39.8849,-45.7,-37.1491,-38.4899,-32.2945,-43.3079,-39.5137,-39.6254,-48.8713,-55.31,-36.3348,-37.9542,-35.1056,-38.8495,-44.0332,-54.9724,-52.7987,-50.9493,-50.1618,-50.4678,-38.4055,-32.6389,-43.1059,-42.266,-48.7857,-32.4894,-41.1609,-45.3133,-40.927,-35.9341,-47.7093,-27.6594,-45.0102,-57.4472,-47.4341,-32.6397,-41.5527,-45.2703
-2592.91,1,0.233297,4,31,0,2605.81,55.837,29.511,154.12,33.9283,104.991,55.4674,46.0005,16.6646,59.5307,17.0444,94.2885,97.8667,31.7327,29.2208,57.8541,0.193863,-1.1877,-1.27801,-1.47367,-1.4224,-1.20831,-1.89877,-1.39561,-1.55832,-1.33258,-1.51842,-0.458861,-0.985471,-1.53009,-1.38868,-1.86198,-1.15611,0.471748,0.304921,0.278591,0.229083,0.241135,0.298703,0.149753,0.247683,0.21049,0.263795,0.219057,0.632003,0.373263,0.216517,0.249404,0.155365,-35.163,-42.529,-42.2565,-50.7565,-43.1177,-40.3639,-55.0929,-42.9657,-41.1799,-44.7822,-52.6668,-46.2268,-35.5169,-42.8521,-45.1009,-44.1445,-37.3491,-35.4962,-45.4333,-41.4743,-34.9,-45.8608,-34.1981,-50.8637,-39.5913,-44.4574,-37.727,-38.1099,-32.2954,-43.4036,-39.6636,-40.4969,-49.0583,-54.1892,-36.9689,-38.7798,-35.9481,-38.7843,-44.2119,-52.4812,-51.3202,-49.7597,-49.02,-50.6683,-36.5539,-33.1598,-42.8899,-41.8057,-47.7259,-32.486,-41.1963,-45.0299,-41.3292,-36.5063,-47.5007,-27.7122,-45.794,-56.9851,-47.084,-34.1024,-42.0302,-45.7532
-2601.99,0.896489,0.233297,4,31,0,2612.34,48.1843,26.8608,196.006,44.4935,117.231,64.1967,52.1383,25.9677,49.5028,14.308,109.447,110.084,33.3209,36.2724,61.2574,0.153722,-1.88397,-1.94338,-1.26961,-1.44212,-1.7125,-2.01357,-1.46972,-0.963715,-1.95672,-1.47254,-0.271637,-1.34857,-1.18783,-1.18693,-1.56776,-1.61686,0.896776,0.151985,0.143219,0.280942,0.236426,0.180415,0.133511,0.22999,0.381473,0.141322,0.229343,0.762131,0.259612,0.304881,0.305157,0.208513,-33.9374,-41.5341,-40.9662,-50.553,-42.2116,-41.163,-54.8593,-42.8949,-41.2718,-46.8596,-54.8922,-47.2196,-36.393,-43.802,-44.472,-45.4555,-36.9085,-35.8463,-43.5922,-39.8881,-36.0399,-45.3084,-34.6109,-52.2926,-39.4298,-43.6793,-36.7417,-38.5872,-31.8875,-42.5619,-40.1479,-40.5825,-48.2463,-55.1343,-37.1777,-38.7259,-35.189,-39.1318,-43.7731,-52.601,-48.3059,-50.0595,-50.4224,-51.8575,-37.6311,-33.0504,-43.5356,-40.63,-46.2255,-34.0547,-40.2926,-44.4859,-42.2295,-36.1157,-47.0511,-28.745,-46.694,-55.6864,-48.6023,-33.5534,-41.5051,-46.9043
-2592.74,0.978328,0.233297,4,23,0,2618.25,58.5771,30.9337,198.897,33.0658,107.443,56.8919,57.7695,18.2079,50.2454,14.6984,137.814,129.588,30.4307,28.3785,83.1433,0.169704,-1.16284,-1.39391,-1.36859,-1.68072,-1.36825,-2.20562,-1.36998,-1.32938,-1.81058,-0.915618,-0.511026,-1.07484,-1.21668,-1.23399,-1.69748,-1.21566,0.485493,0.312596,0.248103,0.254465,0.186241,0.254552,0.110183,0.254112,0.26464,0.16356,0.400269,0.59988,0.341354,0.296211,0.291129,0.183145,-33.5923,-43.5093,-42.1012,-49.491,-41.6366,-40.3027,-54.8506,-43.6669,-41.0255,-44.7747,-52.9429,-46.6084,-36.1796,-45.1272,-44.7379,-43.4912,-36.7885,-35.7116,-44.307,-40.0919,-35.4044,-45.0361,-33.9707,-53.9992,-39.9155,-43.0011,-36.9113,-38.6201,-33.7328,-42.9364,-40.23,-39.9299,-48.9942,-54.7682,-36.9466,-38.0072,-34.9993,-38.2198,-44.0999,-53.1929,-48.1384,-49.3638,-49.9021,-50.4411,-38.5945,-32.8228,-43.3121,-40.8534,-46.3168,-33.5,-42.0404,-43.9311,-42.2183,-36.1857,-48.2664,-28.5394,-46.4187,-57.3557,-49.0596,-32.8341,-41.3252,-46.0931
-2585.71,0.847937,0.233297,4,31,0,2602.22,44.9884,24.7295,177.805,39.7744,122.373,67.575,47.3492,15.5297,58.8827,15.2969,82.5319,102.094,19.1742,31.8771,54.6777,0.17794,-1.67803,-1.73485,-1.34135,-1.28159,-1.14961,-1.90934,-1.39119,-1.33965,-1.41748,-1.41991,-1.41285,-1.17343,-1.70866,-1.51874,-1.46116,-1.47645,0.237952,0.186742,0.176427,0.261493,0.277596,0.316761,0.148178,0.248778,0.261938,0.242325,0.241736,0.243448,0.309303,0.181108,0.218988,0.231968,-34.4857,-42.0025,-41.5684,-49.7028,-42.8049,-41.2246,-55.7382,-43.1669,-40.4661,-46.7007,-53.0896,-46.0044,-35.4812,-41.6342,-44.9065,-42.814,-37.4374,-36.039,-45.4241,-40.368,-35.7876,-45.8939,-34.2404,-52.1139,-39.3521,-44.0534,-37.013,-38.5458,-30.8712,-43.0978,-39.4356,-40.7858,-48.98,-55.3252,-36.9892,-37.3379,-34.8084,-39.2411,-44.1972,-53.026,-51.5525,-50.7904,-49.5623,-51.7273,-38.3249,-32.6899,-43.7018,-41.9229,-47.6066,-33.5911,-41.2986,-45.1662,-40.7132,-36.1109,-48.0355,-27.8634,-45.1247,-57.2176,-47.179,-33.5919,-42.03,-45.6458
-2581.93,0.898603,0.233297,4,15,0,2596,61.68,34.0568,175.105,31.858,87.1767,62.2329,51.0382,19.5796,52.8085,15.3166,89.3456,88.8763,30.8124,29.6935,66.0824,0.224452,-1.5874,-1.50148,-1.48834,-1.59719,-1.67208,-1.73476,-1.51788,-1.4283,-1.59967,-1.42044,-1.37938,-1.53867,-1.64907,-1.46834,-1.57552,-1.50881,0.122805,0.204456,0.2228,0.225748,0.202465,0.187856,0.176443,0.219177,0.239716,0.201964,0.241608,0.251734,0.214666,0.192229,0.230307,0.206899,-34.8811,-42.546,-42.9413,-51.174,-41.2593,-39.6631,-54.4675,-43.2158,-41.8367,-45.5841,-53.5676,-45.7344,-35.6,-45.2026,-45.4803,-43.651,-36.3603,-35.4644,-44.2822,-41.5749,-34.8269,-45.3811,-34.1487,-53.0787,-40.1849,-45.4383,-37.2234,-38.0296,-32.5378,-42.8984,-39.742,-39.4446,-48.2605,-54.3341,-36.5514,-38.8052,-35.0288,-38.3744,-44.0108,-55.6708,-52.1897,-49.5988,-50.9052,-49.7799,-38.2679,-33.2608,-43.7022,-40.3611,-47.7873,-33.9584,-42.5651,-44.2246,-41.6418,-36.7104,-47.3445,-28.3087,-45.8677,-56.8018,-48.1217,-33.4858,-41.5502,-45.0821
-2586.61,0.759604,0.233297,4,15,0,2601.22,53.6944,27.6277,176.964,39.2653,128.731,66.85,60.7927,17.3919,55.3544,15.8442,89.2498,101.46,22.2358,27.1998,36.6208,0.166474,-1.3936,-1.33953,-1.25878,-1.26895,-1.02067,-1.75424,-1.05342,-1.3518,-1.47445,-1.2054,-0.820414,-1.09285,-1.14188,-1.33448,-1.10065,-1.204,0.313869,0.24818,0.261968,0.283999,0.281128,0.360355,0.173039,0.348745,0.258774,0.228905,0.299572,0.440249,0.335259,0.319218,0.263296,0.332653,-34.3688,-42.7622,-41.7636,-49.4524,-43.3287,-41.8066,-56.9758,-44.0325,-40.2091,-45.7308,-54.0667,-45.8728,-35.8813,-41.743,-45.1214,-43.3772,-37.8488,-35.7915,-45.0915,-40.5188,-35.379,-45.8487,-34.5374,-50.4267,-39.4718,-43.7687,-37.1291,-38.8417,-32.6522,-42.9286,-39.3138,-40.1834,-49.2883,-54.8716,-37.0684,-38.2675,-35.3801,-38.8594,-44.1796,-52.4174,-51.2345,-50.8213,-49.352,-50.8852,-38.3538,-33.2387,-42.9066,-41.8664,-46.8611,-34.3067,-41.1435,-44.5426,-40.7229,-36.5082,-47.8519,-27.7582,-44.7998,-57.2577,-47.2082,-33.4025,-41.6502,-45.8598
-2586.14,0.939828,0.233297,4,15,0,2600.25,57.9313,26.758,198.081,51.041,121.039,63.745,53.0385,20.6083,49.5416,18.3344,104.188,95.8208,27.6296,28.8669,36.7412,0.183122,-0.838196,-1.5653,-1.189,-0.986234,-1.07709,-1.56203,-1.27423,-1.17886,-1.6393,-1.31973,-0.929965,-1.35617,-1.21092,-1.21704,-1.38574,-1.23053,0.227989,0.43249,0.209025,0.304525,0.372979,0.340586,0.20971,0.279647,0.307628,0.194115,0.267206,0.394568,0.257646,0.297922,0.296106,0.250139,-34.7447,-42.2337,-41.7017,-50.6168,-42.3974,-40.0174,-56.3198,-43.9903,-40.2305,-45.3286,-54.1027,-46.0883,-35.9359,-43.9516,-44.4005,-43.234,-37.4629,-36.0358,-44.2289,-41.0972,-35.863,-46.2102,-34.4421,-52.2474,-40.6064,-44.3077,-37.1884,-38.4768,-32.5647,-43.3936,-39.9281,-40.0033,-49.7145,-54.8474,-37.1115,-38.5323,-35.1054,-38.9237,-43.8063,-54.1925,-49.8576,-48.9556,-49.8104,-49.2079,-38.4806,-32.6916,-42.8433,-41.5731,-46.9963,-35.1206,-41.562,-43.9374,-41.5081,-36.2574,-47.2021,-27.4207,-45.087,-57.4621,-47.5674,-33.594,-41.1219,-45.9485
