lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.540499
# Diagonal elements of inverse mass matrix:
# 0.0234787, 0.00908859, 0.0344872, 0.0196364, 0.0494435, 0.0117406, 0.0140701, 0.0103714, 0.00878799, 0.0502416, 0.0163427, 0.0125281, 0.0422884, 0.013584, 0.0856487, 0.0246641, 0.0113008
-2600.61,0.996076,0.540499,3,7,0,2611.52,61.8173,29.1127,176.475,40.1389,104.444,75.625,47.5213,19.2211,59.8988,11.8005,70.3014,100.128,24.839,22.98,72.2965,0.2509,0.194936,-34.2147,-43.2694,-41.359,-51.0609,-42.4292,-40.8924,-55.1477,-43.4586,-41.9794,-47.8241,-53.7117,-46.1592,-35.9604,-43.3999,-45.8448,-44.1221,-36.8621,-36.0558,-44.7393,-40.8797,-35.8384,-45.0777,-35.2222,-52.8498,-39.3633,-44.2593,-37.2646,-38.4498,-32.4563,-42.6486,-39.2098,-39.3313,-48.4389,-55.0785,-37.0327,-38.1357,-34.9196,-38.9279,-43.9283,-52.4586,-52.0157,-50.6063,-49.6882,-50.6108,-38.2027,-32.9768,-42.8563,-41.1772,-47.2615,-35.9351,-42.8237,-43.5288,-40.7622,-37.3117,-48.0284,-28.0319,-44.0913,-57.4708,-48.2406,-33.0426,-41.4056,-44.9567
-2597.07,0.981762,0.540499,3,7,0,2603.92,51.2547,28.928,180.726,40.2661,114.975,67.8092,47.4862,18.9908,60.958,12.8705,77.1719,93.4682,24.6898,29.2747,86.7257,0.271496,0.197063,-35.257,-43.1682,-42.0171,-51.0925,-42.2228,-40.1484,-55.3413,-43.4058,-41.7678,-46.8427,-52.8047,-46.243,-35.5744,-42.8587,-45.3057,-43.5581,-36.8442,-35.8711,-44.9201,-41.6815,-35.6265,-45.5436,-35.1338,-52.0585,-39.3551,-45.3017,-37.4702,-38.4686,-32.4828,-43.4697,-39.6114,-40.1241,-49.2429,-54.9617,-36.83,-37.7259,-35.2239,-38.9272,-43.9158,-52.7132,-50.9996,-49.4575,-49.3677,-49.8708,-38.0886,-32.454,-42.6829,-41.5813,-47.9171,-34.9086,-42.052,-44.4191,-41.3556,-36.7064,-47.5916,-27.598,-45.1248,-58.3712,-47.4031,-33.0399,-41.4914,-44.5319
-2596.5,0.951303,0.540499,3,7,0,2601.44,56.4436,31.3316,189.031,36.5221,96.1531,76.0845,58.0816,19.0236,57.7611,16.7993,83.638,91.7762,24.3565,29.6082,65.4216,0.239547,0.203475,-34.4721,-42.7263,-42.393,-50.2158,-41.5774,-39.8906,-55.2677,-43.6084,-41.15,-46.7316,-53.0118,-45.2027,-35.6009,-44.6109,-45.0278,-43.3082,-36.933,-35.876,-44.7962,-41.0219,-35.1533,-46.0008,-34.845,-52.2072,-39.4402,-44.8788,-36.9169,-38.4045,-33.2253,-42.7531,-39.2299,-39.6691,-48.2777,-54.9246,-36.7736,-37.9168,-34.7766,-38.7619,-44.0456,-53.9554,-52.4543,-50.477,-50.16,-50.0151,-39.3173,-32.8824,-43.4924,-41.1799,-47.7318,-35.4053,-42.0989,-44.2021,-40.7165,-36.8812,-47.4757,-28.1126,-45.1039,-57.5634,-47.2713,-33.4861,-41.3819,-44.6714
-2602.91,0.743525,0.540499,3,7,0,2610.34,55.2948,35.4747,198.882,44.3215,109.989,82.873,50.348,21.9408,69.4923,16.3396,91.495,90.12,21.4948,34.2951,48.774,0.278085,0.229294,-35.1027,-43.0668,-41.5249,-50.9951,-42.2188,-40.5548,-55.7824,-43.7815,-41.0766,-46.9138,-53.73,-44.8825,-35.4988,-44.7239,-44.6158,-42.8263,-37.218,-35.0316,-45.2384,-41.9101,-34.7756,-45.5674,-35.0416,-53.1003,-40.6272,-46.6133,-36.8317,-37.9846,-32.985,-43.0438,-38.7319,-39.5173,-48.9576,-54.8055,-35.8897,-38.2737,-35.1008,-38.6164,-43.4499,-55.971,-54.5303,-50.7218,-49.8735,-51.2099,-37.6949,-32.3606,-42.617,-41.8916,-49.9432,-34.6641,-42.0942,-45.0705,-40.2022,-36.2006,-46.6636,-27.3438,-44.8763,-59.2823,-46.283,-32.9445,-41.1764,-44.4393
-2599.51,0.994418,0.540499,3,15,0,2606.09,50.239,27.801,169.014,32.7849,88.2652,67.2093,55.0579,15.9442,56.0278,13.647,73.1743,86.6052,32.9542,27.2253,92.5891,0.243287,0.169922,-34.5452,-42.9859,-42.762,-50.161,-42.1375,-40.1171,-55.1656,-43.3915,-41.9605,-46.5409,-52.9421,-46.458,-35.9231,-42.6399,-45.3587,-43.7687,-37.0266,-36.3503,-44.9997,-41.5348,-35.4262,-46.0426,-35.236,-50.2294,-38.4709,-44.3888,-37.6817,-38.7677,-33.0577,-43.6312,-40.2643,-40.6081,-48.5686,-54.8029,-37.4887,-37.3572,-35.3717,-39.3802,-44.7687,-51.5175,-51.2821,-49.9826,-49.7328,-49.9809,-38.9412,-32.9638,-42.9315,-41.2117,-47.0569,-35.1257,-40.565,-44.8739,-41.5082,-37.434,-47.4906,-28.0571,-46.0148,-56.6796,-47.3195,-33.8099,-42.0853,-45.181
-2597.54,0.952871,0.540499,3,7,0,2605.13,54.7188,29.506,170.776,38.6357,114.727,72.7314,44.243,19.6662,57.5881,15.0257,85.1659,86.7947,21.5532,28.5977,52.0244,0.238413,0.227944,-35.0943,-42.4388,-42.0028,-51.1847,-41.9387,-40.0911,-55.4525,-43.5183,-41.1343,-46.4033,-53.2218,-45.7321,-35.5631,-44.1645,-45.2458,-42.9084,-36.8178,-35.3643,-44.894,-41.311,-35.3149,-45.3822,-34.4247,-53.1628,-40.1971,-45.4377,-37.1754,-37.9831,-31.5021,-42.9307,-39.196,-39.5051,-49.2809,-54.6343,-36.3751,-38.3066,-34.6919,-38.7541,-43.5219,-55.2643,-51.6997,-50.5348,-50.3963,-50.5972,-37.9023,-32.443,-43.337,-41.4019,-48.5671,-34.5168,-42.5571,-44.2767,-40.7526,-36.1838,-47.3425,-27.9678,-44.5647,-58.5976,-47.3357,-33.1638,-41.4177,-45.1319
-2600.67,0.475973,0.540499,3,7,0,2612.8,52.179,30.1498,191.316,34.9309,97.4496,70.9273,58.3789,18.6124,62.5193,12.5149,70.6181,90.5297,28.1695,31.702,83.648,0.263925,0.17846,-34.988,-43.5042,-42.7756,-50.1005,-42.3917,-40.2016,-55.431,-43.6401,-41.5745,-47.3226,-52.9315,-45.9953,-35.7532,-42.9579,-45.2015,-44.0183,-36.8569,-36.166,-44.9615,-41.6841,-35.2745,-46.0507,-35.55,-50.4414,-38.4995,-45.1047,-37.3406,-38.7726,-33.6875,-43.4112,-39.766,-40.5726,-48.6492,-55.1322,-37.0321,-37.5702,-35.4588,-39.1282,-44.5043,-51.9128,-52.1636,-49.8202,-49.4066,-50.108,-38.8777,-32.7225,-42.8484,-41.3899,-47.5736,-34.9599,-40.6683,-44.9413,-41.1733,-37.3356,-47.3516,-27.8363,-45.9984,-57.6678,-46.9487,-33.4327,-41.6487,-44.5065
-2598.77,0.849962,0.540499,3,7,0,2609.99,56.603,32.7042,181.168,42.7535,109.718,78.4458,51.9939,17.804,62.3356,18.4055,95.6318,92.3714,24.3209,28.1778,67.8288,0.270506,0.231017,-34.643,-42.697,-40.9572,-51.0966,-41.5142,-40.3672,-55.3873,-43.3684,-41.5389,-45.9327,-53.1648,-45.2336,-35.5498,-44.4445,-45.0351,-42.5567,-37.4623,-35.352,-45.1964,-41.5232,-35.0192,-45.3787,-34.5798,-53.5391,-40.2694,-45.8145,-37.2695,-37.9288,-32.5249,-43.2433,-38.973,-39.2992,-49.0564,-54.6098,-36.3568,-37.7028,-34.8615,-38.6035,-43.5662,-55.4252,-53.4592,-50.716,-49.8757,-50.8336,-38.2262,-32.678,-42.5728,-41.7705,-49.1345,-34.9088,-43.0016,-44.5152,-40.8443,-36.2855,-47.409,-27.6023,-44.5402,-58.374,-47.2799,-32.988,-41.7014,-44.7728
-2598.77,0.42075,0.540499,3,7,0,2616.27,56.603,32.7042,181.168,42.7535,109.718,78.4458,51.9939,17.804,62.3356,18.4055,95.6318,92.3714,24.3209,28.1778,67.8288,0.270506,0.231017,-34.643,-42.697,-40.9572,-51.0966,-41.5142,-40.3672,-55.3873,-43.3684,-41.5389,-45.9327,-53.1648,-45.2336,-35.5498,-44.4445,-45.0351,-42.5567,-37.4623,-35.352,-45.1964,-41.5232,-35.0192,-45.3787,-34.5798,-53.5391,-40.2694,-45.8145,-37.2695,-37.9288,-32.5249,-43.2433,-38.973,-39.2992,-49.0564,-54.6098,-36.3568,-37.7028,-34.8615,-38.6035,-43.5662,-55.4252,-53.4592,-50.716,-49.8757,-50.8336,-38.2262,-32.678,-42.5728,-41.7705,-49.1345,-34.9088,-43.0016,-44.5152,-40.8443,-36.2855,-47.409,-27.6023,-44.5402,-58.374,-47.2799,-32.988,-41.7014,-44.7728
-2600.02,0.735006,0.540499,3,15,0,2608.13,49.3035,28.8509,168.287,31.3784,89.7154,65.3374,47.8496,19.1027,57.9079,12.0402,65.9467,85.0619,30.3287,31.0734,41.0588,0.247229,0.183906,-34.9745,-42.872,-43.6397,-50.5195,-43.0693,-40.0095,-55.8433,-43.7287,-40.6148,-46.8632,-53.4538,-46.3032,-35.5266,-42.1502,-45.3194,-44.0785,-36.6049,-36.1176,-44.4705,-41.7447,-35.2954,-45.8103,-35.3231,-50.3459,-39.206,-44.9321,-37.5231,-38.7771,-32.4601,-43.3499,-39.8382,-40.6458,-49.1006,-54.7994,-37.1152,-38.5913,-35.5904,-39.2418,-44.6079,-52.3381,-51.6552,-49.6407,-49.5914,-49.9757,-38.0889,-32.8139,-43.0599,-41.0158,-46.9624,-34.4143,-40.5887,-44.8483,-40.9409,-37.3462,-47.2728,-27.944,-46.0616,-57.4267,-46.7953,-33.6318,-41.6587,-45.423
