# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kb_Kgamma_EPs_modified_a_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median_only_abies.dump
# init = 2 (Default)
# random
#   seed = 1215487747
# output
#   file = output_cal_pl_Ka_Kb_Kgamma_EPs_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,log_b.1,log_b.2,log_b.3,log_b.4,log_b.5,log_b.6,log_b.7,log_b.8,log_b.9,log_b.10,log_b.11,log_b.12,log_b.13,log_b.14,log_b.15,mu_a,sigma_a,mu_b,sigma_b,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,b.13,b.14,b.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.108906
# Diagonal elements of inverse mass matrix:
# 0.0965182, 0.0133762, 0.322391, 0.0243943, 0.159286, 0.0168484, 0.0294859, 0.047619, 0.0164631, 0.054572, 0.0549663, 0.113939, 0.112412, 0.0232933, 0.169455, 0.542158, 0.311252, 0.153571, 0.294707, 0.252664, 0.248394, 0.246072, 0.401416, 0.126133, 0.343238, 0.434752, 0.121874, 0.588118, 0.586074, 0.760618, 0.97064, 0.132529, 0.770833, 0.122504, 0.1878, 0.250028, 0.913156, 0.129983, 0.336553, 0.599623, 0.315543, 0.597406, 1.98477, 1.51957, 0.578635, 0.568042, 0.3458, 0.733185, 0.714131, 0.689403, 0.659402, 0.741096, 0.69683, 0.664086, 0.589446, 0.60046, 0.484847, 0.764214, 0.683697, 0.638838, 0.583332, 0.713356, 0.111276, 0.116309, 0.451797, 0.497162
-2567.44,0.864944,0.108906,5,31,0,2605.17,53.6317,33.9755,180.062,43.8614,97.1588,67.0597,46.3272,21.1336,65.2794,15.1568,122.192,236.074,26.9904,36.0484,52.3185,0.199353,0.0854979,0.178229,0.133358,0.0406941,0.0762842,0.13733,0.0903468,0.334915,0.457668,0.0917681,0.0233193,0.148065,0.265014,0.115939,-1.85483,1.07537,-3.5652,-2.76274,-3.52283,-4.00418,-3.68543,-4.48019,-4.46072,-2.47781,-2.35104,-0.55616,-0.523888,-0.0656,-2.95776,-3.95746,-2.82383,0.711241,0.709566,0.719357,0.708225,0.708145,0.706789,0.719789,0.725592,0.707862,0.717046,0.70791,0.710952,0.711903,0.715686,0.717769,-2.79063,1.41951,0.714181,0.00575395,0.0282912,0.0631189,0.0295157,0.0182392,0.0250863,0.0113313,0.0115541,0.0839267,0.0952704,0.573407,0.592213,0.936505,0.0519352,0.0191116,0.0593778,2.03652,2.03311,2.05311,2.03038,2.03022,2.02747,2.054,2.06595,2.02965,2.04837,2.02974,2.03593,2.03787,2.04559,2.04985,-33.6437,-41.2094,-42.4471,-51.445,-43.2584,-39.0308,-55.1261,-42.0699,-37.9397,-48.7848,-49.167,-46.5258,-33.1717,-42.7072,-45.9197,-44.2337,-35.7279,-34.3578,-43.7116,-38.4962,-34.5876,-44.8657,-34.3731,-48.2126,-39.9199,-42.644,-37.9114,-38.6217,-31.2495,-42.9644,-38.0165,-41.1914,-49.9195,-55.1227,-37.3484,-38.3896,-35.0194,-38.122,-43.1931,-49.2624,-50.6104,-49.2298,-47.6501,-50.4066,-38.0953,-32.4025,-43.6135,-40.3834,-46.073,-32.8475,-39.7842,-46.3547,-41.3474,-36.5138,-45.46,-27.393,-44.8006,-57.5023,-47.1493,-33.7185,-41.4958,-46.2967
-2562.7,0.752491,0.108906,5,31,0,2593.57,52.1919,31.2415,193.607,40.9684,103.854,67.4714,44.8112,22.274,64.6363,15.8829,120.697,233.528,20.7909,35.5277,52.0706,0.124688,0.0697441,0.206492,0.163692,0.0418791,0.0934157,0.179755,0.122209,0.295586,0.510053,0.123615,0.0311338,0.0990884,0.224999,0.172457,-1.83326,1.03657,-3.63832,-3.04232,-3.19065,-4.42155,-2.855,-4.52519,-4.29274,-2.51989,-2.51701,-1.30793,-0.716916,-0.161847,-3.6114,-4.22127,-3.99592,0.718696,0.714125,0.712656,0.720463,0.716434,0.708582,0.711787,0.710441,0.709811,0.709976,0.706645,0.71047,0.70744,0.712925,0.711501,-2.68106,1.49438,0.713706,0.00448466,0.0262964,0.0477242,0.0411451,0.0120156,0.0575559,0.0108326,0.0136674,0.0804685,0.0807004,0.27038,0.488256,0.850571,0.0270139,0.01468,0.0183904,2.05176,2.0424,2.0394,2.05538,2.04712,2.03111,2.03763,2.03489,2.03361,2.03394,2.02718,2.03495,2.02879,2.03995,2.03705,-33.2322,-41.6389,-42.6986,-51.4663,-43.0318,-38.7229,-55.1057,-41.9802,-38.5412,-48.2997,-48.6926,-46.7194,-33.3412,-43.5264,-45.7653,-44.1888,-35.9704,-34.506,-44.3064,-38.4897,-34.9425,-45.1722,-34.0136,-48.9937,-40.0043,-42.6928,-37.4725,-38.6644,-30.9631,-42.7951,-38.012,-41.2973,-49.8548,-55.5949,-37.3498,-38.5934,-34.8126,-37.9797,-43.0703,-49.3464,-49.9233,-49.4174,-48.3846,-50.2759,-38.0946,-31.9215,-44.2147,-40.7888,-45.8528,-33.2434,-40.4319,-45.5815,-40.8903,-36.1591,-45.6545,-27.2265,-44.0963,-57.8778,-47.362,-33.863,-41.2116,-46.2614
-2562.23,0.828565,0.108906,5,31,0,2603.95,67.1609,35.5822,240.687,36.1096,148.691,79.5043,52.9136,18.7877,51.9212,19.9573,156.883,187.137,24.3673,31.1843,67.4587,0.104163,0.192478,0.144312,0.136678,0.238712,0.142816,0.169442,0.139512,0.282152,0.0667388,0.057816,0.06847,0.223644,0.143997,0.107672,-1.71074,0.457728,-2.53233,-2.78812,-2.45401,-3.88057,-1.34805,-3.88572,-3.03769,-3.37405,-4.80396,-4.2313,-0.468245,-0.45959,-5.44688,-4.69391,-3.13166,0.712218,0.709791,0.703817,0.701059,0.715059,0.724234,0.717606,0.722346,0.717134,0.716317,0.709564,0.711386,0.713684,0.714837,0.723103,-3.65252,1.22037,0.714478,0.00525421,0.079474,0.0615366,0.0859486,0.020639,0.259747,0.0205329,0.0479455,0.0342508,0.00819726,0.0145334,0.6261,0.631542,0.00430971,0.00915082,0.0436452,2.03851,2.03357,2.02145,2.01589,2.04431,2.06315,2.04952,2.05926,2.04855,2.04688,2.0331,2.03681,2.0415,2.04385,2.06082,-35.5925,-41.2659,-41.126,-50.177,-41.5663,-39.1623,-54.6112,-42.2945,-38.9645,-48.298,-50.9367,-46.0761,-34.7713,-44.4221,-45.2826,-42.5044,-36.6384,-33.9111,-45.0538,-39.2134,-33.9365,-45.3113,-33.0948,-49.7893,-39.1825,-43.6132,-37.0318,-37.8339,-32.0376,-42.8731,-37.2881,-39.8155,-49.4985,-54.2247,-36.3881,-36.9048,-34.4521,-37.9619,-44.0214,-51.0374,-47.9551,-50.0394,-49.5303,-49.6679,-38.1513,-31.271,-43.322,-40.1561,-44.9412,-32.6387,-40.2786,-46.0268,-42.1559,-36.1908,-46.5723,-28.7799,-46.5645,-57.2259,-47.326,-34.399,-41.7276,-45.718
-2572.26,0.886946,0.108906,5,31,0,2600.06,66.171,42.6797,248.183,43.0268,83.5935,77.2871,62.6481,21.6331,53.6132,15.747,95.0016,179.618,34.3572,30.1313,61.6618,0.11352,0.157336,0.134245,0.207262,0.0634484,0.0994049,0.147576,0.0976589,0.0984548,0.347159,0.171675,0.0753653,0.0721297,0.180427,0.143586,-1.85368,0.523549,-1.82994,-1.91354,-1.44345,-3.367,-4.19001,-3.43709,-3.04756,-2.44055,-4.73321,-1.67036,-1.83502,-0.82373,-1.8123,-3.17649,-3.19024,0.718816,0.71729,0.764374,0.727677,0.724491,0.698925,0.722103,0.708191,0.722697,0.7208,0.750032,0.724564,0.736778,0.712655,0.704463,-2.05722,1.34235,0.725748,0.0167331,0.160423,0.147556,0.236111,0.0344929,0.0151461,0.0321581,0.0474748,0.0871133,0.00879818,0.18818,0.15961,0.438792,0.163277,0.041732,0.0411621,2.052,2.04887,2.14765,2.07027,2.06368,2.01159,2.05876,2.03032,2.05998,2.05608,2.11707,2.06383,2.08919,2.0394,2.02276,-33.3094,-41.9457,-41.0592,-50.5395,-42.122,-40.5844,-55.0187,-42.0947,-39.6129,-48.7107,-51.5016,-46.3924,-34.6956,-42.7396,-45.1648,-43.7763,-36.774,-34.8592,-43.3473,-39.5523,-34.8172,-44.7318,-35.3343,-50.86,-39.5037,-43.4771,-37.31,-38.1148,-35.0331,-43.0825,-39.1277,-39.4018,-48.8701,-55.7693,-36.8098,-37.4668,-35.0388,-37.9387,-42.9727,-51.2847,-49.5223,-49.6485,-49.5806,-48.491,-37.1838,-32.4283,-42.1505,-41.1342,-45.3853,-34.8132,-40.6817,-43.7166,-41.5429,-36.8739,-46.0625,-26.7006,-44.8416,-57.0235,-48.131,-32.9794,-40.8095,-45.9226
-2565.98,0.97137,0.108906,5,31,0,2601.16,70.3262,44.6543,208.185,39.803,179.288,86.3942,50.907,22.3304,52.6598,13.5429,142.703,207.657,18.4883,34.3216,63.6876,0.100534,0.21221,0.158357,0.116607,0.155889,0.161502,0.144022,0.0732106,0.256412,0.0617153,0.0626958,0.0591952,0.0825889,0.133093,0.0858835,-1.84473,0.50488,-3.90058,-2.1704,-3.5107,-4.74136,-0.916474,-3.00393,-3.97946,-2.61848,-4.69912,-4.726,-1.03964,-0.701937,-3.02489,-4.28666,-3.91222,0.712435,0.712177,0.708479,0.717535,0.722059,0.708698,0.72242,0.745505,0.717693,0.737896,0.727739,0.720833,0.718389,0.733992,0.741827,-2.85732,1.23092,0.722336,0.0108539,0.0202302,0.114132,0.0298759,0.0087268,0.399927,0.0495917,0.0186956,0.0729138,0.00910332,0.00886182,0.353582,0.495624,0.0485631,0.0137507,0.019996,2.03895,2.03842,2.0309,2.04938,2.05867,2.03134,2.05941,2.1075,2.0497,2.09153,2.07039,2.05615,2.05113,2.08338,2.09977,-34.8585,-41.2642,-41.8777,-50.9406,-41.444,-39.38,-54.8238,-42.4095,-38.8664,-49.8301,-50.8809,-45.8536,-34.2808,-45.3715,-46.0624,-43.4708,-35.8867,-33.2811,-44.1489,-40.0575,-34.1185,-45.2017,-34.0741,-50.8794,-40.0433,-44.8154,-36.6725,-38.2424,-32.1411,-43.0872,-37.5462,-39.1616,-49.3059,-54.0044,-36.1042,-38.3323,-33.9587,-37.1613,-42.344,-51.5673,-50.295,-50.3751,-50.3204,-48.5771,-38.8497,-31.9769,-43.8059,-40.5182,-45.0631,-34.0175,-41.4383,-44.5262,-41.6451,-35.6172,-46.0332,-27.8044,-44.523,-58.1662,-48.2175,-32.792,-40.375,-44.8824
-2573.37,0.986415,0.108906,5,31,0,2595.66,83.4177,34.3008,245.927,39.1099,143.68,85.1246,53.1618,19.8015,53.2795,23.9917,126.415,217.401,50.0798,31.8605,62.9817,0.166518,0.101135,0.127387,0.361694,0.0676609,0.131156,0.228791,0.178487,0.099774,0.054671,0.106692,0.052488,0.153661,0.179579,0.132313,-1.76566,0.807852,-1.93338,-2.88511,-2.20392,-2.37172,-2.94569,-3.2674,-3.17449,-2.7998,-5.23612,-3.24254,-1.16014,-0.236184,-3.01523,-4.31059,-3.42712,0.707089,0.723651,0.741697,0.735423,0.745449,0.769684,0.741943,0.709473,0.737859,0.718798,0.738367,0.70475,0.723142,0.725297,0.709743,-3.34412,1.90512,0.725755,0.0223927,0.144658,0.0558487,0.110369,0.0933199,0.052566,0.0381052,0.0418153,0.0608224,0.00532087,0.0390645,0.313443,0.789635,0.0490348,0.0134256,0.0324803,2.02808,2.06195,2.0995,2.08636,2.10739,2.15908,2.10001,2.03292,2.09145,2.05197,2.09252,2.02334,2.0609,2.06534,2.03347,-34.3358,-40.918,-41.6263,-51.4793,-42.2997,-38.9766,-54.3604,-41.2113,-38.8601,-48.3693,-50.7164,-46.95,-34.5913,-43.1167,-45.0217,-43.0001,-36.2789,-34.1925,-44.0251,-39.0882,-34.6571,-45.0861,-34.1155,-51.0439,-39.8562,-42.1501,-37.5431,-36.988,-32.4455,-42.8091,-38.2504,-40.9124,-49.4653,-54.4665,-36.6276,-37.4175,-34.9271,-38.0991,-43.0994,-49.9726,-49.7061,-49.7173,-48.7079,-50.8135,-36.6974,-31.516,-42.7096,-40.6544,-47.2151,-33.1758,-39.2886,-45.5367,-43.1901,-36.7261,-45.4386,-27.6554,-45.999,-56.8389,-49.175,-34.4458,-42.2172,-47.5417
