lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.264068
# Diagonal elements of inverse mass matrix:
# 0.0559556, 0.0179559, 0.205714, 0.04314, 0.0857114, 0.0296586, 0.0248572, 0.0303855, 0.0142802, 0.0555729, 0.0483159, 0.105796, 0.0626957, 0.02123, 0.247225, 0.0933283, 0.285205, 0.1255, 0.190648, 0.197235, 0.286539, 0.0604471, 0.160574, 0.479764, 0.0455356, 0.654566, 0.482236, 0.141493, 0.721555, 0.114224, 0.662062, 0.482835, 0.0958762
-2594.44,0.990417,0.264068,4,15,0,2610.25,89.9606,36.3793,208.488,49.287,156.218,104.329,88.6253,21.465,81.7939,14.8421,118.267,153.29,45.6046,37.5261,93.6393,0.417359,0.033926,0.383151,0.276535,0.355228,0.152809,0.198518,0.20475,0.187648,0.380324,0.308429,0.156071,0.0903022,0.106264,0.319421,0.154786,-1.3377,0.754439,-35.075,-43.6349,-40.4431,-53.5962,-41.7675,-41.3822,-55.8546,-42.2439,-40.604,-49.0738,-51.2401,-45.263,-35.6159,-43.4462,-46.9742,-43.871,-38.0187,-34.1858,-43.3811,-41.4814,-34.2715,-44.7419,-34.9617,-51.1999,-38.8729,-46.0326,-38.017,-37.5139,-31.8028,-43.0978,-37.9836,-39.8023,-48.6945,-54.4688,-36.4224,-36.544,-35.7262,-38.8096,-43.2268,-52.0837,-54.3678,-51.1636,-48.1576,-53.8257,-37.8352,-31.8803,-41.2297,-40.7229,-50.7786,-33.0161,-41.5156,-49.1163,-41.9387,-35.6107,-45.8597,-27.6171,-45.2792,-59.2379,-46.3786,-32.4679,-42.6109,-44.4437
-2588.15,1,0.264068,4,15,0,2604.73,86.7947,41.0208,241.908,46.7969,128.544,84.3342,46.9509,24.5921,64.5671,20.7084,111.237,147.206,32.2693,39.9696,64.4167,0.407029,0.0426553,0.147167,0.141749,0.10448,0.129197,0.264244,0.318934,0.178807,0.329734,0.261807,0.0451289,0.0439904,0.102214,0.491797,0.155676,-1.55785,0.965953,-34.1176,-41.0347,-41.2332,-50.3768,-43.9218,-40.0744,-56.6145,-43.0193,-39.8807,-48.085,-50.4252,-45.1709,-34.684,-40.6014,-46.3615,-43.0325,-37.5698,-34.8025,-43.8836,-40.7305,-34.0896,-45.5885,-35.5275,-47.0803,-39.8853,-43.9694,-38.3132,-39.7578,-34.7887,-42.8232,-37.547,-41.573,-48.8659,-54.6236,-36.853,-38.562,-35.8521,-37.9786,-45.5257,-50.5599,-50.9245,-51.8684,-48.7052,-49.6719,-41.0724,-32.8942,-42.7643,-41.3794,-45.0925,-35.739,-41.3019,-46.6818,-40.4385,-37.6869,-46.9869,-28.5614,-44.8764,-57.4819,-45.7419,-34.5853,-41.9025,-44.7323
-2587.64,0.886283,0.264068,4,15,0,2603.53,66.4958,36.6394,247.111,25.7273,144.055,87.8516,79.7795,26.2427,59.926,13.2592,93.0604,144.223,50.0608,27.3581,76.8656,0.392509,0.200087,0.260326,0.134772,0.409106,0.149593,0.183931,0.256893,0.12649,0.469258,0.470416,0.114994,0.0883314,0.143328,0.28258,0.0862907,-1.41309,0.647319,-34.8615,-43.7184,-41.551,-52.8994,-41.4017,-40.9395,-55.5457,-42.327,-39.0942,-49.2147,-51.7082,-46.5603,-35.7117,-43.221,-46.0822,-44.7892,-37.1713,-35.2457,-43.1194,-41.8028,-34.1955,-44.6879,-35.1092,-49.7975,-37.7651,-44.3022,-37.7379,-38.3794,-33.5543,-43.5159,-38.5432,-40.2311,-49.1308,-54.7028,-36.9717,-37.3161,-35.9643,-38.7089,-44.4957,-50.2336,-50.9026,-49.9412,-48.1423,-49.7305,-40.4663,-32.0567,-42.8193,-40.0205,-46.3774,-33.6774,-41.0519,-46.1061,-42.0005,-37.6001,-46.5292,-28.5978,-45.2395,-57.8388,-47.4462,-33.0466,-41.7889,-44.5639
-2591.17,0.799405,0.264068,4,15,0,2606.4,74.1604,36.5636,224.528,48.8043,120.761,76.4311,50.3772,23.6272,66.0281,19.531,124.268,145.302,37.404,32.7222,97.051,0.310407,0.0755343,0.194983,0.136211,0.276895,0.149138,0.229801,0.278609,0.0823313,0.320328,0.044706,0.0581286,0.0427437,0.0322319,0.530659,0.096989,-1.7877,1.61613,-33.8594,-41.2274,-41.755,-52.0886,-42.8341,-39.5885,-55.0536,-42.338,-40.0171,-47.9355,-51.7812,-45.2423,-34.9439,-41.06,-45.4225,-42.5924,-36.7341,-34.3557,-43.2602,-41.5337,-34.8823,-45.4146,-34.8597,-51.3558,-41.5819,-44.3255,-38.4841,-38.4789,-33.2754,-43.4047,-39.2297,-41.1108,-49.3937,-54.0774,-36.9269,-38.2622,-34.5933,-37.8492,-43.6547,-51.5225,-51.9411,-49.8502,-47.9311,-49.5846,-39.7804,-32.072,-42.7239,-40.9491,-49.1845,-36.5713,-42.0852,-45.936,-42.1968,-36.4297,-45.6212,-27.0843,-43.9409,-58.3632,-47.0996,-33.5874,-41.325,-44.5658
-2586.26,1,0.264068,4,15,0,2601.7,78.2005,30.7527,196.172,44.7057,132.298,83.0899,60.6755,22.7355,58.5187,18.7697,84.7117,151.607,39.609,30.2205,78.9108,0.344729,0.0543285,0.383663,0.238017,0.127764,0.154627,0.290971,0.235026,0.175701,0.453703,0.139892,0.045104,0.0461078,0.0867025,0.361799,0.127644,-1.76868,0.773788,-33.5423,-42.5158,-39.9818,-51.1527,-42.4661,-41.0199,-55.71,-42.337,-39.9029,-49.7797,-51.3049,-45.1859,-35.3294,-41.5746,-46.6063,-44.1921,-37.9912,-34.8213,-42.6834,-40.8185,-34.6144,-45.5155,-35.2768,-47.9292,-37.8292,-44.0063,-38.2604,-39.3772,-31.1032,-42.7441,-37.732,-40.4471,-48.366,-55.1892,-37.6973,-37.7943,-35.4943,-38.7451,-45.4902,-49.2635,-50.1541,-53.0215,-48.498,-52.1479,-40.1822,-31.8459,-43.3648,-40.5307,-44.7347,-34.0422,-40.624,-47.2257,-40.4761,-37.6395,-47.3436,-29.9407,-44.9811,-56.9418,-46.4552,-33.8481,-42.5138,-45.0525
-2592.88,0.983974,0.264068,4,15,0,2609.04,40.4045,29.0852,187.062,24.0879,109.571,72.5086,47.5117,18.0264,55.8311,8.20436,77.975,100.81,22.5671,29.8053,56.7372,0.244847,0.254924,0.0595591,0.0592214,0.378686,0.1777,0.202419,0.300472,0.257771,0.336783,0.27305,0.0611112,0.0532212,0.171748,0.327174,0.178148,-1.28915,0.790775,-34.6986,-42.177,-43.7422,-51.4276,-43.3237,-40.9913,-55.8932,-43.2044,-40.7462,-49.6048,-51.9805,-46.8194,-36.003,-41.1129,-45.8541,-44.1218,-36.3381,-35.2552,-44.7693,-40.4497,-34.6889,-45.8771,-35.0242,-49.2144,-38.6729,-43.2167,-38.4776,-39.2858,-31.9927,-43.0623,-39.0488,-41.5987,-49.2779,-54.6823,-37.3358,-36.9633,-35.4951,-38.8211,-44.0958,-50.2957,-48.8042,-50.4016,-49.6729,-50.3787,-40.2919,-32.5583,-43.9696,-40.4334,-46.5363,-33.8007,-39.2803,-46.0037,-40.356,-36.8864,-45.8791,-27.6083,-44.914,-57.5197,-45.5407,-34.1758,-42.2261,-45.2702
-2591.05,0.463243,0.264068,4,15,0,2619.99,44.4468,33.1289,168.532,24.069,98.5888,60.6935,55.4669,20.2671,49.1389,11.0377,72.874,96.5544,29.139,25.7999,57.9718,0.272571,0.249185,0.095285,0.0621616,0.395429,0.100971,0.20824,0.196981,0.221017,0.444214,0.21525,0.102315,0.0984479,0.16985,0.377521,0.139868,-1.69704,0.956899,-34.249,-42.2731,-43.1881,-52.9101,-42.8978,-41.1312,-55.865,-43.1247,-40.577,-48.2468,-52.8305,-46.558,-35.7184,-40.4724,-46.003,-44.1177,-36.9735,-35.2334,-43.967,-41.4848,-34.514,-45.4763,-35.0117,-49.5778,-39.0328,-43.9977,-38.2516,-38.9852,-32.6293,-43.5307,-39.6674,-41.0179,-48.5788,-54.3531,-37.2311,-37.9679,-36.1106,-39.0544,-44.2747,-50.8179,-49.6761,-49.9042,-49.6676,-48.5579,-38.7062,-33.1135,-43.5317,-40.1831,-46.9087,-32.941,-40.8665,-45.5047,-41.4004,-37.0863,-45.8909,-27.6783,-45.1026,-55.7595,-46.314,-34.2014,-41.8567,-45.0359
-2590.81,0.990544,0.264068,4,15,0,2602.5,45.3482,33.4394,185.609,23.4335,100.177,60.9509,54.9379,19.4108,50.6589,12.4999,72.435,97.5641,30.6247,25.7642,65.8126,0.28563,0.25793,0.0902325,0.0520794,0.389362,0.096444,0.197959,0.213911,0.222907,0.440313,0.211909,0.0943017,0.0994223,0.203168,0.35261,0.114304,-1.7091,0.95688,-34.3305,-42.2651,-43.2224,-52.4928,-42.4972,-40.7189,-55.8281,-43.0829,-40.1472,-48.3835,-52.359,-46.5106,-35.6209,-40.6088,-45.9841,-44.1108,-37.0624,-35.3907,-44.0527,-41.4401,-34.4775,-45.6965,-35.1971,-49.2365,-38.9277,-44.0168,-38.2603,-38.9625,-33.2262,-43.64,-39.4635,-40.9814,-48.5572,-54.4766,-37.1885,-37.6796,-36.352,-39.0884,-44.4553,-50.5823,-50.0103,-49.4079,-49.5143,-48.3827,-38.8692,-32.9777,-43.4679,-40.3653,-46.8812,-32.9877,-40.6841,-45.8697,-41.6696,-37.3443,-46.0946,-27.4667,-45.4011,-56.2077,-46.4318,-34.2183,-41.8299,-44.7822
-2577.18,0.949258,0.264068,4,15,0,2602.62,56.283,28.4718,207.137,35.2571,107.366,65.5143,52.0915,19.4115,58.5958,14.9781,91.5233,122.986,28.7819,27.034,68.6419,0.272155,0.199845,0.187173,0.0836914,0.342746,0.18526,0.256141,0.295968,0.105314,0.441529,0.337151,0.128655,0.0842449,0.079096,0.325321,0.151468,-1.39452,0.957098,-33.8788,-41.6352,-42.418,-51.9395,-41.9955,-39.7436,-55.3887,-42.4454,-39.8315,-49.4273,-50.9234,-46.0058,-34.7458,-41.7136,-45.8441,-43.7602,-36.5448,-34.5671,-43.5127,-40.6986,-34.5974,-45.274,-34.4496,-51.3936,-39.6297,-43.4945,-37.785,-38.274,-31.5977,-43.2725,-38.9901,-40.7237,-49.7595,-54.6618,-36.7366,-37.2112,-35.0768,-38.5051,-43.3152,-51.6229,-50.3492,-49.517,-48.1172,-50.3129,-38.9378,-31.2106,-43.524,-40.7074,-47.9116,-33.3019,-41.4772,-45.9137,-41.3895,-36.1211,-46.0645,-27.2884,-44.2207,-59.4913,-47.6627,-33.3797,-41.0096,-44.8294
-2581.39,0.992665,0.264068,4,15,0,2590.88,63.5254,29.2396,167.301,32.462,97.0465,68.8997,52.5742,22.5536,48.0312,15.9557,77.6335,98.9946,22.9909,25.0372,83.8784,0.260239,0.065119,0.239264,0.193628,0.234753,0.188433,0.250297,0.272439,0.0594034,0.385123,0.143306,0.10544,0.12028,0.230267,0.38955,0.109686,-1.52703,0.565085,-33.6108,-42.0996,-41.35,-51.5331,-41.7349,-40.5035,-55.3166,-43.3109,-40.9502,-47.6882,-52.2278,-45.5693,-35.628,-41.9402,-46.1801,-43.3707,-37.5455,-35.2911,-44.1376,-40.5965,-34.6293,-45.8782,-34.5982,-49.5939,-38.4071,-44.1529,-37.7556,-38.8287,-31.7328,-42.9072,-38.3927,-40.003,-47.8444,-54.935,-37.0151,-38.0181,-34.8661,-38.8881,-44.6254,-51.1216,-49.3462,-51.3344,-50.066,-49.2579,-39.6981,-32.6483,-43.8715,-40.8608,-45.9173,-34.3207,-42.7265,-44.6092,-40.8091,-37.0952,-47.1359,-28.4943,-44.4072,-55.7824,-46.7482,-34.1356,-41.7852,-44.6577
