lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.199852
# Diagonal elements of inverse mass matrix:
# 0.0409447, 0.0138113, 0.223982, 0.032413, 0.0644963, 0.0189083, 0.0234639, 0.0210247, 0.013271, 0.0725821, 0.0372597, 0.0720518, 0.0703192, 0.0172437, 0.157661, 0.531455, 0.172931, 0.166699, 0.158947, 0.374072, 0.106155, 0.196123, 0.401621, 0.045687, 0.468758, 0.92979, 0.259347, 0.844976, 0.192444, 0.415771, 1.17521, 0.133862, 0.862484, 2.62212
-2583.25,0.988782,0.199852,4,15,0,2608.26,60.3481,36.1541,213.38,46.8371,152.455,84.3806,58.4808,22.0707,66.7732,15.2426,102.773,132.59,43.4199,26.6901,70.0192,0.0634343,0.136689,0.116611,0.215832,0.0895006,0.157737,0.207915,0.199216,0.379871,0.181956,0.0486221,0.0268353,0.121486,0.497728,0.0804834,-1.93839,1.13141,0.0804043,2.03333,-34.317,-41.1714,-41.3224,-52.7743,-42.5884,-40.4402,-54.8141,-41.9196,-39.5063,-50.4445,-51.4562,-46.7366,-35.7887,-44.2043,-46.2399,-42.9128,-36.6704,-34.4667,-43.5964,-40.2845,-34.9654,-44.433,-34.7537,-50.0029,-39.1006,-43.4837,-38.9825,-37.6499,-31.5254,-42.7307,-39.0766,-40.3016,-48.3659,-54.2628,-36.7191,-36.5553,-34.8077,-38.7998,-43.6277,-51.2014,-50.5774,-50.0778,-48.3407,-50.7704,-38.2435,-31.607,-42.0227,-39.8748,-47.958,-33.2865,-39.3106,-46.5922,-42.1826,-36.0889,-45.4245,-28.3275,-45.0293,-57.2846,-46.7541,-33.4952,-41.8483,-46.2083
-2577.44,0.998459,0.199852,4,31,0,2596.88,81.0364,36.6866,212.687,46.834,110.356,80.2911,56.3926,23.1632,64.2993,13.277,102.926,115.312,29.3414,41.469,77.5992,0.103683,0.194818,0.140589,0.187204,0.252052,0.229267,0.219518,0.144835,0.38352,0.185793,0.0916816,0.108858,0.143788,0.168875,0.184889,-1.62362,0.767646,0.721089,5.91156,-35.4833,-41.9451,-40.9389,-51.745,-41.8233,-40.4534,-55.3591,-42.6634,-41.5812,-49.2184,-52.4798,-45.3513,-35.1555,-42.6942,-45.9318,-43.3279,-36.5927,-34.238,-43.9143,-40.5812,-33.7842,-44.87,-35.2196,-49.14,-39.9731,-44.9328,-37.1459,-38.1844,-32.8816,-43.0072,-37.7968,-40.1744,-48.8763,-54.2355,-35.7063,-38.2092,-35.3964,-38.3512,-43.4642,-52.7355,-51.2675,-50.117,-48.9188,-51.0163,-38.0536,-32.0357,-42.7922,-40.2501,-47.3531,-32.83,-41.5059,-46.8482,-40.9415,-35.8845,-45.9723,-27.9994,-45.7204,-58.642,-46.9013,-33.1896,-41.4773,-44.5241
-2579.85,0.967551,0.199852,5,31,0,2590.28,76.0974,36.6419,205.194,43.2367,116.061,80.5812,54.979,23.2812,65.7767,14.3242,104.305,109.286,28.3998,45.1457,75.3781,0.0960155,0.198623,0.15508,0.237051,0.275973,0.210721,0.250576,0.149796,0.391774,0.213994,0.0904245,0.112844,0.132286,0.189575,0.205158,-1.51012,0.808488,0.635794,5.77616,-36.2534,-41.6422,-41.683,-52.0785,-41.8424,-40.1561,-55.3683,-42.6309,-41.5133,-49.4928,-52.0544,-45.4145,-35.0869,-42.8349,-45.8282,-43.078,-36.4327,-34.1165,-44.1321,-40.7166,-33.7785,-45.1014,-35.2207,-49.5661,-39.8506,-45.3218,-37.1616,-38.0335,-32.36,-43.1485,-37.9572,-40.5433,-49.2836,-54.2079,-35.5496,-38.0046,-35.4364,-38.5633,-43.1954,-53.2044,-51.0098,-49.8433,-49.2451,-51.4511,-37.8015,-31.9265,-43.1976,-40.315,-48.2526,-32.2262,-41.1104,-47.4198,-41.1701,-35.4718,-45.5737,-27.7763,-46.082,-58.6377,-46.6329,-33.4337,-41.6836,-44.5584
-2575.31,0.994149,0.199852,5,31,0,2594.84,61.7032,38.6821,240.756,45.838,135.817,85.3003,62.3077,20.2749,64.5748,21.9189,107.179,143.16,19.0173,32.5804,92.0031,0.167772,0.11247,0.151269,0.181636,0.0906692,0.245985,0.166188,0.185404,0.283651,0.173112,0.183418,0.0622528,0.138758,0.302641,0.117542,-1.65842,0.419097,0.165491,2.76016,-32.9391,-41.5053,-40.7991,-50.6409,-41.188,-39.8014,-54.9254,-42.6351,-39.377,-48.2077,-50.6712,-45.3291,-34.9646,-46.3709,-45.2215,-43.2372,-37.1272,-34.618,-44.5535,-39.6939,-35.198,-45.7085,-34.526,-51.062,-39.8023,-44.1248,-37.1496,-39.04,-33.0491,-42.4697,-38.2214,-40.2129,-48.256,-55.3923,-36.7591,-37.2217,-34.747,-37.5579,-43.4317,-53.524,-51.5711,-51.4689,-49.4575,-50.5648,-40.6565,-32.1149,-43.361,-40.7227,-45.95,-34.8758,-41.4561,-44.3501,-40.6285,-36.2362,-46.7161,-28.5123,-44.2515,-58.6223,-47.8317,-33.0489,-40.9761,-45.4541
-2578.55,0.913243,0.199852,4,15,0,2592.82,52.2197,36.5656,209.498,45.8506,122.369,78.949,64.3683,18.0895,65.8478,18.0887,84.1793,120.657,22.5742,39.7071,82.9226,0.173863,0.169077,0.121623,0.155335,0.0864666,0.20637,0.255209,0.10886,0.282945,0.227406,0.0715577,0.0691159,0.180404,0.47919,0.121518,-1.56225,0.704504,0.199854,3.37723,-33.689,-40.3385,-42.2689,-50.6335,-43.7384,-40.3477,-55.0571,-43.0903,-39.7804,-50.7616,-50.2106,-45.6497,-34.8365,-43.0725,-45.3694,-43.7053,-36.7709,-34.8357,-44.7258,-40.0098,-34.9317,-45.8484,-35.1498,-50.7977,-38.45,-44.6588,-37.6726,-38.4751,-32.3399,-42.867,-38.5467,-41.0836,-47.3509,-55.4936,-36.7804,-36.4037,-34.6908,-38.4772,-43.395,-51.9519,-52.5758,-50.9049,-49.488,-51.2956,-40.1262,-31.9887,-43.152,-40.3115,-46.4431,-33.5223,-39.9668,-45.2207,-41.0102,-36.2719,-46.1417,-27.9668,-45.1558,-56.6592,-47.0565,-34.1748,-41.2437,-45.1802
-2575.37,0.949758,0.199852,5,63,0,2594.06,81.0275,39.5085,234.139,40.5839,120.174,90.0745,61.9625,27.2817,59.5538,18.8313,111.011,126.953,48.0026,35.6685,65.207,0.0454564,0.146159,0.119597,0.304745,0.100222,0.158188,0.216361,0.0234709,0.391123,0.237973,0.0654686,0.0578582,0.0337804,0.188282,0.0515506,-1.83311,1.0658,0.155412,2.5385,-33.721,-41.7966,-41.6681,-52.3699,-41.2312,-39.6594,-54.8628,-42.4668,-39.6243,-48.5978,-52.3741,-45.5343,-35.4196,-44.956,-45.0865,-42.9643,-36.4736,-34.4498,-43.5798,-40.162,-34.133,-44.8855,-35.2102,-48.9923,-40.4387,-43.6561,-37.4577,-37.7702,-33.489,-43.3515,-38.0235,-40.2301,-48.4863,-53.6622,-35.9134,-38.5215,-34.915,-38.2033,-43.49,-51.6653,-51.9283,-49.5137,-48.9389,-49.3981,-38.8063,-32.4568,-43.2389,-39.7914,-47.2234,-34.2692,-41.0247,-45.7492,-41.4881,-35.8447,-45.1321,-27.4813,-44.547,-57.4127,-46.7562,-33.5791,-41.2895,-45.2006
-2576.63,0.872984,0.199852,5,31,0,2590.69,65.7831,41.4516,222.403,50.3912,160.98,97.5115,66.253,22.585,66.3675,11.6807,118.21,149.962,34.8725,33.3415,105.262,0.117751,0.218697,0.151699,0.121105,0.0851038,0.211076,0.360746,0.117493,0.370594,0.283619,0.102441,0.0383264,0.111908,0.523875,0.152145,-1.52754,0.87541,0.320251,3.15093,-33.6104,-41.0726,-40.0464,-51.5446,-42.9332,-41.7305,-54.951,-42.0369,-40.908,-49.377,-51.0987,-45.924,-35.5405,-42.8435,-46.1206,-43.5405,-37.0665,-34.2116,-43.515,-40.526,-34.2335,-44.4585,-34.3869,-49.6546,-37.8442,-44.3901,-38.1266,-38.633,-32.2432,-43.0607,-38.0127,-40.2899,-47.8396,-54.5534,-36.9504,-36.2365,-34.4684,-37.9631,-44.2091,-51.8825,-52.1178,-52.2945,-48.7752,-51.4146,-42.3795,-32.0898,-41.9562,-40.1702,-46.2956,-34.3365,-39.8188,-46.25,-40.8232,-36.5225,-46.1951,-28.9949,-44.6878,-57.0801,-45.8705,-33.0827,-42.111,-44.7646
-2581.23,0.800597,0.199852,5,47,0,2596.69,64.9764,35.2825,214.148,40.742,103.872,80.4227,60.7026,20.7578,56.767,16.7678,85.3153,103.256,36.1267,38.4688,66.3508,0.0531793,0.120507,0.0810449,0.298381,0.148214,0.165962,0.152662,0.0517167,0.279569,0.0749528,0.105988,0.0488294,0.101394,0.15726,0.107662,-1.78585,0.454021,0.0967829,2.38598,-34.358,-41.4551,-42.1538,-52.0478,-42.2645,-39.9857,-55.216,-42.8121,-40.2943,-47.6445,-52.4179,-45.5777,-35.5874,-43.7785,-45.14,-43.4866,-36.7086,-35.3004,-44.4627,-39.6966,-34.9179,-45.8284,-35.5774,-47.2966,-40.227,-43.8678,-38.0519,-37.9207,-33.9233,-43.2041,-38.1114,-40.5905,-48.2686,-54.705,-36.4709,-38.3438,-35.2772,-38.7293,-43.4302,-51.8226,-50.9447,-49.7475,-49.7563,-49.6169,-37.7976,-32.5186,-43.3432,-39.9104,-46.8039,-33.9949,-40.3539,-45.7127,-41.3282,-36.1525,-45.2627,-26.8359,-44.7725,-57.3271,-46.2339,-33.9511,-41.9209,-45.3607
-2579.03,0.865987,0.199852,4,15,0,2600.33,60.4545,35.6139,225.408,39.1307,128.544,82.509,44.0425,19.6767,65.2377,16.0897,107.237,115.499,27.7469,31.2259,72.8409,0.143701,0.121345,0.120684,0.141822,0.112246,0.218453,0.338179,0.249311,0.308155,0.21044,0.0764249,0.0601823,0.0336949,0.340482,0.0223861,-1.68081,0.980344,0.115992,2.2321,-33.9027,-41.3819,-40.7941,-49.7229,-42.018,-39.9382,-55.4601,-42.9828,-39.3326,-48.4762,-51.3053,-46.0337,-35.3158,-44.3443,-45.9513,-42.3034,-37.0535,-34.518,-44.9929,-40.4313,-34.0773,-45.3026,-34.3754,-48.7801,-39.3571,-44.2322,-38.3513,-38.648,-32.1014,-43.0568,-38.0863,-40.3002,-48.3334,-54.4187,-36.4462,-36.5982,-35.3244,-38.3562,-44.0948,-52.4463,-50.824,-51.3935,-49.0702,-50.5605,-39.6988,-31.8223,-42.9939,-41.2956,-46.2673,-33.1734,-39.6415,-46.4597,-40.1786,-35.8792,-46.6936,-28.1478,-44.543,-58.6127,-46.7299,-33.3641,-41.5114,-45.2931
-2580.02,0.983716,0.199852,4,31,0,2596.59,70.6616,37.29,201.945,43.1205,171.068,84.8554,61.3946,18.3761,59.1733,12.6484,103.903,128.364,45.3754,33.6407,99.8709,0.0904629,0.150213,0.0868068,0.13724,0.0293897,0.146607,0.232476,0.120898,0.354336,0.14686,0.043578,0.0673482,0.126047,0.276883,0.106681,-1.71741,0.795604,0.33885,3.88189,-33.8816,-41.2043,-41.2645,-52.112,-42.3101,-41.24,-54.4516,-41.6572,-40.8518,-49.2573,-52.475,-46.8091,-36.0089,-42.2121,-45.3263,-43.4211,-36.4044,-34.5793,-43.5897,-40.2549,-34.6298,-44.1755,-35.2683,-49.7409,-38.7606,-43.7718,-37.546,-38.5561,-32.7143,-43.4427,-38.9052,-40.6776,-48.0363,-53.6858,-36.8272,-37.0781,-34.8247,-38.3539,-44.3644,-50.4792,-51.6549,-50.0515,-48.6843,-50.6264,-41.011,-32.7027,-42.4429,-39.6961,-46.159,-34.1885,-40.1441,-45.9022,-42.6878,-36.6825,-46.5121,-29.0298,-46.3102,-56.1453,-47.3185,-33.0945,-41.9317,-45.6346
