# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 94248849
# output
#   file = output_cal_pl_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.256974
# Diagonal elements of inverse mass matrix:
# 0.027592, 0.0103553, 0.0590626, 0.0214332, 0.0334677, 0.0128079, 0.0185065, 0.00996895, 0.00756972, 0.016766, 0.0287807, 0.0132838, 0.0636887, 0.0154819, 0.171448, 0.0255268, 0.26746, 2.06633
-2674.33,0.9258,0.256974,3,7,0,2689.42,62.158,39.2792,224.726,37.9696,130.842,82.2624,57.4713,22.5404,69.0806,25.3879,98.0161,116.484,35.1856,36.189,120.223,0.143689,0.0978014,2.6213,-36.1356,-41.0367,-42.7492,-50.4182,-40.5461,-39.1243,-55.4732,-43.5682,-42.4546,-48.6034,-52.2854,-46.7724,-36.1832,-47.5549,-45.8257,-42.7164,-37.446,-35.5088,-46.8673,-44.6891,-37.3254,-46.9144,-37.0686,-53.0647,-41.6849,-45.4721,-36.585,-41.1537,-33.1896,-43.0359,-39.4039,-41.6576,-47.9944,-58.8596,-36.4598,-40.0258,-34.9455,-41.2469,-47.5362,-56.9089,-64.0197,-53.2446,-54.1437,-50.6774,-39.4236,-32.6349,-43.8913,-40.9626,-46.4644,-38.6197,-41.1195,-44.2493,-42.5877,-36.4896,-50.0537,-29.3938,-46.9147,-56.467,-51.0975,-35.257,-43.089,-48.9442
-2675.28,0.613968,0.256974,4,31,0,2686.73,60.1102,37.8884,232.635,45.8517,108.072,87.7701,58.2305,21.1283,66.7527,28.7991,113.273,118.685,28.3865,34.127,68.7394,0.134975,0.0559077,2.0107,-35.331,-41.0018,-42.4363,-49.8049,-41.1207,-39.1929,-56.8069,-44.4715,-41.0811,-47.8485,-52.4166,-46.0788,-36.222,-47.3093,-45.6095,-42.0552,-38.1169,-35.8302,-47.0827,-44.0491,-37.0962,-47.2246,-36.9004,-52.2045,-42.9776,-44.9103,-36.5873,-41.1212,-33.9418,-43.3026,-39.0188,-41.2659,-48.6432,-58.8089,-36.7194,-40.2079,-34.8962,-41.1705,-47.1978,-57.1995,-64.3733,-52.7995,-53.657,-49.5575,-39.6384,-32.7926,-43.6118,-41.6129,-46.063,-39.7036,-42.0384,-44.0596,-41.7497,-36.3679,-50.0076,-28.5804,-45.616,-57.5096,-50.531,-35.2175,-42.512,-48.8884
-2677.79,0.974716,0.256974,4,15,0,2684.16,69.0706,38.6599,218.768,36.5911,122.28,96.7938,67.2573,24.8029,76.5109,26.6985,86.6321,110.179,41.1737,41.5071,84.4893,0.172389,0.120164,2.55348,-36.3301,-41.4263,-42.2261,-50.1838,-41.6969,-40.2465,-56.0858,-43.5961,-42.3001,-48.6244,-52.2656,-45.9158,-36.49,-46.2732,-45.8511,-43.0695,-38.0413,-35.651,-47.1294,-44.4245,-36.7017,-46.7798,-37.4025,-52.2969,-41.0358,-45.0109,-36.6912,-40.9419,-33.4245,-42.5702,-38.6206,-42.1706,-47.826,-58.9136,-36.4058,-40.3629,-35.3459,-41.5146,-47.7912,-56.4084,-65.7938,-54.9234,-53.5516,-53.4047,-38.8658,-32.8595,-43.7808,-41.0889,-46.6658,-37.6518,-40.6433,-45.2818,-41.3966,-37.0983,-49.8159,-29.7232,-47.1899,-55.9146,-50.1388,-35.9158,-43.9535,-48.7197
-2673.48,1,0.256974,4,15,0,2686.88,54.4221,35.2068,206.173,52.6746,120.32,85.0776,47.5227,19.0611,62.6001,21.3151,88.7922,98.6832,22.8174,29.8849,64.0243,0.1031,0.0349696,2.05766,-34.4659,-40.7116,-41.9407,-50.179,-41.7631,-40.0132,-56.5965,-44.3096,-41.5552,-49.0966,-53.1345,-46.9977,-36.1601,-46.3497,-45.8334,-42.5598,-38.4061,-35.4774,-47.698,-43.7751,-37.6886,-47.2176,-37.5157,-50.4659,-43.2935,-44.8659,-36.8313,-40.8787,-33.1238,-43.2052,-38.8579,-40.9919,-47.9618,-59.6053,-36.598,-40.4486,-34.7229,-41.9711,-46.9111,-57.2561,-63.7612,-53.9567,-54.9812,-49.6396,-37.8497,-32.393,-43.8339,-41.6496,-46.4568,-39.5848,-40.4902,-44.2724,-41.5259,-35.8544,-49.4383,-27.804,-44.3424,-57.209,-50.2625,-34.9713,-42.7029,-50.0457
-2676.53,0.601819,0.256974,4,15,0,2682.5,62.4516,33.2132,204.7,33.3583,105.971,77.3303,59.2984,21.8769,59.8415,24.7327,101.221,98.8115,31.5237,36.0169,78.955,0.176171,0.0482491,2.00911,-36.1571,-41.7366,-42.6911,-50.1429,-41.2686,-38.8048,-56.4569,-44.2401,-41.9115,-46.4767,-51.6446,-46.2113,-36.0532,-46.6361,-46.5881,-42.1473,-37.9366,-35.8598,-47.5341,-44.7816,-36.7014,-46.9988,-36.4229,-51.1925,-41.8543,-45.3391,-37.1343,-41.0759,-32.6348,-43.3995,-38.8259,-41.9136,-48.7616,-59.1769,-36.6736,-40.5852,-35.1776,-41.5863,-47.7969,-57.7963,-63.0555,-53.4033,-54.3378,-49.6818,-39.1428,-32.5488,-44.1491,-41.0202,-45.751,-37.5107,-42.0997,-44.4483,-41.6659,-36.4743,-50.5075,-29.2509,-46.0827,-56.9696,-50.687,-35.593,-43.5106,-48.7789
-2670.8,0.991012,0.256974,4,15,0,2681.97,58.4408,34.104,208.204,47.2833,111.417,84.5792,51.8882,20.4753,64.1445,21.7572,77.3265,97.7728,29.5448,31.8711,74.929,0.119454,0.0374859,2.08173,-34.8726,-41.0927,-42.1676,-50.2257,-41.8552,-39.794,-56.2683,-44.1438,-41.9645,-49.1726,-52.6165,-46.8778,-36.1988,-46.3939,-46.0416,-42.956,-38.1976,-35.6667,-47.569,-43.7689,-37.5117,-47.2729,-37.5816,-50.3247,-42.3245,-44.4676,-36.83,-40.7157,-33.0924,-42.8667,-38.6907,-41.3659,-47.5312,-59.6735,-36.5692,-40.4126,-34.9372,-42.0528,-47.2143,-56.395,-63.7933,-54.1031,-54.5921,-50.3347,-37.4851,-32.3708,-43.9491,-41.263,-46.067,-38.8207,-40.2955,-44.3732,-41.4468,-36.2939,-49.5517,-28.2197,-44.874,-56.4814,-50.4283,-35.4791,-43.0435,-49.7729
