lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.161346
# Diagonal elements of inverse mass matrix:
# 0.0968709, 0.023977, 0.426529, 0.0504265, 0.166539, 0.0491914, 0.025109, 0.0389816, 0.0117405, 0.022755, 0.0592823, 0.876504, 0.0818741, 0.0216457, 0.21112, 0.743329, 0.712089, 0.112091, 0.0628673, 0.157017, 0.216731, 0.0883943, 0.143453, 0.361229, 0.0358458, 0.255676, 0.313941, 0.300741, 0.447498, 0.102216, 0.736211, 0.699661, 0.0698891
-2664.82,0.954317,0.161346,5,31,0,2684.3,145.435,44.5729,248.122,44.2585,202.796,107.476,69.5816,31.9988,71.6878,29.0315,156.228,204.846,91.9097,42.7653,153.164,1.64003,0.0465049,0.168016,0.213462,0.257926,0.0525505,0.166899,0.356232,0.0824979,0.39582,0.102231,0.0360201,0.0525093,0.00625951,0.383789,0.0389177,-1.96686,1.11974,-34.9883,-43.1255,-42.3038,-52.114,-43.0799,-39.4193,-56.9935,-42.1069,-40.436,-47.6394,-50.1791,-46.7089,-35.6893,-40.729,-48.722,-43.0647,-39.6673,-34.7657,-46.3758,-45.7883,-35.0278,-45.8477,-36.446,-47.1888,-40.8672,-43.8393,-39.4544,-40.2829,-33.6283,-44.6622,-38.6627,-43.7911,-49.8501,-57.3386,-37.0196,-39.5721,-37.5379,-41.1419,-47.3574,-50.4183,-60.8474,-53.5749,-51.2879,-51.3284,-39.6316,-32.9956,-43.1594,-41.6282,-46.5807,-36.0995,-41.8428,-49.5433,-42.9256,-36.4415,-48.8613,-28.2128,-45.1031,-56.5523,-49.9931,-34.6964,-44.3928,-48.3647
-2666.83,0.960045,0.161346,4,31,0,2682.39,102.764,48.3017,277.836,43.4663,190.696,127.942,71.33,33.1847,66.9656,40.0554,148.006,244.465,52.2932,32.7167,133.809,1.75002,0.0229284,0.245082,0.209283,0.301535,0.0724514,0.171549,0.199494,0.0900735,0.383786,0.0205173,0.0193049,0.0166524,0.0710891,0.515474,0.0280717,-1.91886,1.57494,-33.6805,-42.6715,-41.9232,-53.0971,-42.8358,-40.739,-56.9777,-42.5999,-39.0977,-48.617,-50.4927,-45.7628,-36.5252,-41.2148,-47.9549,-42.0519,-40.4521,-35.717,-45.8453,-46.0375,-36.1667,-46.8418,-36.5666,-46.522,-40.666,-45.0087,-39.8217,-40.8911,-33.6264,-44.463,-38.4105,-42.7947,-49.2398,-58.2542,-37.948,-38.6814,-36.8864,-40.899,-48.1121,-49.9896,-59.4951,-55.2637,-53.0594,-51.0263,-39.0586,-32.8488,-43.4165,-41.5566,-45.3857,-38.249,-41.6633,-48.5461,-42.5572,-38.0928,-48.7177,-28.5919,-44.2742,-55.8074,-47.55,-34.5053,-44.8299,-47.626
-2671.29,0.988768,0.161346,5,31,0,2685.74,148.21,41.8317,268.146,50.9467,184.259,118.668,75.26,40.9959,62.8305,40.9165,160.074,201.508,61.755,40.8812,103.346,1.65925,0.0605477,0.208307,0.235979,0.16437,0.141705,0.144028,0.190117,0.0346188,0.450633,0.0423715,0.0134506,0.0609181,0.077085,0.556818,0.0718172,-1.78765,1.74685,-35.944,-43.5597,-43.0089,-51.9778,-44.8661,-39.0751,-57.532,-42.9582,-40.3227,-48.1424,-50.3123,-46.3112,-35.385,-40.2568,-48.4601,-41.8026,-39.2036,-35.1904,-46.529,-45.4596,-35.1162,-46.4851,-36.1026,-47.4281,-40.8095,-43.8823,-39.3855,-40.4244,-33.4972,-44.1555,-38.7297,-43.9412,-50.4671,-57.278,-37.0442,-40.2275,-37.0331,-40.9048,-48.0909,-50.9392,-59.3519,-53.6157,-51.1443,-49.9883,-38.9087,-32.6792,-43.686,-41.5175,-45.5918,-37.1618,-42.9764,-49.0261,-44.0276,-37.7458,-49.7311,-29.8094,-45.5687,-56.853,-50.5564,-35.2062,-44.0943,-48.4047
-2664.56,0.99013,0.161346,5,31,0,2689.18,139.246,53.0742,257.676,68.2441,181.725,136.08,81.0958,34.8407,75.0306,38.7822,141.614,255.609,69.2915,39.294,79.1087,1.9037,0.0114716,0.187878,0.213735,0.176371,0.118552,0.13953,0.328487,0.103102,0.383696,0.0382969,0.121779,0.0212962,0.0376727,0.399291,0.207689,-1.74001,0.850907,-34.9521,-41.7031,-42.2203,-52.9862,-43.7178,-40.8031,-57.5798,-41.7086,-41.599,-47.8931,-51.5636,-45.5817,-36.5385,-41.5979,-48.0238,-43.1536,-40.2039,-34.8928,-45.1401,-44.937,-35.4985,-46.2778,-36.7966,-46.0985,-40.2648,-44.1234,-39.168,-40.4129,-34.296,-43.8521,-38.4349,-42.5474,-50.6529,-57.909,-37.448,-39.497,-36.6706,-40.2779,-47.0151,-51.5162,-60.6089,-54.1855,-51.2069,-51.252,-40.6438,-33.2516,-42.4444,-41.5154,-46.3489,-37.917,-41.3633,-49.0112,-42.3022,-37.4633,-47.8571,-28.2041,-44.5762,-56.512,-47.994,-34.4307,-44.2408,-48.1311
-2662.76,0.970091,0.161346,5,63,0,2684.19,102.221,46.251,247.08,46.646,176.376,141.104,71.0472,36.5634,70.7675,33.6634,153.734,244.565,42.8084,39.8359,103.303,1.9806,0.0646189,0.181778,0.293773,0.223208,0.112584,0.119435,0.27184,0.0921047,0.396227,0.0198718,0.0559892,0.0384924,0.105691,0.431155,0.0742094,-1.75987,1.34488,-34.5355,-44.1504,-42.9825,-52.1703,-43.7819,-39.4145,-57.0041,-42.8417,-39.7164,-48.8747,-50.5473,-46.0933,-36.5985,-41.7605,-47.7876,-42.4192,-39.4769,-35.1273,-46.6232,-45.0437,-35.506,-46.1936,-36.5168,-47.6906,-39.9972,-43.8992,-38.9442,-41.3526,-32.605,-44.0348,-38.5008,-43.4048,-50.3063,-58.1308,-37.51,-38.8888,-36.9901,-40.733,-48.0153,-49.9509,-59.2329,-53.726,-51.8242,-50.323,-40.1841,-32.9875,-43.3502,-41.2454,-44.9611,-37.9216,-42.0333,-48.5212,-42.339,-37.7108,-49.1242,-28.9035,-45.0569,-56.2323,-48.9532,-34.047,-44.1275,-48.1438
-2662.47,0.922282,0.161346,4,31,0,2681.82,161.999,54.2298,261.795,62.3888,208.14,122.679,71.2398,33.0423,70.5749,41.5827,161.156,247.041,55.3788,41.1069,109.873,1.65845,0.0222369,0.17545,0.203092,0.144114,0.0821231,0.161148,0.348807,0.139483,0.377137,0.146944,0.0584673,0.0347574,0.0909132,0.309447,0.130504,-1.78878,0.750761,-35.822,-41.4833,-40.9733,-52.7793,-42.0096,-40.558,-57.4846,-42.0319,-41.1108,-47.597,-51.1817,-46.1319,-36.7405,-43.7747,-48.0386,-42.9664,-39.994,-34.8893,-45.3028,-45.2959,-35.1459,-45.956,-36.8338,-46.371,-40.6082,-44.5981,-38.8403,-41.0214,-34.7981,-43.8678,-38.5214,-42.4277,-49.9543,-57.6824,-37.1972,-40.01,-36.7619,-39.9135,-47.5991,-50.8457,-60.0051,-53.8789,-51.1729,-50.6026,-41.8339,-33.4652,-42.7104,-41.826,-44.8743,-37.9358,-42.5904,-48.2855,-42.9684,-37.8203,-48.7086,-29.2947,-45.6313,-55.672,-49.3233,-35.204,-44.1331,-48.2767
-2659.56,0.946103,0.161346,5,31,0,2673.93,98.8862,54.4875,265.552,45.097,172.012,112.951,71.5979,35.9221,71.8076,26.4591,153.458,256.862,75.5285,43.2009,136.653,1.34389,0.0489634,0.112853,0.247586,0.28009,0.119214,0.167371,0.24008,0.101429,0.411428,0.0489797,0.0409313,0.0261682,0.0274714,0.444047,0.0613287,-1.65612,1.56633,-34.7335,-44.3031,-43.4601,-52.8971,-44.0684,-39.0742,-56.551,-42.0895,-39.9645,-49.1399,-50.2075,-46.4189,-35.7196,-41.3235,-47.8125,-43.016,-39.2631,-34.6805,-46.2591,-45.6183,-35.748,-46.1982,-37.012,-47.8584,-41.3651,-43.2672,-39.0878,-41.1897,-33.7751,-44.3566,-38.7544,-44.441,-50.8464,-57.8651,-37.361,-39.3665,-37.4709,-40.4883,-47.7712,-49.4393,-58.5909,-53.4114,-51.5264,-50.1883,-38.7419,-33.1956,-43.4264,-40.7251,-45.8046,-37.7374,-41.2743,-48.6638,-42.2741,-37.2719,-48.0431,-28.1103,-44.8818,-56.1727,-48.487,-34.4535,-43.9367,-48.1078
-2661.68,0.939233,0.161346,4,15,0,2675.92,105.796,53.4683,263.483,42.6646,174.696,100.447,89.2666,33.0436,79.9243,31.4157,148.006,196.284,61.6052,38.0379,104.759,0.469199,0.125775,0.12117,0.215972,0.320015,0.158392,0.242457,0.338567,0.076057,0.3533,0.109143,0.0306302,0.0635951,0.0339064,0.497172,0.0317757,-1.55139,1.09441,-35.224,-42.2061,-41.9357,-52.4069,-41.7506,-39.3293,-56.2562,-42.0223,-39.644,-49.7003,-50.407,-45.0934,-34.8789,-42.1049,-46.8184,-43.31,-38.7185,-34.431,-45.1778,-44.502,-35.4588,-45.8868,-37.2238,-52.1271,-42.5033,-43.6383,-37.8122,-40.5474,-35.3937,-42.8183,-37.9153,-42.713,-49.6129,-58.208,-36.622,-40.5741,-35.6819,-39.7982,-46.5375,-52.6125,-64.6005,-54.1112,-50.32,-51.9691,-42.2879,-33.2401,-43.2691,-41.3223,-48.1682,-38.7097,-42.5996,-47.0702,-42.6817,-37.1959,-47.5118,-28.6441,-45.1845,-56.1792,-49.3639,-34.7721,-43.1176,-47.4065
-2661.41,0.755164,0.161346,4,15,0,2681.18,90.9626,49.3628,255.439,45.1541,178.758,109.918,84.0013,33.5527,78.1048,30.1891,145.774,250.789,52.9174,40.0047,129.122,0.631065,0.111038,0.170583,0.195733,0.295193,0.157775,0.268627,0.21068,0.0871329,0.427733,0.0771148,0.0286031,0.0455172,0.0669753,0.442645,0.128879,-1.6161,1.47481,-34.4978,-41.9799,-41.5041,-53.2965,-42.9523,-41.0818,-56.595,-41.2397,-41.0994,-51.1355,-50.2785,-45.6737,-35.2711,-40.1741,-47.437,-43.3126,-40.1326,-34.2578,-45.3948,-44.2974,-35.7896,-45.7433,-36.866,-51.4432,-41.2472,-43.2402,-38.0896,-41.2461,-32.7603,-43.3204,-37.6908,-43.5636,-50.2093,-57.8142,-37.2083,-39.5488,-36.6965,-40.0672,-46.8822,-50.1513,-61.3892,-56.1938,-51.2205,-54.7519,-39.3895,-32.4429,-43.3054,-40.9454,-45.9425,-37.223,-42.1748,-48.2075,-41.695,-37.0961,-48.3035,-29.7853,-45.2062,-55.8841,-49.1449,-34.7481,-44.2662,-48.5411
-2660.26,0.953478,0.161346,5,31,0,2677.47,86.7798,47.003,238.268,47.179,151.843,105.853,60.1257,30.4712,66.0805,32.4456,149.92,230.128,61.4736,35.357,102.53,1.0646,0.104441,0.155132,0.290372,0.292776,0.0835693,0.200066,0.492006,0.0890886,0.433688,0.0913427,0.0127123,0.0321182,0.0344408,0.488845,0.0728693,-1.28645,1.38726,-33.6039,-44.0872,-42.204,-53.2113,-43.7696,-38.7516,-56.9678,-42.3334,-39.4188,-48.9578,-49.9975,-46.3886,-34.9674,-41.0393,-48.1618,-43.2699,-39.4463,-34.9097,-46.7009,-45.7194,-35.4375,-46.3544,-36.2871,-48.4413,-40.9521,-43.5448,-39.6343,-40.4957,-32.5297,-44.7991,-38.5052,-43.7705,-50.2839,-58.566,-37.6764,-39.0984,-37.0139,-40.666,-47.2781,-49.7853,-59.7672,-54.314,-51.5985,-50.883,-40.3006,-32.8765,-43.8585,-41.7471,-46.0107,-36.6235,-41.8826,-48.9272,-42.3412,-36.9388,-48.3884,-27.7047,-44.0099,-55.7569,-48.876,-34.5418,-44.3329,-48.4962
