lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.453307
# Diagonal elements of inverse mass matrix:
# 0.0254176, 0.00893525, 0.0563859, 0.020943, 0.0413218, 0.0149732, 0.0193424, 0.0119154, 0.0116985, 0.0275779, 0.0243185, 0.0155822, 0.0657497, 0.0139901, 0.104643, 0.0307718, 0.00959374
-2687.62,0.85647,0.453307,3,7,0,2697.86,55.3645,34.8545,192.23,43.5142,107.984,78.9509,48.7264,18.6053,72.9579,21.406,89.2605,106.559,42.3288,32.412,64.8072,0.270329,0.208291,-35.7204,-41.8843,-42.875,-51.1384,-41.9807,-39.8889,-56.13,-43.4054,-42.2032,-48.0597,-53.1374,-45.8711,-35.9629,-43.6907,-45.599,-43.0445,-38.1067,-35.73,-47.1439,-46.2838,-37.5456,-46.6012,-37.6937,-54.7959,-43.378,-45.6543,-37.3404,-41.1065,-32.7135,-43.4875,-39.6063,-41.9443,-49.4001,-59.0966,-36.5231,-40.6201,-35.2598,-41.8121,-47.839,-57.0167,-66.7458,-53.0694,-52.5768,-52.5923,-37.5167,-32.7278,-43.0746,-41.8583,-49.4818,-39.4589,-41.8719,-45.2436,-41.6685,-37.1235,-49.7662,-27.9111,-46.4832,-57.679,-49.395,-35.0995,-43.6479,-47.8909
-2684.32,0.928578,0.453307,3,7,0,2695.84,59.1887,31.4827,196.94,35.47,99.7718,85.0651,57.4628,18.6175,67.1672,23.3843,78.4744,106.665,28.0711,29.952,77.0542,0.335349,0.200454,-35.2383,-42.8396,-42.052,-49.9143,-42.3377,-40.6709,-57.2237,-44.1615,-42.6386,-47.5719,-52.5649,-45.444,-36.3267,-42.7068,-46.4934,-42.9644,-39.4088,-36.8652,-48.1581,-45.0308,-37.232,-47.1892,-37.7944,-51.6797,-41.4627,-44.8272,-37.8206,-42.0113,-33.662,-43.4048,-38.4312,-41.9625,-48.9958,-59.8963,-37.3078,-40.1279,-35.9612,-42.0549,-48.3649,-54.737,-64.4727,-54.1762,-52.8324,-51.5153,-39.1362,-33.2378,-43.552,-42.6475,-46.0589,-39.386,-43.0099,-44.8418,-40.661,-37.9744,-51.2392,-28.3181,-45.3077,-56.5769,-49.3752,-35.3762,-44.0636,-47.3667
-2685.03,0.824732,0.453307,3,7,0,2696.12,67.5824,33.8652,186.503,38.1568,126.593,70.8441,51.5285,21.1919,60.0785,22.5029,92.9884,89.0222,27.934,33.6015,76.9771,0.298296,0.213197,-36.9148,-42.0766,-42.6041,-51.088,-41.3348,-39.7838,-57.035,-43.8651,-42.5875,-45.8356,-52.7077,-45.6482,-35.9783,-43.6458,-46.2722,-42.5343,-38.5905,-35.9456,-47.342,-46.2029,-37.2275,-47.1313,-37.4199,-51.079,-43.5528,-46.3631,-37.3275,-41.4666,-33.7571,-43.4862,-39.2299,-41.7412,-49.5267,-59.2288,-36.5277,-41.7048,-35.6301,-41.9166,-47.887,-57.8763,-64.1326,-52.8791,-53.3333,-49.5136,-38.8953,-32.9287,-43.8431,-42.4676,-48.4723,-39.0246,-42.7376,-45.1149,-42.1262,-37.0549,-49.852,-28.096,-45.823,-57.9102,-49.1959,-35.3477,-43.4489,-47.2783
-2689.11,0.686778,0.453307,3,7,0,2697.87,47.9788,29.9917,193.804,41.3802,95.0164,84.1903,59.6378,18.6225,56.6432,21.8082,80.8975,112.867,29.4085,30.3847,71.8837,0.296794,0.190673,-34.7342,-42.1697,-42.5279,-50.9375,-42.2393,-40.351,-56.8758,-43.9142,-42.0056,-47.9526,-52.3789,-45.493,-36.1623,-42.4886,-46.0951,-43.5142,-39.0009,-37.6989,-47.3925,-44.4024,-38.5476,-47.3897,-38.3596,-53.0872,-42.5471,-43.7074,-37.4453,-42.5033,-34.2073,-43.2359,-38.5776,-42.1302,-48.8782,-60.3807,-38.0892,-40.67,-35.5623,-42.4203,-48.6697,-54.4188,-62.7931,-53.9402,-53.1885,-50.3905,-40.2041,-33.8245,-44.3356,-41.9614,-45.2181,-41.6682,-44.001,-43.8425,-40.7009,-38.1746,-51.6712,-28.5098,-45.0803,-56.3946,-49.2288,-35.4292,-43.8861,-47.4535
-2689.82,1,0.453307,3,7,0,2696.44,64.6172,33.5023,188.726,36.6206,104.134,70.5409,47.52,20.4467,68.9716,25.7606,88.0537,83.1563,25.9382,29.1887,83.0721,0.315377,0.231514,-36.9849,-43.002,-42.1857,-50.324,-41.7774,-40.1114,-57.6406,-44.8155,-43.2959,-46.2121,-53.1883,-45.5687,-36.6506,-45.0116,-46.639,-42.2013,-39.2816,-35.5669,-48.2648,-46.7432,-36.3867,-47.5512,-36.9359,-51.0379,-42.6947,-47.099,-37.9291,-41.0559,-32.9962,-43.7317,-39.3283,-41.4633,-49.2058,-59.3519,-36.286,-40.6419,-36.0946,-41.9214,-47.6783,-57.953,-65.588,-53.1728,-53.2033,-50.762,-37.4182,-32.3205,-43.3453,-43.447,-49.5344,-37.4372,-42.0496,-46.0901,-41.5643,-36.8976,-49.5846,-27.5084,-45.6924,-58.1657,-49.104,-35.8178,-43.5563,-47.1375
-2689.71,0.938242,0.453307,3,7,0,2697.2,49.67,27.9724,178.252,44.5414,132.361,74.5553,53.966,16.7243,52.6626,18.5379,75.7601,104.016,30.5777,28.0883,65.1781,0.275079,0.191165,-35.4577,-41.8657,-42.8703,-51.6561,-42.1775,-40.1495,-56.7174,-43.6383,-41.7638,-47.6566,-52.3785,-46.1965,-36.0865,-42.053,-46.2699,-43.5908,-38.6335,-37.2632,-47.1648,-44.7544,-39.2896,-47.0712,-38.3472,-52.9615,-43.3576,-43.821,-37.4575,-42.1227,-33.5773,-43.3553,-39.035,-41.969,-49.7608,-60.3538,-37.9614,-41.1755,-35.3407,-42.6804,-48.2149,-55.2045,-61.5553,-53.4972,-53.2879,-50.0128,-39.6361,-33.5558,-44.2758,-41.8001,-46.259,-41.392,-43.5648,-43.7578,-41.8256,-37.6039,-51.259,-28.23,-44.8135,-57.0478,-49.4919,-35.077,-43.7983,-47.9791
-2683.18,1,0.453307,3,7,0,2696.79,53.4099,32.3667,192.168,37.9619,121.423,68.3049,59.8543,18.313,61.7479,25.1344,80.6369,92.2415,26.1027,32.401,68.0254,0.265347,0.196315,-36.8883,-41.8079,-43.618,-50.1755,-41.4958,-39.5329,-57.5119,-44.4862,-41.5549,-47.2257,-52.384,-45.57,-36.2534,-44.2678,-45.8267,-42.72,-38.5236,-36.1283,-47.1848,-45.9126,-37.5155,-48.1129,-37.4912,-51.7718,-42.4419,-45.8652,-37.2546,-41.4747,-33.7218,-43.438,-39.789,-41.8431,-49.3917,-59.7208,-36.7997,-40.4709,-35.2702,-41.8966,-47.606,-56.587,-63.6055,-52.64,-53.0784,-50.1931,-39.2222,-32.672,-44.0933,-42.6881,-48.4648,-38.898,-41.5734,-45.0165,-42.1302,-36.8878,-49.6664,-27.9014,-46.23,-57.4027,-48.8758,-35.8353,-43.1642,-47.2834
-2684.98,0.866023,0.453307,3,7,0,2689.73,49.4228,30.3704,180.423,43.155,105.701,81.4687,52.3156,18.5771,61.3524,16.3383,81.741,96.6868,20.7116,31.068,86.4345,0.307479,0.195509,-34.7781,-42.3933,-42.1273,-50.6981,-42.2903,-41.0977,-56.8435,-43.8631,-43.2225,-47.7276,-52.7995,-45.762,-35.9974,-41.4555,-46.2856,-42.8613,-39.4245,-36.5241,-48.4746,-45.3162,-37.9811,-47.1895,-38.1334,-51.449,-42.6338,-45.0547,-37.3392,-42.3452,-33.3777,-43.5306,-38.6813,-42.1645,-48.8744,-60.2807,-37.2093,-40.4479,-35.5189,-42.5323,-48.1729,-55.6638,-63.5417,-54.4615,-53.805,-50.6975,-38.9316,-33.0954,-43.7852,-42.4836,-46.8974,-40.2776,-42.7055,-44.5973,-40.4786,-37.109,-50.74,-27.6759,-44.6594,-57.2292,-48.6645,-34.8588,-43.924,-47.4436
-2683.72,0.994105,0.453307,3,7,0,2688.85,59.0026,31.3709,191.664,36.2584,94.7729,67.1343,53.8923,18.0731,60.9405,20.9325,87.6245,94.9838,30.9679,34.5639,65.8135,0.258032,0.219822,-36.2277,-42.2775,-43.9678,-50.4864,-41.6572,-38.8001,-56.701,-44.0599,-41.7797,-46.9259,-51.9779,-45.6079,-35.518,-43.7419,-46.2785,-42.8811,-37.901,-36.0191,-47.1188,-46.1451,-37.2702,-47.4707,-37.2734,-52.7276,-43.198,-45.6344,-37.3919,-41.4304,-32.9764,-43.3508,-39.5387,-42.2268,-49.2175,-59.7506,-36.5676,-40.9679,-35.2132,-41.8928,-48.0354,-57.4011,-64.7252,-52.3996,-53.1829,-50.214,-38.5246,-32.5704,-44.2572,-41.8697,-48.2416,-38.9204,-42.5846,-44.9886,-41.7954,-36.9545,-50.2569,-27.9475,-46.2466,-58.0093,-49.7833,-35.434,-43.4275,-47.5688
-2684.18,0.824871,0.453307,3,7,0,2692.15,58.3432,31.8064,199.619,32.4439,93.1322,70.4827,55.7414,17.8743,59.1276,22.1672,91.7911,96.5558,28.8722,33.1969,78.8068,0.283431,0.212849,-35.8827,-42.7107,-43.3792,-49.9981,-41.4537,-39.0398,-56.8603,-44.1918,-42.0654,-46.4827,-51.9045,-45.473,-35.7059,-43.7664,-46.3844,-42.7019,-38.3791,-36.5289,-47.4843,-45.8515,-37.1202,-47.578,-37.2905,-51.8499,-42.6376,-45.5418,-37.5198,-41.9402,-33.6646,-43.5249,-39.1912,-42.147,-49.1149,-59.839,-36.9876,-40.7018,-35.5829,-41.9255,-48.5545,-56.7644,-64.1564,-52.7027,-53.2853,-49.5562,-39.5889,-32.9143,-44.2365,-42.1964,-47.0883,-39.2538,-42.9369,-44.9357,-41.5872,-37.4735,-50.8374,-28.1735,-46.133,-57.6106,-49.5525,-35.3632,-43.6098,-47.1773
