# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92968546
# output
#   file = output_cal_pl_Ka_Kgamma_EPs_6.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.130138
# Diagonal elements of inverse mass matrix:
# 0.156718, 0.020531, 0.558862, 0.0398778, 0.392226, 0.01633, 0.055409, 0.0979656, 0.0136885, 0.0363701, 0.0997444, 0.823032, 0.162979, 0.0173233, 0.303647, 0.36262, 0.33108, 0.352004, 0.80438, 0.427566, 0.412069, 0.413701, 0.250066, 0.45398, 0.211098, 0.42638, 0.156021, 0.410708, 0.701235, 0.522823, 1.85344, 0.122589, 0.445819, 0.055314, 0.0446391, 0.163189, 1.09878, 0.0274383, 0.128176, 0.489552, 0.130678, 0.745175, 0.2349, 0.158944, 0.472315, 0.172048, 0.475141, 1.60293, 0.0504678, 0.0669902
-2632.36,0.88893,0.130138,5,31,0,2657.87,96.0669,36.2561,260.847,37.8923,167.911,74.8121,52.1348,31.8284,59.9437,31.1033,171.984,280.895,75.3216,27.3947,134.687,0.0478582,0.0933657,0.069189,0.0498613,0.0574429,0.0940779,0.278457,0.121504,0.265651,0.084603,0.0647396,0.0293924,0.00958118,0.359209,0.0838324,-1.81876,1.02361,-1.53531,-2.60713,-1.58494,-4.98218,-0.708892,-3.87044,-2.36781,0.501523,-3.81121,1.1154,1.14883,2.60997,0.339241,-3.87032,0.673435,2.12826,-2.70335,2.22958,0.21539,0.0737462,0.20496,0.0068591,0.492189,0.0208492,0.0936853,1.65123,0.0221215,3.0508,3.1545,13.5986,1.40388,0.0208516,1.96096,-32.9779,-40.8034,-42.7589,-49.385,-42.4312,-40.5244,-55.4208,-40.7002,-40.4599,-48.3225,-51.2465,-46.4775,-34.1593,-39.7363,-46.7317,-41.8744,-38.2139,-34.6303,-45.5485,-42.4751,-36.3122,-45.3326,-35.2009,-49.418,-41.2276,-41.8629,-38.3708,-39.789,-33.5215,-43.3723,-38.9492,-42.1491,-49.4565,-57.4925,-37.0472,-38.8479,-34.8962,-40.5895,-46.6103,-51.7034,-60.7152,-53.2237,-52.1,-50.8607,-38.1606,-32.207,-44.305,-41.3668,-46.2927,-37.3505,-39.4545,-46.5774,-42.7461,-36.3328,-48.3166,-28.4736,-45.1628,-55.3363,-50.061,-34.3404,-42.9041,-49.1389
-2630.02,0.946478,0.130138,5,31,0,2651.2,83.1204,37.9437,196.163,33.9927,153.319,84.2728,59.3366,24.7048,63.0276,32.2752,164.081,283.432,77.7318,33.4861,95.4078,0.0450674,0.063352,0.242428,0.164419,0.111662,0.19176,0.210905,0.166602,0.391961,0.125193,0.0372314,0.0353069,0.0123913,0.105732,0.0468164,-1.57769,1.65375,-1.25056,-3.44762,-2.67892,-4.86019,-2.47106,-3.58601,-3.70881,-1.16099,-2.8848,-0.807022,0.90456,2.037,-0.0605937,-4.3587,-1.08822,2.048,-0.723411,2.58568,0.286344,0.0318213,0.0686375,0.00774902,0.0844955,0.0277086,0.0245066,0.313176,0.055866,0.446185,2.47084,7.66757,0.941206,0.012795,0.336816,-33.8572,-41.3184,-42.4318,-50.7361,-40.8315,-39.0336,-55.5977,-41.5648,-38.5964,-49.0757,-50.7603,-45.8464,-34.0258,-41.7831,-46.4532,-42.4619,-38.2115,-34.5411,-45.4298,-42.6218,-36.0666,-46.1351,-35.5443,-49.894,-40.5001,-42.9773,-37.7096,-40.3597,-31.5373,-43.2411,-37.7222,-42.1807,-49.2405,-57.4945,-37.2527,-38.6523,-35.3796,-40.7458,-46.6258,-50.4729,-59.4181,-54.707,-52.3804,-52.932,-38.6433,-32.9712,-45.6038,-41.167,-46.8371,-35.4464,-39.4535,-47.6554,-41.5906,-35.9263,-47.8018,-29.0831,-46.2013,-53.8107,-48.2138,-34.7247,-43.7041,-48.7532
-2628.94,0.969087,0.130138,5,31,0,2654.73,117.357,36.3326,257.493,40.7669,159.272,79.3759,66.9865,24.0924,61.8344,39.2057,157.652,229.233,49.8718,36.995,60.1313,0.116764,0.0205547,0.142174,0.0843644,0.0924929,0.0833101,0.221829,0.123887,0.436151,0.0690529,0.0377071,0.0328644,0.112982,0.337706,0.194737,-1.9607,0.632306,0.19437,-2.4102,-1.21398,-3.77985,-2.20897,-3.41405,-2.0098,-1.79486,-2.45129,-0.0381632,-0.258082,0.274974,-0.70366,-0.828787,-0.362871,2.48775,-1.19999,2.37208,1.21455,0.0897971,0.297012,0.022826,0.109814,0.0329075,0.134015,0.166151,0.0861826,0.962556,0.772532,1.3165,0.494771,0.436578,0.695676,-33.5646,-40.9141,-42.3502,-50.6204,-41.8231,-40.2572,-56.4646,-41.3373,-39.8483,-49.5818,-52.0496,-45.935,-34.5469,-41.7401,-45.9885,-41.9171,-38.4419,-34.1643,-45.4234,-41.138,-35.1431,-45.9439,-35.6956,-49.0798,-42.172,-42.0606,-37.5522,-39.6575,-33.9008,-43.1428,-38.1306,-42.1881,-50.273,-57.3827,-36.1109,-40.0173,-34.6591,-40.2359,-45.7747,-51.7558,-60.2276,-52.8177,-50.7365,-51.8436,-39.2284,-32.6231,-44.8491,-41.1283,-47.3974,-35.2629,-39.587,-48.2607,-43.6377,-36.117,-47.6529,-29.2012,-46.2746,-54.57,-49.3203,-35.1764,-43.3061,-49.2968
-2624.94,0.966587,0.130138,5,31,0,2652.82,83.0462,34.0725,251.878,36.6758,157.933,87.0744,56.6016,31.4149,59.1015,45.5265,157.6,258.259,30.47,32.6295,83.4314,0.0815771,0.0676894,0.217243,0.149298,0.152818,0.120664,0.332118,0.146731,0.200797,0.0568239,0.0355002,0.029246,0.105624,0.406207,0.104941,-1.51972,1.59148,-0.984329,-4.03602,-1.41092,-4.951,-1.68487,-3.32173,-2.08498,-0.444906,-4.03945,2.77677,0.385469,1.09484,-2.52554,-2.97418,-3.79338,2.11032,-2.75152,2.50309,0.37369,0.0176677,0.243918,0.00707634,0.185469,0.0360905,0.124309,0.640884,0.0176071,16.0671,1.4703,2.98871,0.0800148,0.0510891,0.0225195,-34.0915,-41.4725,-42.7627,-49.9923,-41.358,-39.2547,-54.97,-41.2118,-40.2984,-48.6523,-50.2443,-46.0342,-34.8375,-41.8482,-45.7914,-41.6332,-38.118,-35.1978,-46.242,-42.3301,-36.3422,-46.1202,-35.3338,-50.0607,-40.7001,-44.087,-38.378,-39.7172,-32.0035,-43.0705,-38.523,-41.699,-48.963,-58.5146,-37.3875,-38.871,-34.737,-40.5527,-46.0724,-50.6883,-57.9119,-53.1685,-53.3062,-50.2262,-38.7098,-32.053,-44.3209,-41.3824,-46.4978,-37.2059,-39.6862,-46.5773,-42.7764,-36.7168,-47.8151,-28.292,-45.5536,-53.3796,-48.8859,-34.6729,-43.2603,-48.8041
-2626.95,0.965181,0.130138,4,31,0,2647.22,103.596,37.0408,248.85,38.31,137.873,86.0811,70.4615,31.3687,65.0214,43.5229,198.109,279.943,28.2417,27.8804,81.0496,0.114939,0.113408,0.250342,0.197159,0.170532,0.179406,0.240346,0.128436,0.361231,0.132299,0.0544156,0.0287923,0.0901462,0.419562,0.0902541,-1.68652,0.822452,0.485046,-2.67547,-1.79334,-3.74999,-2.18864,-3.47244,-2.42037,-0.715881,-3.61839,-0.291348,1.54985,0.850643,-3.38495,-1.75358,-0.858845,2.19591,-0.657117,1.37471,1.62425,0.0688745,0.166404,0.023518,0.112069,0.0310412,0.0888885,0.488761,0.0268258,0.747256,4.71076,2.34115,0.0338792,0.173154,0.423651,-34.2074,-42.6352,-41.7323,-49.5689,-40.7974,-39.2228,-56.0768,-42.3662,-38.7077,-49.2682,-50.9706,-45.5973,-34.9254,-45.6817,-46.7443,-41.7609,-38.606,-34.1075,-46.0649,-41.681,-35.2493,-46.1153,-34.4974,-51.0356,-40.8496,-42.4915,-38.0933,-39.9049,-32.1304,-42.851,-38.0188,-41.3509,-49.9517,-57.8478,-36.7845,-38.5152,-34.691,-40.0221,-45.9888,-51.5335,-59.7508,-54.2,-51.1115,-52.5032,-38.7934,-31.9902,-44.2951,-41.8139,-46.974,-35.4864,-39.4412,-47.7307,-42.5708,-36.0411,-47.658,-29.266,-46.0899,-55.226,-49.5036,-35.3177,-43.6774,-49.0514
-2617.64,0.998371,0.130138,5,31,0,2642.07,88.0934,45.1291,241.091,44.4184,149.325,79.5979,61.8757,19.8271,61.4501,33.5784,197.239,254.954,44.5785,34.9085,49.7363,0.0683939,0.153295,0.145615,0.150198,0.105283,0.127362,0.162484,0.162054,0.318986,0.0801632,0.0380515,0.0688218,0.0552629,0.126939,0.0331955,-1.82102,0.771185,-0.602358,-1.51098,-2.39329,-3.17108,-1.4615,-2.99703,-2.40399,-2.85632,-3.01791,-0.867525,1.24047,2.12248,-2.10954,-3.55292,-4.4632,2.48242,-2.39292,1.94337,0.547519,0.220693,0.0913291,0.0419581,0.231889,0.0499351,0.0903572,0.0574799,0.0489035,0.41999,3.45725,8.35186,0.121293,0.028641,0.0115255,-34.8413,-40.8882,-44.2782,-50.113,-41.5578,-38.1899,-55.4576,-41.6669,-40.2599,-48.7213,-50.3567,-45.5899,-34.2027,-43.8661,-45.0045,-41.3163,-37.1536,-34.039,-45.7849,-42.7162,-35.5175,-46.2703,-35.1519,-52.6564,-43.0101,-42.8157,-36.6496,-39.4073,-33.8989,-42.6687,-38.3927,-41.2598,-49.0534,-56.6554,-36.2027,-39.6005,-34.5443,-39.9596,-46.1052,-51.459,-59.5476,-52.0811,-52.2842,-50.5731,-37.5907,-32.2358,-44.6713,-41.1212,-47.3616,-36.7074,-40.5738,-46.4908,-43.1262,-35.4814,-48.2383,-28.4668,-46.916,-57.1137,-49.5077,-34.6029,-42.3342,-48.0882
