# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kb_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 94246100
# output
#   file = output_cal_pl_Ka_Kb_Kgamma_EPs_9.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,log_b.1,log_b.2,log_b.3,log_b.4,log_b.5,log_b.6,log_b.7,log_b.8,log_b.9,log_b.10,log_b.11,log_b.12,log_b.13,log_b.14,log_b.15,mu_a,sigma_a,mu_b,sigma_b,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,b.13,b.14,b.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.0539352
# Diagonal elements of inverse mass matrix:
# 0.157296, 0.0158505, 0.443945, 0.0329896, 0.397138, 0.022373, 0.0318859, 0.0843576, 0.023132, 0.0316978, 0.0769591, 0.611832, 0.219008, 0.0233736, 0.251591, 0.751991, 0.278762, 0.156895, 0.88974, 0.445133, 0.413261, 0.293061, 0.693512, 0.39167, 0.509837, 0.568212, 0.148486, 1.07792, 0.834653, 0.46162, 1.05978, 0.115961, 0.195404, 0.0424418, 0.0335738, 0.162969, 0.235326, 0.0331538, 0.0751774, 0.291144, 0.149831, 0.123215, 0.303999, 0.34681, 0.328616, 0.174588, 0.267509, 1.66779, 1.21156, 1.12771, 1.15892, 1.01634, 1.13885, 1.1698, 1.14124, 1.0981, 1.13131, 1.12271, 1.32868, 1.00177, 0.808338, 1.9236, 0.0519534, 0.0836541, 0.818337, 0.621501
-2624.71,0.963623,0.0539352,6,63,0,2657.91,118.22,46.2168,289.823,39.3573,126.622,90.7289,70.8707,31.5366,59.0995,38.3529,200.301,292.487,47.9734,30.6632,107.919,0.0492136,0.0409832,0.177355,0.244256,0.0617929,0.193029,0.375788,0.158113,0.220017,0.0906414,0.0123493,0.0324277,0.0307848,0.287567,0.041774,-1.94573,1.1107,2.39499,-2.43757,-1.06679,-4.6928,-3.12417,-3.09038,-1.5364,1.33785,-5.12834,0.687654,2.46196,2.99754,-0.591887,-2.09044,-3.80148,0.744834,0.736504,0.757888,0.736926,0.74095,0.754021,0.746258,0.759252,0.742663,0.759365,0.73641,0.7639,0.746835,0.742995,0.750833,-1.58331,1.91647,0.753111,0.0100413,10.968,0.0873732,0.344112,0.00916096,0.0439734,0.0454847,0.215153,3.81083,0.00592642,1.98904,11.7277,20.0362,0.553282,0.123633,0.0223377,2.10609,2.08862,2.13377,2.0895,2.09793,2.12553,2.10909,2.13668,2.10152,2.13692,2.08843,2.14663,2.11031,2.10222,2.11876,-32.6488,-42.5104,-41.5446,-50.3125,-40.297,-39.98,-55.2447,-41.4421,-41.2924,-50.164,-51.4572,-45.7415,-35.4148,-43.8503,-46.2,-42.3361,-38.9558,-33.7958,-46.9264,-42.0716,-34.9004,-46.0037,-35.567,-51.5617,-41.8304,-42.4816,-37.9915,-39.7029,-34.6142,-43.4125,-37.7678,-41.4531,-48.9564,-57.9851,-36.5282,-38.3357,-35.3765,-39.4559,-45.5849,-49.2632,-57.6597,-54.1621,-53.3034,-50.9614,-38.8928,-33.2393,-43.94,-41.8719,-46.9442,-37.1197,-40.0353,-46.7205,-42.1074,-35.941,-47.0096,-27.5471,-45.4485,-53.3581,-48.7177,-34.722,-43.0772,-48.252
-2618.06,0.978516,0.0539352,7,127,0,2658.47,118.312,41.4113,277.825,42.4404,141.386,105.875,68.7654,19.2338,66.0045,39.7936,170.156,256.298,23.8218,34.7825,51.1724,0.0452847,0.143755,0.240569,0.0162487,0.0100633,0.167741,0.151069,0.059629,0.435016,0.0739974,0.0941923,0.0418838,0.131332,0.137073,0.0480948,-1.50628,1.29637,0.124448,-2.61053,-0.437621,-5.34328,-3.0431,-2.68355,-2.38102,-3.18564,-2.6499,1.5188,0.156331,0.147295,-5.55209,-5.09302,-1.71056,0.758868,0.75257,0.749329,0.763104,0.755835,0.75745,0.75905,0.754509,0.760965,0.742123,0.749704,0.75752,0.75997,0.75926,0.755556,-1.91679,2.76041,0.755071,0.00927565,1.13252,0.0734954,0.64557,0.00478015,0.0476868,0.0683202,0.0924561,0.0413517,0.070658,4.56676,1.16921,1.1587,0.00387935,0.00613944,0.180764,2.13586,2.12245,2.11558,2.14492,2.12939,2.13283,2.13625,2.12657,2.14034,2.10039,2.11637,2.13298,2.13821,2.13669,2.1288,-33.1636,-41.7985,-43.3095,-50.5413,-41.4754,-39.3934,-55.3116,-41.8867,-38.071,-50.0186,-50.0265,-45.1336,-34.2151,-40.3525,-46.0758,-41.9795,-38.1132,-34.3999,-46.1484,-41.8527,-35.3821,-45.1866,-35.3313,-50.4362,-41.6055,-43.5444,-37.1914,-39.8402,-33.3559,-42.7085,-37.5201,-41.7414,-49.0002,-58.454,-36.7975,-38.8192,-34.4167,-40.1702,-46.4471,-52.7387,-63.1162,-54.3925,-52.1257,-53.1549,-38.7116,-32.5765,-44.8302,-39.798,-46.974,-37.6141,-40.9141,-48.0748,-42.2434,-36.8653,-47.4781,-29.3339,-45.9844,-55.4442,-48.5599,-34.5618,-43.1148,-48.905
-2611.62,0.772053,0.0539352,6,127,0,2646.79,136.871,39.9986,279.373,35.8301,137.992,101.203,66.04,22.9216,70.8004,47.6586,158.773,237.387,26.2309,35.3237,63.2743,0.0838679,0.107693,0.215483,0.015506,0.0204642,0.139462,0.255886,0.0799925,0.295562,0.092045,0.0454106,0.038118,0.120922,0.131612,0.122285,-1.55614,1.47771,0.370221,-2.84693,-1.66274,-5.29109,-3.20683,-2.53002,-2.29094,-4.72452,-2.71801,2.03009,0.376193,-0.335333,-4.08666,-4.37701,-3.88766,0.770417,0.765725,0.769507,0.776646,0.763743,0.770958,0.776823,0.763801,0.767651,0.748585,0.784689,0.772078,0.765918,0.762339,0.757723,-2.83706,2.07565,0.768162,0.0107377,1.44806,0.0580221,0.189618,0.00503625,0.0404849,0.0796574,0.101171,0.00887497,0.0660062,7.61475,1.45673,0.7151,0.0167952,0.0125628,0.0204932,2.16067,2.15055,2.1587,2.17417,2.14629,2.16184,2.17455,2.14642,2.1547,2.11401,2.19173,2.16426,2.15097,2.14328,2.13341,-34.5577,-42.0097,-43.9787,-49.4639,-40.8353,-38.2145,-54.9079,-41.2367,-39.5239,-49.4658,-49.4643,-45.1747,-34.3755,-43.2263,-45.5365,-42.3906,-36.8878,-34.843,-45.8512,-42.1173,-35.214,-45.775,-35.6728,-49.5378,-41.0179,-44.12,-37.3344,-40.0403,-33.9831,-41.8535,-37.8512,-41.569,-48.5993,-58.39,-36.9767,-39.607,-34.616,-39.8038,-46.3207,-50.9865,-61.1713,-52.8005,-52.2974,-51.0229,-40.1617,-32.57,-45.0353,-40.3639,-46.6579,-38.1533,-40.3124,-46.7751,-42.6727,-37.4817,-47.6367,-29.4696,-46.3365,-54.9436,-49.4671,-35.2496,-42.2686,-48.0546
-2614.2,0.398681,0.0539352,6,127,0,2647.48,109.464,38.3287,260.822,42.0045,116.646,90.8442,66.338,18.0791,55.5994,42.695,146.659,226.17,25.6676,33.8823,98.0516,0.0276284,0.064738,0.207039,0.041461,0.0126978,0.161559,0.371346,0.0229004,0.354703,0.0586536,0.0385491,0.0305685,0.241387,0.0361665,0.0722589,-1.67322,1.45142,-0.50379,-3.81978,-1.68414,-5.44325,-2.89749,-3.53771,-2.10713,-3.93671,-4.1798,0.600134,-0.754476,-0.251816,-2.70979,-4.67396,-2.07639,0.789254,0.795316,0.793982,0.773374,0.795516,0.774957,0.788523,0.799417,0.769662,0.79914,0.773379,0.787247,0.791947,0.796284,0.779525,-3.09863,2.48846,0.79086,0.0098481,0.604236,0.0219326,0.185603,0.00432539,0.0551616,0.0290797,0.121586,0.0195123,0.0153015,1.82236,0.470257,0.777388,0.066551,0.00933524,0.125382,2.20175,2.21514,2.21219,2.16707,2.21558,2.1705,2.20014,2.22424,2.15904,2.22363,2.16708,2.19734,2.20769,2.21729,2.18044,-32.6384,-41.5449,-42.2938,-50.1515,-40.4619,-39.5788,-55.1685,-42.1156,-39.7357,-50.635,-51.2298,-44.9073,-34.4634,-41.8544,-46.2899,-42.1934,-38.5349,-35.042,-46.5767,-42.1579,-35.4358,-46.6982,-35.639,-49.0491,-40.9709,-44.5648,-37.773,-39.7286,-33.0141,-43.3957,-37.1233,-41.3779,-47.5723,-59.6741,-37.0423,-38.1744,-34.4421,-40.6109,-46.3453,-52.3413,-61.1396,-53.6234,-54.4054,-51.0733,-39.9779,-32.1742,-45.7321,-40.7678,-46.7807,-36.8215,-40.6663,-47.1348,-41.8849,-36.9215,-47.073,-27.9997,-45.8015,-53.5084,-47.9513,-35.2797,-43.1589,-47.8396
-2616.19,0.0574535,0.0539352,7,127,0,2654.25,106.029,38.8567,224.224,35.1353,130.419,72.1158,58.5389,26.0394,55.1978,30.7176,167.898,255.431,35.3635,30.4077,83.8732,0.0408136,0.117689,0.178655,0.377736,0.0299356,0.192244,0.149483,0.0210913,0.386445,0.0621155,0.0297977,0.0272736,0.00666187,0.00316242,0.0253001,-1.87518,1.52298,1.12554,-2.48278,-2.66088,-2.95973,-3.72473,-4.23232,-2.46954,-3.47093,-2.87856,0.810161,1.48922,2.02382,-1.98459,-4.24983,-2.19898,0.779588,0.804597,0.787928,0.77192,0.780349,0.797259,0.794454,0.782973,0.771189,0.788417,0.775997,0.778436,0.77321,0.777817,0.793672,-1.10417,2.2946,0.784558,0.0136826,3.08187,0.0835111,0.0698869,0.051833,0.0241195,0.0145187,0.0846239,0.031088,0.0562155,2.24827,4.43365,7.56716,0.137437,0.0142667,0.110916,2.18057,2.23579,2.19884,2.16392,2.18223,2.21945,2.21323,2.18797,2.16234,2.19991,2.17276,2.17806,2.16671,2.17672,2.2115,-32.9469,-42.4633,-42.6862,-51.5787,-40.9956,-39.3348,-55.6346,-42.4076,-39.2128,-47.8528,-51.5263,-45.4005,-34.1928,-43.0683,-46.1593,-41.7742,-38.5191,-34.5854,-46.0769,-42.5751,-36.132,-46.5278,-35.375,-48.7093,-42.4231,-43.6045,-38.0266,-40.0436,-33.0239,-42.848,-37.2537,-41.6616,-48.9137,-58.005,-36.9065,-40.0336,-35.4573,-40.4904,-46.0063,-51.4391,-56.7595,-54.2386,-53.4961,-51.1445,-36.9174,-32.5856,-46.1817,-40.9673,-47.7867,-35.2955,-40.6514,-46.67,-41.7027,-35.9038,-47.2169,-27.915,-44.9203,-55.8668,-47.5257,-34.8811,-43.7425,-47.7021
-2611.49,0.106858,0.0539352,6,63,0,2642.13,106.922,38.9706,217.783,34.8483,130.913,70.9337,59.4663,25.7971,56.2292,31.0596,169.308,255.455,32.7462,30.4176,89.8405,0.0393701,0.120698,0.176591,0.376332,0.0318904,0.202153,0.14891,0.0208023,0.355881,0.0702209,0.029616,0.0270745,0.00792271,0.00326498,0.0258929,-1.86757,1.48404,1.11943,-2.47223,-2.65863,-3.28789,-3.73345,-4.17093,-2.45561,-3.28794,-3.11697,0.865341,1.5832,1.78166,-2.03629,-4.19333,-2.10043,0.786091,0.796076,0.785767,0.780619,0.776714,0.778399,0.798804,0.780942,0.768617,0.776751,0.779757,0.791605,0.765332,0.786901,0.785976,-1.14135,2.32197,0.782708,0.0110808,3.0631,0.0843968,0.0700441,0.0373327,0.0239103,0.0154379,0.0858108,0.0373308,0.0442913,2.37582,4.8705,5.93971,0.130512,0.0150959,0.122403,2.1948,2.21683,2.19409,2.18282,2.17432,2.17798,2.22288,2.18353,2.15678,2.1744,2.18094,2.20693,2.14971,2.19658,2.19455,-33.0238,-42.2639,-42.7625,-51.3609,-40.7826,-39.3201,-55.572,-42.2688,-39.0967,-47.9809,-51.2614,-45.4512,-34.0196,-42.5907,-46.3157,-41.7932,-38.4348,-34.4873,-46.0237,-42.6104,-36.1169,-46.4051,-35.3742,-48.9422,-42.306,-43.7513,-38.0932,-40.0855,-32.9056,-42.9013,-37.4577,-41.562,-48.9565,-57.9833,-36.9153,-39.9117,-35.3975,-40.4673,-45.7815,-51.3553,-56.8495,-54.1099,-53.5117,-51.2333,-36.8047,-32.5283,-45.8512,-41.0173,-47.759,-35.2898,-40.5271,-46.5843,-41.8325,-35.809,-47.102,-27.7485,-45.1409,-55.7779,-47.771,-34.7162,-43.6142,-47.8028
