# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 94245909
# output
#   file = output_cal_pl_Ka_EPs_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.115149
# Diagonal elements of inverse mass matrix:
# 0.158427, 0.0174148, 0.256826, 0.0239995, 0.483553, 0.0135372, 0.0280774, 0.10359, 0.00759562, 0.031498, 0.0756251, 1.02453, 0.202655, 0.0227889, 0.290719, 0.0751542, 1.05007, 0.0335918, 0.0257311, 0.111973, 0.265365, 0.0341992, 0.127749, 0.740894, 0.0535017, 0.471823, 0.92401, 0.785, 0.512587, 0.24445, 0.458127, 1.73995, 0.0668094, 0.0547791
-2629.78,0.992867,0.115149,5,31,0,2644.59,118.23,37.9998,232.097,37.0237,223.379,68.0233,60.8604,36.8167,52.6333,39.0736,166.422,230.702,22.6834,28.9771,106.377,0.0613561,-0.297145,-2.94267,-3.18531,-5.51646,3.13624,-5.13441,-2.20481,-0.280456,-6.6947,0.474384,1.5768,2.5052,-4.89606,-5.87019,-2.95142,2.00927,-3.59009,2.7491,0.742937,0.052725,0.0413654,0.00402006,23.0172,0.00589052,0.110271,0.755439,0.00123745,1.60702,4.83945,12.246,0.00747595,0.00282234,0.0522654,-34.3518,-40.7799,-43.0281,-49.3463,-40.7057,-39.3561,-55.0943,-41.9933,-40.358,-47.9468,-50.384,-45.8614,-34.4324,-43.1313,-46.4473,-41.8882,-38.0422,-34.2204,-46.8645,-42.0226,-36.2095,-46.2319,-35.4254,-50.0232,-42.2181,-43.1168,-37.1796,-39.8631,-33.3225,-43.2529,-38.5757,-41.5338,-48.285,-57.4083,-36.5907,-40.5752,-35.2573,-40.4033,-46.0417,-51.9798,-58.2483,-52.7156,-53.7333,-48.7766,-36.4552,-31.8492,-43.5493,-41.5158,-47.1799,-35.9168,-40.9267,-46.7862,-43.4398,-36.1531,-47.5049,-28.5633,-45.5704,-56.1063,-49.9204,-34.831,-42.2144,-49.0148
-2632.64,0.911962,0.115149,5,63,0,2651.93,115.881,49.584,251.521,39.1817,242.023,91.186,60.5506,46.1824,56.6129,39.1091,157.257,251.245,92.4275,33.6651,65.5119,0.054897,1.01587,-1.22234,-2.93125,-5.9227,-0.37527,-4.21105,-3.69723,0.655658,-6.08488,2.76006,1.89944,2.53808,2.19273,-4.96832,-3.59044,2.1119,0.0949629,3.4218,2.76175,0.294542,0.0533303,0.00267796,0.687103,0.0148308,0.0247921,1.92641,0.00227703,15.8007,6.68212,12.6554,8.95966,0.0069548,0.0275862,-33.8331,-41.3517,-43.8315,-50.1877,-42.7372,-40.133,-55.3836,-41.5301,-40.1903,-49.1917,-50.5927,-45.897,-35.1345,-43.3055,-44.9299,-42.2673,-37.7987,-33.8674,-46.7582,-41.0431,-36.1682,-46.0404,-36.4337,-51.5887,-41.7428,-40.4818,-37.0862,-38.8874,-36.0011,-43.2977,-38.5856,-42.4451,-49.3936,-56.2825,-36.4894,-40.2306,-34.9974,-39.8747,-45.8634,-49.8689,-57.7689,-53.6343,-53.1567,-51.1713,-36.8027,-33.0008,-44.5726,-41.3928,-47.3092,-37.0976,-39.1467,-46.9888,-43.1917,-36.3645,-46.6355,-28.984,-45.9659,-57.0426,-48.7786,-35.0262,-42.5368,-49.3219
-2634.39,0.809986,0.115149,6,95,0,2656.1,105.539,33.1266,241.552,35.2822,229.03,71.863,69.4875,52.3456,54.4869,42.8609,187.852,243.127,36.0235,35.525,131.821,0.0613062,-0.114463,-3.93048,-3.03137,-5.29846,3.66523,-4.37848,-3.66033,5.70158,-5.91868,1.26824,4.39114,1.85014,-1.97527,-4.91011,-1.82034,2.04506,-1.89863,3.22499,0.891845,0.0196343,0.0482497,0.00499929,39.0652,0.0125444,0.025724,299.341,0.00268874,3.55458,80.7327,6.3607,0.138724,0.00737171,0.16197,-34.9433,-40.6912,-43.8541,-49.4788,-40.6662,-39.0931,-54.9315,-41.6384,-39.853,-47.5847,-50.6415,-46.31,-34.3276,-43.1522,-45.7385,-41.5815,-37.4656,-34.8081,-46.0966,-42.2656,-36.0449,-46.4965,-34.6286,-50.766,-39.9279,-43.551,-37.1747,-39.7583,-33.731,-43.4895,-39.6253,-42.2489,-48.3154,-56.9337,-36.8562,-39.1702,-34.7112,-40.6561,-46.2618,-52.055,-58.2946,-52.6439,-53.7528,-48.6993,-38.431,-31.4799,-44.2236,-41.956,-46.3567,-35.9565,-40.3848,-46.137,-44.095,-35.8439,-48.0549,-29.8231,-47.414,-56.2291,-50.8071,-34.4914,-42.1858,-49.7235
-2634.57,0.842842,0.115149,5,31,0,2655.01,118.43,45.4702,221.735,40.2939,145.752,68.3353,63.2068,42.9948,53.7418,35.4444,143.433,231.768,77.8512,31.2003,53.9645,0.0611843,5.77821,-2.0502,-3.17966,-5.07832,-2.15241,-5.01717,-3.76902,0.320519,-6.39396,2.37976,0.362432,0.498949,3.07283,-5.88918,-6.09775,2.02106,-0.21428,3.64243,323.179,0.128709,0.0415999,0.00623034,0.116203,0.00662326,0.0230746,1.37784,0.00167163,10.8023,1.43682,1.64699,21.603,0.00276924,0.00224791,-33.3666,-40.4977,-43.9597,-50.364,-42.6814,-39.4942,-55.4822,-41.5542,-41.0946,-48.808,-50.5817,-45.9322,-34.2014,-41.9776,-45.8815,-42.4355,-37.6923,-34.3814,-45.7023,-41.8797,-36.1449,-45.9226,-35.9559,-51.5481,-41.7579,-41.863,-37.2242,-39.8119,-35.0467,-43.3304,-39.186,-41.98,-49.6188,-57.0085,-37.0622,-41.1445,-35.1937,-40.1948,-46.0766,-50.617,-57.0162,-52.9053,-53.1704,-49.1991,-37.2099,-32.6266,-43.6328,-40.9381,-46.097,-36.6489,-40.1327,-45.6129,-43.4544,-36.7787,-47.3271,-29.0637,-46.3689,-55.1961,-49.4851,-34.7464,-42.3837,-49.2314
-2635.62,0.834277,0.115149,5,63,0,2652.33,129.478,46.2998,235.871,39.5497,122.307,82.1063,52.277,44.5387,52.0946,42.9382,193.54,245.236,51.9454,32.3365,174.749,0.0601442,5.67844,-2.07519,-2.48725,-5.27226,-3.05812,-4.46631,-5.15186,3.63019,-6.32205,1.57083,4.31566,4.50743,4.88942,-3.90287,4.86411,2.11868,0.418357,4.59944,292.494,0.125532,0.0831379,0.00513201,0.0469758,0.0114897,0.00578861,37.7201,0.00179625,4.81065,74.863,90.6887,132.877,0.0201838,129.555,-33.0414,-40.6488,-41.7595,-49.914,-41.4258,-40.7308,-55.603,-41.9475,-40.7082,-48.1683,-52.8148,-45.6312,-34.2274,-41.9672,-45.6168,-41.6163,-38.5051,-34.0142,-46.5785,-41.4074,-34.9054,-45.8089,-35.2298,-51.0963,-40.8964,-42.4928,-36.7779,-39.6605,-35.4189,-43.8192,-38.211,-41.5266,-48.7748,-56.5253,-36.4782,-39.0106,-35.079,-39.9106,-45.6743,-51.9732,-57.5842,-53.5958,-53.6378,-50.4645,-38.0483,-32.9828,-44.7258,-42.5305,-46.8145,-36.5349,-40.6542,-47.108,-42.8584,-35.8763,-47.279,-28.7056,-46.0961,-55.6807,-49.2255,-34.7558,-42.6503,-48.489
-2624.99,0.955098,0.115149,5,31,0,2645.24,124.484,39.9242,241.116,42.3979,177.679,78.7307,49.2878,45.1452,53.1316,34.652,184.207,255.515,79.7982,36.0906,121.959,0.0570085,0.130911,-2.64028,-2.82188,-4.60309,-1.38123,-3.83528,-4.60391,-0.13976,-6.18256,0.864862,1.39313,3.4039,5.04151,-4.463,-0.111672,2.14898,-1.30239,3.14496,1.13987,0.0713416,0.059494,0.0100208,0.251268,0.0215953,0.0100126,0.869567,0.00206514,2.37468,4.02742,30.0812,154.704,0.0115277,0.894337,-34.2791,-40.4919,-44.0886,-50.1847,-41.6971,-39.2042,-54.9523,-41.7586,-40.3126,-48.4059,-52.35,-46.4169,-34.2231,-42.3035,-45.4786,-41.9109,-37.0039,-33.7803,-45.7206,-42.2017,-35.4588,-45.9222,-35.2185,-51.0556,-41.2751,-42.3473,-36.7573,-39.2376,-34.169,-43.7508,-38.9658,-41.9964,-49.0758,-56.225,-36.126,-39.9038,-34.5648,-40.2083,-45.9541,-51.932,-58.6787,-52.0501,-53.2665,-48.5247,-37.7348,-32.1069,-44.0808,-41.7132,-47.2509,-36.9704,-40.0928,-46.6765,-43.8735,-35.902,-47.4013,-29.0906,-46.7878,-56.718,-50.0853,-34.4559,-41.9315,-49.4136
