# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_Kpsi_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92682785
# output
#   file = output_cal_g_Kpsi_EPs_8.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,log_psi.1,log_psi.2,log_psi.3,log_psi.4,log_psi.5,log_psi.6,log_psi.7,log_psi.8,log_psi.9,log_psi.10,log_psi.11,log_psi.12,log_psi.13,log_psi.14,log_psi.15,mu_psi,sigma_psi,psi.1,psi.2,psi.3,psi.4,psi.5,psi.6,psi.7,psi.8,psi.9,psi.10,psi.11,psi.12,psi.13,psi.14,psi.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.181928
# Diagonal elements of inverse mass matrix:
# 0.109483, 0.0124442, 0.0858419, 0.0613848, 0.178137, 0.0126428, 0.0381864, 0.0428913, 0.0142106, 0.0314271, 0.0557956, 0.129585, 0.109423, 0.0199905, 0.134702, 0.0309232, 1.03581, 0.12979, 0.0704705, 1.1829, 1.01113, 0.602842, 0.105359, 0.735892, 0.276018, 0.350243, 0.436389, 0.313577, 1.20015, 0.0642459, 0.640005, 0.113709, 0.0680166
-2678.68,0.699184,0.181928,5,31,0,2699.51,84.6406,28.481,182.432,51.429,72.3503,60.2104,49.2359,29.403,47.5376,30.3128,125.177,141.187,38.4653,28.6108,55.7841,0.137806,-0.521479,-1.5687,-1.53161,0.424442,-2.00685,-2.23074,-1.3343,0.558539,-1.83562,-0.302876,0.237187,-0.69209,-0.847338,-1.42377,-2.15798,-0.732595,1.10524,0.593642,0.208317,0.216186,1.52874,0.134411,0.107449,0.263344,1.74812,0.159514,0.73869,1.26768,0.500529,0.428554,0.240804,0.115558,-33.9589,-41.5495,-41.4007,-48.8391,-42.9676,-40.8692,-56.5434,-43.9785,-42.1004,-44.8281,-53.2701,-46.1405,-36.1184,-43.9028,-45.5804,-43.0127,-39.2057,-36.7035,-47.3547,-43.8947,-36.7485,-47.5432,-36.0017,-51.0929,-41.855,-42.9576,-37.5852,-41.3747,-33.1712,-42.9345,-39.9637,-42.2277,-48.1523,-58.2482,-37.7133,-41.1464,-36.8141,-41.5472,-47.6219,-54.027,-58.7461,-52.931,-53.4402,-51.5162,-37.043,-34.0235,-44.5231,-42.128,-45.5284,-35.7146,-41.1599,-45.4234,-41.8504,-37.3288,-50.2292,-28.0729,-46.3988,-55.5419,-49.7731,-35.6747,-43.5282,-49.3128
-2682.05,0.963842,0.181928,5,31,0,2694.28,65.1013,28.7161,189.946,35.0651,222.536,68.9935,54.0596,16.2242,60.6399,32.0986,138.065,165.125,33.2246,28.5086,108.922,0.131946,-1.4324,-2.0744,-1.64784,-2.02057,0.0264672,-2.18434,-1.51872,-1.97238,-1.60669,0.286274,0.661079,-0.783384,-0.860676,-1.56948,0.42151,-0.93692,1.01024,0.238735,0.125631,0.192465,0.132579,1.02682,0.112552,0.218993,0.139126,0.20055,1.33146,1.93688,0.456857,0.422876,0.208152,1.52426,-34.2606,-42.0863,-45.2669,-49.0975,-41.6099,-41.1937,-55.6778,-42.7327,-40.8971,-46.639,-54.2228,-45.9738,-35.432,-44.468,-45.5409,-43.2649,-37.89,-36.9768,-46.1701,-43.6085,-38.4943,-45.8387,-35.8168,-53.72,-41.0711,-44.0363,-36.6942,-40.3497,-31.7848,-42.116,-40.1658,-41.2544,-48.0671,-59.0735,-37.4797,-39.4328,-34.9446,-42.0847,-46.5653,-54.324,-60.9069,-53.712,-53.1992,-52.0189,-38.4316,-33.0835,-45.4527,-41.5911,-47.8701,-37.0338,-42.2938,-44.4732,-42.3746,-36.6075,-50.5895,-28.9499,-45.9943,-55.4824,-50.6961,-33.6662,-42.6623,-48.7646
-2676.61,0.936266,0.181928,5,31,0,2701.54,62.4133,26.6768,182.104,44.0321,193.438,53.5557,52.7716,31.7686,47.5333,38.5147,145.651,180.404,57.4947,31.0625,136.566,0.0772869,-1.19946,-1.68564,-1.58356,-1.50642,0.136081,-2.23686,-1.4211,-0.211288,-1.82737,0.0847634,-0.0897095,0.0273311,-0.403225,-1.72525,0.399208,-0.796999,1.13245,0.301357,0.185326,0.205244,0.221702,1.14577,0.106794,0.241449,0.809541,0.160835,1.08846,0.914197,1.02771,0.668162,0.178128,1.49064,-35.281,-40.8131,-45.1748,-48.9988,-41.8232,-39.9932,-56.6118,-42.7043,-40.9204,-44.6662,-53.2297,-47.2453,-35.2363,-41.7482,-45.2319,-42.296,-38.2872,-36.8254,-45.8189,-44.0182,-38.1775,-47.5212,-36.1487,-50.1535,-41.8835,-42.6674,-37.7443,-40.0082,-34.2759,-43.5845,-41.9072,-42.6558,-48.663,-57.6283,-37.7433,-39.952,-35.6945,-42.1539,-47.2737,-53.1908,-57.9627,-52.1294,-53.1458,-50.56,-37.6625,-33.2818,-45.0671,-42.3873,-48.1175,-37.5152,-40.0916,-46.6581,-44.1018,-36.8359,-49.301,-28.775,-48.1359,-57.206,-49.9763,-34.9791,-43.1407,-49.7105
-2679.95,0.967928,0.181928,5,31,0,2695.75,69.4853,26.0478,207.166,47.4259,103.198,55.3391,50.8671,15.0686,58.2504,26.8635,118.901,81.6837,30.7064,36.8149,35.588,0.180229,-0.849827,-1.58,-1.0328,-0.864334,-1.41255,-2.00586,-1.16117,-1.99291,-1.39027,0.106976,-0.616366,-1.74915,-1.39823,-1.31397,-2.26061,-1.353,0.562544,0.427489,0.205976,0.356008,0.421332,0.243521,0.134545,0.313119,0.136298,0.249007,1.11291,0.539903,0.173922,0.247034,0.268751,0.104287,-35.2803,-41.323,-42.5993,-50.6219,-43.5676,-40.0833,-56.1914,-43.3356,-42.147,-45.3601,-52.9012,-46.2384,-35.9348,-42.4916,-45.4025,-42.4414,-38.1198,-36.6371,-47.628,-44.2187,-37.3744,-46.5517,-36.129,-50.6741,-43.5707,-44.142,-37.3184,-40.901,-33.1276,-43.5152,-39.779,-42.85,-49.8237,-59.0164,-37.2356,-41.7938,-35.888,-41.6169,-47.3069,-57.8992,-63.5736,-51.4882,-52.7038,-50.823,-38.8459,-33.1627,-43.7112,-40.934,-46.2788,-36.2559,-41.1006,-45.1898,-42.3375,-36.7708,-49.5536,-28.1044,-46.3792,-56.9908,-49.7386,-35.3166,-43.4043,-49.484
-2673.6,0.991988,0.181928,4,15,0,2690.77,62.2241,28.8137,217.383,44.7737,130.056,59.0884,67.873,15.379,50.6152,23.1555,100.537,96.7742,39.6589,28.4221,52.9233,0.199624,-0.971844,-1.68846,-1.08457,-1.16098,-1.04145,-2.1013,-1.22316,-1.58222,-1.59792,0.116462,-0.653278,-1.30704,-0.471697,-1.1835,-2.11931,-1.23225,0.705858,0.378385,0.184804,0.338049,0.31318,0.352944,0.122297,0.2943,0.205518,0.202316,1.12351,0.520337,0.270621,0.623943,0.306206,0.120115,-34.4545,-42.9075,-41.3209,-50.2179,-42.4896,-41.2459,-55.9283,-43.9849,-42.341,-46.0352,-53.6263,-45.5538,-36.5248,-44.1908,-45.8362,-43.1677,-39.2159,-36.891,-47.5077,-43.9306,-37.8403,-46.8427,-36.3208,-51.9928,-42.6467,-44.2088,-37.0526,-40.6221,-34.0228,-43.103,-39.1064,-41.0153,-48.6602,-60.2673,-37.3879,-40.9416,-35.5515,-41.9017,-47.0616,-56.9114,-61.6088,-52.8831,-53.2435,-50.0948,-38.8748,-33.3717,-43.792,-41.1362,-46.9611,-36.4076,-42.1826,-44.123,-41.8974,-37.0387,-49.8867,-27.5599,-45.3256,-54.7431,-49.1341,-34.8648,-43.2435,-48.2902
-2672.52,0.961878,0.181928,5,31,0,2693.86,83.1953,31.1606,172.943,48.7148,132.23,68.3035,54.5192,31.9904,57.2896,38.3422,147.874,193.285,27.4686,29.1695,71.0692,0.109329,-0.851466,-1.81524,-1.79355,-1.4387,-1.11358,-2.20372,-1.73816,-0.243521,-1.69672,0.225096,-0.345116,-0.249832,-1.63801,-1.65231,-1.74777,-1.37602,1.01629,0.426789,0.162798,0.166368,0.237235,0.328381,0.110391,0.175844,0.783863,0.183284,1.25244,0.708138,0.778932,0.194367,0.191607,0.174161,-33.8223,-40.8819,-42.9835,-49.3165,-42.003,-41.0164,-55.2139,-42.7587,-41.2045,-45.1335,-53.9537,-46.2304,-35.1681,-44.0367,-44.9623,-42.0889,-38.022,-36.3948,-46.6075,-43.7644,-37.445,-46.3918,-35.4066,-53.9126,-42.1553,-43.4204,-36.8259,-39.7718,-33.3091,-42.8814,-41.3205,-41.795,-48.0128,-57.0617,-37.2359,-40.0729,-34.9649,-41.4141,-46.5881,-54.5452,-61.1463,-53.8177,-53.0724,-52.546,-37.9892,-33.6494,-44.6263,-42.0679,-49.3002,-37.1852,-41.3983,-45.4898,-42.9207,-36.1012,-49.7867,-29.2279,-47.1495,-56.1086,-50.4198,-34.6011,-43.1194,-49.7281
