# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 91372458
# output
#   file = output_neus_5.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.449322
# Diagonal elements of inverse mass matrix:
# 0.0260638, 0.0150109, 0.0700909, 0.0169168, 0.0335585, 0.0201591, 0.0307119, 0.0179182, 0.0123596, 0.0218511, 0.0248086, 0.0248881, 0.045855, 0.0174895, 0.144053, 0.0378773, 0.00989829
-2690.7,0.962533,0.449322,3,7,0,2697.01,55.3015,32.789,171.496,37.9763,139.208,76.0517,68.282,20.9556,67.9166,28.1329,88.5203,105.257,24.9017,29.3124,81.9189,0.284031,0.2093,-37.1735,-41.4498,-42.117,-50.9344,-41.4859,-40.9129,-57.4554,-44.1438,-42.4846,-47.2106,-52.9669,-45.8543,-36.9731,-44.4437,-46.1299,-42.5635,-39.0585,-35.9144,-47.308,-45.8559,-37.2573,-47.2409,-36.9799,-54.2156,-41.3482,-45.9924,-37.6621,-41.4647,-32.623,-43.2872,-40.0678,-41.7555,-49.8107,-59.0807,-36.8193,-40.0082,-35.0411,-41.4586,-47.2569,-56.4986,-63.9004,-53.9772,-52.7103,-52.3805,-39.8037,-32.955,-43.5582,-42.7478,-48.6568,-38.3339,-42.7023,-44.7803,-42.0596,-36.6108,-50.2607,-29.1564,-46.442,-56.6109,-49.8389,-35.9053,-43.9051,-47.8229
-2681.87,1,0.449322,3,15,0,2693.56,51.8059,29.8967,194.851,39.1943,126.504,74.3204,52.347,17.8787,61.0285,23.3884,78.515,92.4193,25.6165,30.3209,77.2457,0.308357,0.20397,-36.3212,-42.5918,-42.6075,-50.3532,-42.0464,-40.0183,-57.4644,-44.4452,-42.1767,-47.0027,-52.2791,-45.6866,-36.411,-43.42,-46.0709,-42.5884,-39.1306,-36.5965,-47.9716,-45.3394,-37.7582,-47.7072,-37.6574,-51.1375,-42.2433,-45.2678,-37.5549,-41.6054,-33.5185,-43.6192,-38.8353,-41.8292,-49.5966,-59.9971,-37.1122,-40.2591,-35.6962,-42.2473,-47.9191,-55.7893,-62.6672,-53.2566,-53.1064,-50.2173,-38.829,-32.6986,-43.8943,-42.9868,-47.2665,-39.1396,-42.2529,-44.9578,-41.5345,-37.2475,-50.4159,-27.7355,-45.2268,-57.5811,-48.694,-35.4754,-43.566,-47.1403
-2688.6,0.794376,0.449322,3,7,0,2692.97,48.93,32.9447,187.298,45.7402,90.9311,76.0603,53.4764,19.3041,62.9758,20.4341,87.1354,100.382,32.8636,38.797,34.4939,0.254089,0.203959,-35.6867,-41.2909,-44.3511,-51.2905,-42.6745,-39.5159,-57.0392,-44.0769,-41.0481,-47.8685,-52.9502,-45.3953,-35.5442,-42.8205,-45.3437,-43.1633,-37.9505,-36.1557,-46.8237,-45.7151,-37.8662,-47.3636,-37.9778,-53.6404,-44.4064,-45.171,-36.895,-41.4778,-33.2414,-43.3245,-39.3785,-42.4681,-49.4581,-59.6502,-36.7598,-41.5881,-35.0195,-42.0704,-47.8115,-57.4312,-65.6558,-52.8485,-53.1567,-51.1578,-38.1844,-32.9491,-44.1696,-41.5652,-48.3886,-40.2213,-42.2903,-44.8619,-41.0544,-36.8398,-49.6739,-27.7133,-46.121,-58.0928,-48.6488,-35.4673,-43.2675,-48.1686
-2693.5,0.828578,0.449322,3,7,0,2696.18,64.5877,28.879,156.336,31.5568,125.126,67.3218,59.8432,20.4918,57.2754,22.128,78.1874,87.74,22.6697,24.3268,116.904,0.362103,0.202026,-36.7735,-42.9603,-41.7992,-50.8639,-41.9463,-41.4126,-57.7761,-44.3991,-44.4518,-45.3929,-52.9708,-46.6076,-36.8349,-42.2383,-47.6689,-42.7538,-40.2406,-36.6755,-48.5216,-46.0235,-37.2402,-47.386,-37.1894,-49.3764,-41.0738,-45.7933,-38.689,-42.1771,-33.0034,-43.9227,-39.5838,-41.9468,-49.5172,-59.6618,-37.5585,-40.7375,-36.3395,-42.4133,-48.3033,-55.1549,-61.1616,-54.1239,-53.5197,-49.7348,-39.4949,-33.3161,-43.6897,-43.22,-46.2388,-37.8821,-43.1881,-45.049,-42.0917,-37.4949,-51.1912,-28.7466,-45.377,-56.2364,-50.0974,-35.7999,-44.675,-47.8378
-2691.42,1,0.449322,3,7,0,2701.32,43.9833,32.0303,206.347,38.0422,115.225,78.4488,45.3943,15.3873,62.4933,26.1105,80.6241,93.9085,26.5472,33.5292,47.4702,0.245608,0.230297,-36.5881,-42.1054,-43.8974,-50.0381,-42.1573,-39.2393,-57.8033,-45.4088,-40.8033,-48.1215,-52.2299,-45.138,-36.7937,-46.1595,-45.4724,-42.5095,-38.4788,-36.2459,-47.627,-45.2247,-37.9057,-48.4212,-37.4454,-54.0631,-43.0701,-45.3167,-37.0823,-41.3381,-32.4928,-43.2426,-38.5487,-41.6958,-49.3308,-60.2884,-36.751,-40.0025,-35.2177,-42.0583,-47.8867,-57.5924,-64.3353,-53.6041,-53.8166,-51.7852,-38.2528,-32.4778,-44.9148,-42.8247,-48.1706,-39.1945,-41.9861,-45.1077,-40.9096,-36.9357,-50.2877,-27.5353,-45.4647,-58.3458,-48.2593,-35.9325,-43.3233,-47.327
-2688.31,0.953179,0.449322,3,7,0,2702.3,54.0385,30.6707,169.384,45.554,100.831,71.0694,50.7082,23.5684,59.8748,25.8781,84.9052,92.3595,28.2646,35.7969,109.864,0.29742,0.198972,-36.9984,-41.4068,-42.5256,-52.0803,-41.9949,-40.3977,-57.2648,-44.0587,-43.7381,-46.3817,-52.696,-45.889,-36.5493,-43.0732,-45.8541,-42.8636,-39.0584,-36.458,-47.5048,-45.9058,-37.6268,-47.8377,-37.8083,-51.5013,-42.9802,-45.708,-37.5427,-41.5355,-33.3115,-43.7432,-39.6784,-42.5646,-48.963,-59.263,-37.0224,-41.2271,-35.6345,-42.172,-47.7378,-55.7005,-62.5355,-52.9288,-53.1982,-50.2716,-38.1227,-33.0515,-44.1516,-42.8045,-48.0904,-39.5167,-42.8478,-45.2189,-41.7093,-37.0016,-49.7595,-28.1343,-46.0534,-57.0429,-48.8779,-36.5296,-43.7618,-47.1938
-2690.22,0.969026,0.449322,3,7,0,2697.24,50.6634,29.5089,192.322,47.1084,99.2167,67.5573,57.9012,18.2115,60.4135,29.9754,96.2659,87.603,31.7989,33.1293,86.7713,0.269801,0.206929,-37.576,-41.8869,-43.4478,-51.0166,-41.6118,-39.0864,-58.0157,-45.1253,-42.4049,-46.0727,-52.3169,-45.639,-36.9799,-45.7122,-45.4237,-42.108,-38.8308,-36.1806,-47.5364,-45.9251,-37.2847,-48.6597,-37.0698,-52.1014,-43.4103,-45.7377,-37.5018,-40.6333,-33.6931,-43.9973,-40.1546,-42.0982,-49.6387,-59.3361,-36.737,-40.2309,-35.0139,-41.9281,-47.3406,-57.2534,-63.8324,-51.9564,-52.8113,-49.9949,-38.3448,-32.3436,-44.0975,-43.2639,-49.8088,-39.172,-42.0848,-45.5934,-42.4717,-36.4647,-49.1528,-27.5329,-46.2015,-58.5617,-48.9248,-36.8167,-43.2094,-47.3074
-2691.93,0.892015,0.449322,3,7,0,2700.85,67.1159,34.8353,188.371,39.8655,142.777,93.353,52.4403,20.7693,64.8783,16.8939,74.6062,109.504,31.2736,31.4212,65.9177,0.346885,0.20185,-35.3062,-42.4284,-41.6015,-51.4604,-42.4513,-41.6113,-56.6619,-43.2387,-42.8333,-47.8858,-53.2254,-45.732,-36.2409,-41.559,-46.6019,-43.6335,-39.4116,-36.8186,-47.7722,-44.965,-38.2685,-46.1959,-38.7099,-52.1376,-42.6892,-44.6897,-37.5301,-42.2668,-34.0477,-43.0225,-37.7635,-41.7464,-49.1937,-59.922,-37.3203,-41.6252,-36.0982,-42.411,-48.4619,-55.3961,-64.3227,-55.253,-53.3283,-51.722,-39.191,-33.9502,-43.5275,-41.8884,-45.8671,-40.5946,-43.6917,-44.2063,-40.7434,-38.2329,-51.3708,-28.6236,-44.6855,-56.3997,-49.2012,-34.6061,-44.3838,-47.7857
-2690.14,0.921499,0.449322,3,7,0,2702.76,60.1786,29.8685,195.691,42.3654,155.251,71.4465,62.2605,19.5807,63.6338,20.8335,85.0396,106.104,34.9574,29.9737,86.3335,0.264199,0.208856,-36.8865,-42.3574,-43.1197,-51.5013,-41.4276,-39.4289,-56.2252,-43.3851,-42.2084,-47.6108,-52.095,-46.3384,-35.9992,-44.0155,-46.131,-43.2122,-37.9096,-36.1123,-46.9458,-45.7981,-38.3014,-46.7839,-37.4599,-54.4654,-42.6193,-45.0486,-37.4296,-41.0791,-33.1038,-43.1904,-39.9563,-41.9202,-50.355,-59.6892,-36.8054,-40.7205,-34.7622,-41.9083,-47.5579,-56.8137,-63.3303,-52.8839,-52.6976,-51.2102,-39.2734,-32.5653,-43.9003,-41.8285,-48.8837,-39.5428,-42.8618,-44.3264,-42.968,-36.8275,-50.5015,-28.8032,-46.1294,-58.2402,-50.5851,-35.0566,-43.5844,-47.9337
-2690.29,0.92524,0.449322,3,15,0,2701.55,60.8775,36.3381,197.355,48.4369,141.214,85.9933,55.4705,20.7053,71.1594,28.8206,110.195,96.3555,26.1722,30.4897,100.677,0.338811,0.188216,-36.8731,-41.9282,-41.2795,-50.7427,-41.4098,-41.1455,-57.6858,-44.3338,-43.6617,-46.1354,-53.7732,-45.5906,-37.2375,-44.7682,-45.5439,-41.5343,-39.7728,-35.8698,-48.357,-45.7439,-37.0614,-47.3117,-37.3569,-51.6372,-43.132,-46.4809,-37.2853,-41.1757,-34.3696,-43.947,-39.3349,-41.272,-49.7644,-58.6282,-36.5828,-40.262,-35.4611,-41.7062,-47.2956,-57.5468,-65.4351,-53.5465,-52.8116,-50.9957,-39.1944,-32.8942,-42.8049,-43.7994,-49.5605,-39.5998,-42.1251,-45.6172,-42.0244,-36.7178,-49.2409,-27.8471,-45.5962,-58.1715,-48.4839,-35.5548,-43.4693,-47.1764
-2690.35,1,0.449322,3,7,0,2697.38,55.5821,36.2591,216.122,45.789,134.972,83.2413,67.7291,26.0603,70.5044,24.0869,99.8046,124.486,41.4333,27.9721,78.5639,0.39175,0.181,-36.2092,-43.2209,-42.1679,-51.6558,-42.2549,-40.7611,-56.9999,-43.6737,-42.9133,-46.6233,-54.0494,-46.0565,-36.7809,-43.8489,-45.9256,-42.7951,-39.3881,-36.9829,-47.452,-45.6179,-37.8583,-46.5126,-37.6938,-53.4633,-42.3965,-45.1045,-38.0455,-41.5518,-34.7105,-43.6099,-39.304,-41.4043,-50.0195,-59.0868,-37.4149,-40.8075,-35.7489,-41.6741,-48.1036,-55.3784,-63.5084,-52.6066,-51.7616,-49.6796,-39.7137,-33.3562,-42.6047,-42.3668,-46.5981,-40.4188,-43.9276,-44.0027,-42.0817,-37.8075,-50.8646,-28.7716,-45.8602,-57.0905,-49.6595,-35.0741,-43.5439,-47.475
-2690.92,0.991531,0.449322,3,7,0,2697.46,73.3334,36.2117,214.025,43.2144,149.114,90.5008,56.0938,20.0897,73.3558,30.3151,85.9755,102.428,46.0139,36.8408,62.4057,0.349026,0.186492,-37.2224,-42.0131,-42.2092,-50.7572,-42.2969,-40.465,-57.5832,-44.0056,-42.2061,-46.9787,-53.1427,-45.3719,-36.9786,-44.1148,-45.4575,-42.9415,-39.0727,-36.5944,-47.5136,-45.1572,-37.43,-47.0712,-38.4231,-50.6284,-42.952,-45.3751,-37.1911,-41.0259,-35.1791,-43.6092,-38.4505,-41.8633,-50.0256,-58.9024,-36.9122,-41.2497,-36.18,-42.0062,-47.9049,-55.9403,-66.0356,-53.2518,-51.9317,-51.9259,-38.826,-33.2426,-43.0543,-42.9325,-48.1187,-39.6404,-41.5636,-45.8867,-42.2267,-38.2462,-49.5717,-28.2559,-46.4237,-57.5349,-48.6126,-35.8244,-43.7033,-47.4022
