# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92685280
# output
#   file = output_cal_pl_Kgamma_EPs_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.193875
# Diagonal elements of inverse mass matrix:
# 0.0569208, 0.0180833, 0.272164, 0.0435172, 0.0912963, 0.0259889, 0.0293942, 0.0240927, 0.0145147, 0.0266841, 0.0360665, 0.0896684, 0.143794, 0.0194324, 0.131255, 0.567532, 0.177874, 0.0988259, 0.170376, 0.260267, 0.0871642, 0.146484, 0.672851, 0.0387378, 0.734885, 1.05445, 0.146215, 1.21316, 0.124147, 0.799064, 1.23146, 0.0778895, 0.458743, 3.75424
-2662.84,1,0.193875,5,31,0,2681.31,82.3465,48.4226,290.367,34.5133,148.847,102.549,74.7656,26.5505,77.8254,37.2529,138.671,200.345,58.1434,37.6143,84.0151,0.0863982,0.166658,0.134349,0.559573,0.251778,0.191673,0.234927,0.0591179,0.360212,0.0353313,0.0481718,0.02129,0.00388198,0.440807,0.11753,-1.96015,1.26288,1.10076,5.07048,-35.3743,-41.3887,-43.2435,-52.9974,-42.2061,-39.5955,-56.5548,-41.6421,-39.8474,-49.9368,-50.3255,-44.852,-35.0746,-41.5757,-46.2664,-42.2017,-38.5136,-34.8446,-45.4867,-44.7826,-36.1577,-46.8056,-36.9699,-50.2505,-42.8109,-43.9247,-38.6917,-40.229,-34.5418,-43.8663,-38.3467,-43.0126,-51.6616,-58.0083,-36.9246,-39.4271,-35.8426,-40.486,-45.8939,-52.6404,-62.1867,-53.0671,-51.5878,-51.9523,-39.3773,-32.2582,-43.8926,-41.2855,-48.5117,-38.2983,-41.1777,-47.7248,-43.0825,-36.7152,-46.7249,-27.034,-44.3896,-56.8328,-48.143,-34.6178,-43.59,-47.1762
-2662.17,0.806047,0.193875,5,31,0,2680.2,78.3983,34.495,204.197,45.4704,161.408,88.017,54.0557,22.956,59.6689,24.3485,105.399,129.331,28.579,35.2526,90.2704,0.0115358,0.174546,0.2331,0.0850837,0.0173083,0.175551,0.278419,0.0228541,0.379169,0.0551979,0.0332028,0.0558616,0.0653406,0.262548,0.0762548,-1.9668,1.22443,0.363228,2.57598,-33.5147,-42.1468,-42.1256,-49.415,-41.9545,-39.8338,-57.654,-43.449,-40.7982,-49.4628,-51.2762,-45.9352,-35.9225,-41.1546,-47.4019,-41.9292,-39.7992,-35.0191,-46.9931,-43.9775,-35.6778,-47.4145,-36.9662,-46.4317,-40.2951,-44.123,-38.4487,-42.0892,-32.2617,-44.2937,-38.043,-42.334,-48.9126,-58.6903,-36.8832,-39.2353,-35.9015,-41.7989,-48.7457,-52.3623,-61.3328,-54.3765,-53.5883,-50.3351,-40.8162,-32.65,-44.3408,-42.5357,-44.8498,-36.6422,-40.3796,-47.7853,-41.5182,-36.8337,-49.6401,-28.5167,-45.9022,-56.2022,-48.0364,-34.9002,-43.9008,-47.6125
-2658.35,0.253024,0.193875,5,31,0,2675.24,77.3154,34.1429,209.479,45.7181,158.606,86.914,55.2582,22.2331,59.3138,24.4047,105.779,125.641,28.681,34.2276,88.6913,0.0111741,0.161237,0.212182,0.0847109,0.0176451,0.185772,0.278307,0.0262251,0.389906,0.0580875,0.0278495,0.0489322,0.0923282,0.245364,0.0653607,-1.96677,1.18215,0.303883,3.0785,-33.4803,-41.5891,-41.9748,-49.5054,-41.4112,-39.5554,-57.0577,-43.2457,-40.8085,-50.2165,-51.4224,-45.7914,-35.7943,-42.2371,-47.0216,-41.8385,-39.11,-34.733,-46.8339,-43.6262,-35.7717,-47.3133,-36.9969,-47.2593,-40.7724,-43.7428,-38.2008,-41.7375,-32.2469,-43.7708,-37.9717,-42.0921,-48.4739,-58.6556,-36.526,-39.2955,-35.1329,-41.6695,-48.4008,-52.8319,-61.9265,-54.3119,-53.3543,-50.7169,-41.1556,-32.3414,-44.5399,-41.9965,-45.3499,-36.9823,-40.1527,-47.4191,-41.6205,-36.5655,-49.2334,-28.9,-46.0327,-56.29,-48.1271,-35.1167,-43.6897,-47.7629
-2660.66,0.929323,0.193875,4,31,0,2680.9,69.201,40.4795,237.579,47.4284,119.317,90.7257,60.3951,28.4702,59.3555,28.9773,95.0926,142.489,40.5848,32.3366,69.8593,0.281429,0.0739294,0.114566,0.245156,0.100847,0.107634,0.257516,0.0576158,0.395185,0.0490387,0.0922208,0.0334645,0.140316,0.305964,0.188345,-1.71805,1.51663,0.168194,2.05989,-34.9529,-40.6911,-43.1451,-52.7722,-42.5494,-39.666,-56.9744,-42.3967,-41.2774,-49.2733,-51.9526,-45.9186,-35.5092,-41.8625,-45.9623,-43.0399,-38.3814,-35.2474,-45.8691,-43.5115,-36.3156,-47.3542,-37.453,-48.0193,-42.7038,-42.9453,-38.2945,-40.6417,-34.229,-43.5613,-38.6477,-42.5077,-49.2838,-58.4511,-36.8649,-41.0401,-35.6154,-41.1054,-46.8918,-53.195,-62.7009,-51.771,-52.0462,-48.6173,-39.2321,-32.9686,-43.9923,-41.1398,-47.0284,-38.5389,-40.9411,-46.1871,-42.9141,-37.578,-47.5532,-27.3276,-44.6019,-56.0877,-49.2689,-35.7063,-43.1838,-48.1353
-2656.67,0.968835,0.193875,5,31,0,2676.99,65.6079,40.6898,248.384,44.2227,149.075,90.6024,65.9336,21.9521,68.0872,25.9541,117.381,147.222,32.3893,37.3885,103.465,0.0635013,0.0645131,0.0353384,0.20595,0.129225,0.15928,0.20922,0.21,0.42385,0.104904,0.0524401,0.0655005,0.0732741,0.337983,0.0669259,-1.95974,0.775974,0.217904,2.77522,-35.3143,-39.846,-42.6802,-51.5687,-42.3868,-40.7981,-56.2896,-42.2953,-40.8608,-51.7215,-51.0401,-46.0045,-35.7209,-42.4864,-46.1312,-42.068,-38.2621,-34.3396,-46.3886,-43.6697,-36.0363,-46.8575,-37.0869,-51.0609,-41.7065,-43.2773,-37.31,-41.2958,-33.3813,-43.0218,-38.8453,-43.2365,-48.8663,-58.1276,-36.2508,-38.4942,-35.1581,-41.0637,-47.024,-53.6697,-61.3166,-53.3008,-52.2017,-51.5619,-40.2758,-32.1018,-44.1778,-41.032,-47.343,-37.1001,-40.5989,-46.9441,-42.0215,-35.9665,-48.222,-28.7348,-46.1602,-57.1281,-48.9934,-35.4841,-42.7842,-48.0853
-2653.92,0.605067,0.193875,5,31,0,2676.88,78.6273,36.9849,236.677,43.5674,149.727,89.6814,76.9083,26.7603,71.1377,34.213,107.797,155.074,53.785,33.5587,63.6036,0.040593,0.374639,0.225519,0.255487,0.127774,0.276836,0.244978,0.134479,0.361844,0.0847306,0.123646,0.0534039,0.0565973,0.283818,0.0448563,-1.81133,1.05901,0.735559,4.77481,-34.6158,-42.1681,-41.4297,-51.1914,-41.4961,-40.148,-56.9066,-43.2057,-39.8102,-48.8446,-51.661,-44.6103,-35.6919,-44.253,-46.8867,-42.7918,-39.3055,-35.1974,-45.2594,-44.9706,-36.2662,-47.3954,-36.319,-49.3794,-41.1997,-45.409,-38.3423,-40.3584,-32.1432,-42.9463,-37.8192,-41.0631,-48.4518,-58.7282,-37.0879,-39.4873,-35.4407,-41.16,-47.1951,-54.5376,-63.4364,-54.5616,-51.9543,-53.0462,-39.6185,-31.4305,-43.6082,-41.4579,-47.0175,-36.3613,-40.2713,-47.7764,-41.2524,-36.5099,-48.1364,-28.9288,-45.5754,-57.554,-47.5796,-35.2171,-43.6652,-47.2313
-2648.49,0.982225,0.193875,4,15,0,2666.41,88.2303,37.1384,225.314,32.1265,144.992,93.9518,67.9132,30.1282,62.919,27.9156,114.027,172.102,40.5018,37.6667,120.786,0.0675289,0.176513,0.21415,0.425855,0.0858493,0.205818,0.190128,0.0627267,0.401892,0.0563978,0.0607548,0.0311174,0.0734054,0.27933,0.129478,-1.52513,0.885376,0.540646,2.75943,-33.7975,-42.9516,-42.3385,-52.4163,-41.7475,-39.6519,-56.6003,-42.1118,-41.2534,-48.7427,-50.3176,-45.795,-35.4037,-40.9939,-47.2781,-42.8012,-39.2061,-35.1135,-46.434,-44.3668,-35.972,-46.7497,-36.9148,-47.2523,-41.3144,-43.4582,-38.5503,-41.2677,-32.5926,-43.8247,-38.1382,-43.2736,-49.4441,-58.4102,-37.0789,-40.1656,-36.3588,-41.2243,-47.2137,-50.5465,-59.8763,-53.9703,-52.7242,-51.2727,-38.8891,-32.4764,-44.3378,-41.1439,-45.8136,-37.0181,-41.3033,-47.4592,-41.9209,-36.9597,-47.9846,-28.2266,-44.8362,-55.549,-48.5837,-35.0198,-44.415,-47.8706
-2646.82,0.931551,0.193875,4,31,0,2662.81,78.1921,45.8976,231.897,39.6937,141.872,86.2198,57.8055,23.5528,71.131,27.5439,118.159,146.395,38.0314,39.2303,68.9765,0.115563,0.131826,0.209662,0.274414,0.138424,0.252005,0.30609,0.152277,0.309147,0.0751728,0.106562,0.0660286,0.106464,0.413726,0.0827661,-1.80352,0.851238,0.200712,2.23679,-34.5486,-41.3536,-42.375,-51.1894,-42.2129,-39.0052,-56.3115,-42.7535,-39.977,-48.3937,-50.7055,-45.1475,-34.8432,-42.8237,-46.6828,-42.3481,-38.3422,-34.6388,-46.3086,-44.4897,-35.9987,-46.6198,-36.6141,-50.0961,-42.8078,-44.6799,-37.8673,-40.881,-33.3604,-42.9776,-37.8446,-42.4066,-48.9069,-58.3908,-36.5041,-40.0617,-35.8555,-40.5846,-46.824,-54.9501,-63.1606,-53.7063,-52.2857,-51.2229,-39.5587,-32.6503,-43.4975,-41.17,-47.0111,-37.1727,-41.2538,-46.4434,-41.3382,-36.5287,-47.8591,-27.7689,-44.9879,-56.2969,-48.1571,-34.8435,-43.2791,-47.673
-2652.62,0.928383,0.193875,4,15,0,2658.78,75.9579,29.8227,216.575,42.7059,127.995,92.1652,68.713,26.5524,62.8813,37.8304,105.275,152.023,36.1759,33.9166,96.5224,0.171141,0.265341,0.187103,0.249052,0.151534,0.167943,0.155923,0.130108,0.377066,0.0755338,0.188476,0.0529871,0.085873,0.279153,0.19788,-1.73751,0.782275,1.0623,4.96919,-35.6902,-41.6205,-41.9501,-51.6692,-42.361,-40.087,-57.7509,-42.8051,-41.8838,-47.1268,-50.7965,-45.519,-35.7883,-41.9119,-46.8559,-42.4077,-39.4326,-35.6892,-46.2905,-43.8658,-36.2617,-47.6166,-36.248,-47.5499,-40.9321,-43.8797,-38.528,-40.9371,-31.9181,-43.4207,-38.8357,-42.4786,-49.8951,-58.5222,-37.4755,-39.8685,-35.9052,-41.3076,-47.1369,-53.351,-60.8526,-53.4555,-51.5459,-51.2648,-38.7209,-31.861,-44.0268,-42.2052,-46.5324,-36.959,-41.1707,-47.7031,-42.3612,-37.1385,-48.9636,-28.817,-45.1931,-57.965,-49.5533,-35.674,-44.142,-47.714
