lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.14609
# Diagonal elements of inverse mass matrix:
# 0.0229215, 0.01131, 0.0822294, 0.0252546, 0.031703, 0.0146218, 0.0189202, 0.0114363, 0.00974705, 0.0248733, 0.0225975, 0.0173032, 0.0384743, 0.0216852, 0.127612, 0.0344172, 0.394839, 3.70818
-2671.6,0.998197,0.14609,5,31,0,2686.26,61.4992,32.5885,204.331,35.8389,110.209,74.156,51.3085,20.7914,60.9135,20.8344,93.5181,102.984,27.5755,37.2719,76.7224,0.176495,0.501132,5.01003,-35.8492,-41.884,-43.2434,-50.1041,-41.6562,-39.1242,-56.481,-43.6651,-41.7626,-46.8694,-51.6649,-46.0951,-35.4574,-43.5641,-46.4635,-42.5987,-38.0541,-36.2486,-47.3837,-45.1935,-37.3736,-47.033,-37.2475,-50.9634,-42.6627,-45.1344,-37.2643,-41.8588,-33.1455,-43.4267,-39.0349,-42.3126,-49.1091,-59.4853,-36.9202,-41.0139,-35.5554,-41.8749,-48.0905,-56.4078,-62.5705,-52.7264,-53.6413,-49.525,-39.1392,-32.8165,-44.1292,-41.6061,-45.7358,-38.6519,-42.4222,-44.5928,-41.6191,-36.9473,-50.6866,-28.4279,-45.9,-57.5756,-50.0568,-35.0251,-43.4046,-48.0447
-2675.12,0.944034,0.14609,4,15,0,2680.18,65.9304,35.3785,182.226,33.7473,112.021,70.6375,45.8686,20.1018,58.0263,19.2766,85.1538,95.2651,33.8712,37.0634,79.9176,0.190465,0.29733,3.82825,-36.1555,-41.5602,-42.9721,-51.0525,-41.6413,-39.5051,-56.0355,-43.3241,-42.4016,-46.4971,-52.1615,-46.3362,-35.5029,-43.4039,-46.9022,-43.0394,-38.0322,-36.0529,-47.1791,-45.7389,-37.4388,-46.6808,-37.3866,-50.783,-42.895,-45.8214,-37.439,-41.6618,-32.6495,-43.5962,-38.8537,-42.1849,-48.7283,-59.2952,-36.8464,-41.6046,-35.9033,-42.0437,-48.1596,-57.1201,-62.9617,-53.1016,-54.3246,-49.7117,-38.1465,-33.1974,-44.1357,-41.116,-45.8747,-37.9975,-42.3552,-44.7232,-41.8244,-37.1426,-50.532,-28.3653,-46.0313,-56.4226,-50.0461,-35.1596,-43.921,-48.2107
-2669.91,0.895582,0.14609,4,31,0,2683.61,58.5954,31.5904,201.466,40.8024,110.328,81.437,55.5255,19.03,58.8746,25.3362,85.3472,97.5804,20.7373,30.7449,65.0307,0.124861,0.114744,2.81399,-35.2093,-40.8843,-42.6127,-49.1728,-41.5958,-39.7859,-57.3474,-44.7792,-41.2883,-48.2354,-52.2534,-46.3685,-36.3124,-45.7898,-46.1411,-42.3398,-38.4861,-36.0037,-47.6167,-43.6497,-37.4413,-47.931,-37.2569,-49.6664,-42.172,-44.2509,-36.8729,-41.4887,-33.4161,-42.9637,-39.0179,-41.518,-48.1431,-59.5799,-36.956,-40.2894,-34.9404,-42.0045,-47.3929,-56.1029,-62.6676,-53.9301,-54.4032,-49.754,-39.3549,-32.6225,-44.4676,-41.9615,-45.4095,-39.117,-40.8505,-44.3267,-41.4499,-36.4375,-50.0099,-28.4573,-45.0124,-56.8906,-50.2346,-35.7406,-42.919,-49.2787
-2678.76,0.935027,0.14609,4,15,0,2686.84,67.4002,32.8997,198.697,41.3309,107.734,90.119,55.5479,20.4451,62.1131,24.997,71.2571,93.8423,20.1584,23.4451,84.0081,0.153797,0.130393,2.58733,-34.9635,-42.1144,-41.0874,-49.4531,-41.988,-41.3373,-57.5996,-45.1765,-42.9882,-48.2709,-53.3187,-45.9627,-37.2218,-45.8835,-46.8978,-42.6123,-39.6907,-36.2556,-48.4297,-43.8315,-37.4056,-47.829,-37.4517,-49.4058,-41.4972,-44.3422,-37.1766,-41.391,-33.6155,-42.6534,-38.3244,-40.7493,-47.3909,-60.0351,-37.0921,-40.2721,-35.3444,-42.2641,-47.5574,-55.6349,-63.4119,-55.4457,-54.6386,-50.762,-38.4902,-33.0351,-44.1433,-42.7192,-45.6833,-38.9701,-41.5757,-44.2781,-40.6698,-37.2034,-50.3361,-28.1982,-43.8512,-55.8042,-49.9232,-36.0545,-43.4641,-48.362
-2683.45,0.947654,0.14609,4,15,0,2695,64.5709,30.7796,181.782,51.4764,83.5666,65.5041,48.4511,23.095,61.0736,22.5935,100.168,105.826,18.6443,34.342,57.2566,0.129416,0.140568,2.77089,-35.5825,-40.7611,-43.4513,-50.8827,-42.1373,-39.5392,-57.3365,-44.1132,-41.7277,-47.6253,-52.605,-47.1499,-35.1394,-43.1369,-46.7095,-42.5291,-38.2872,-35.8166,-47.3457,-45.2656,-37.4061,-47.4331,-37.2336,-50.5403,-44.305,-45.4148,-37.3255,-41.6918,-32.9444,-43.8585,-40.5054,-42.4287,-49.5558,-59.3573,-36.7913,-41.86,-35.0478,-41.8769,-46.9871,-57.0429,-63.1111,-52.1573,-53.7662,-48.8163,-38.3269,-32.6215,-43.9664,-42.2472,-46.6499,-39.3718,-42.6551,-44.1507,-42.2613,-36.01,-49.7887,-28.0645,-45.5027,-58.3858,-51.6632,-35.4953,-42.6076,-49.9906
-2674.65,0.992705,0.14609,5,31,0,2692.84,67.1143,35.4533,207.582,39.3138,90.296,78.6611,48.5253,24.96,61.9084,21.7992,84.2027,104.451,21.9471,38.8014,105.868,0.138962,0.080536,2.3515,-35.4305,-41.138,-42.8572,-50.2841,-41.4577,-39.6234,-56.1364,-43.7695,-42.8634,-48.4038,-52.1777,-46.2802,-35.5371,-44.8714,-46.5629,-43.1775,-38.0071,-35.908,-47.5651,-44.585,-37.2491,-47.47,-37.6513,-50.1136,-42.3949,-45.3033,-36.7556,-41.8905,-33.3274,-43.0077,-38.842,-42.1476,-47.4977,-59.7058,-36.6343,-41.2604,-35.4621,-41.8227,-47.7137,-56.1994,-63.1714,-53.4381,-54.8528,-49.3538,-38.6239,-32.9044,-44.73,-41.3567,-45.3012,-39.0584,-41.9733,-44.2852,-41.1506,-36.7982,-50.3351,-28.5665,-45.5908,-56.7273,-50.651,-35.608,-42.9913,-48.4251
-2676.52,0.964105,0.14609,5,31,0,2687.01,66.5796,35.3208,200.259,51.4437,141.137,76.9218,51.0824,21.3921,64.1301,23.6915,98.9362,102.863,38.5553,33.0577,34.3237,0.159964,0.0706939,2.1322,-36.3302,-40.9711,-42.8658,-51.4991,-42.0696,-39.2491,-56.9655,-44.0545,-40.7384,-46.9403,-53.0421,-46.6893,-35.9272,-45.5577,-46.0231,-42.3765,-37.8774,-35.4975,-46.5754,-44.8034,-37.6321,-46.3456,-37.0201,-51.8535,-44.4768,-45.2984,-36.9397,-40.2115,-32.9924,-43.4525,-39.1216,-41.2132,-50.0949,-58.6958,-36.4687,-41.9613,-34.9164,-41.6203,-46.7301,-58.6509,-64.2625,-52.4582,-53.3443,-49.8347,-37.4772,-32.4959,-43.1036,-41.2986,-47.4922,-38.5943,-41.8509,-44.2497,-42.6299,-36.118,-49.2748,-28.1154,-45.3079,-58.1358,-50.5051,-35.0372,-42.8277,-49.7907
-2674.15,0.98761,0.14609,5,31,0,2683.02,60.8128,37.6485,211.711,53.0347,130.852,85.0537,52.8615,20.2869,62.5275,27.8904,95.3026,96.9039,29.917,29.9021,46.8382,0.142136,0.149949,2.65796,-35.8883,-41.0171,-42.1837,-50.3035,-41.7927,-40.1528,-57.7313,-44.8787,-41.3142,-47.0996,-53.7057,-45.8179,-36.8331,-46.226,-45.5402,-42.2015,-38.8468,-36.0251,-47.1977,-44.3463,-37.685,-47.5038,-37.5411,-50.2333,-44.0735,-45.1224,-36.9045,-40.7401,-34.5907,-43.3883,-38.8167,-40.6292,-48.9111,-58.983,-36.9252,-41.2126,-35.2343,-41.8559,-46.9173,-57.377,-63.9623,-52.99,-53.6884,-49.2577,-38.4053,-32.9995,-43.2826,-42.3804,-47.286,-39.7849,-41.2831,-44.518,-41.7947,-36.6157,-48.9542,-27.4018,-44.6071,-57.355,-48.7964,-35.5805,-42.6011,-48.4149
-2671.69,0.995691,0.14609,5,31,0,2684.12,60.6627,35.9183,196.055,48.4764,132.928,83.7914,57.9836,20.304,62.0162,26.9868,85.0268,101.372,30.5826,29.5251,47.4728,0.139652,0.0887828,2.41388,-35.73,-40.6963,-42.0622,-50.5777,-41.8714,-40.2588,-57.3258,-44.5716,-41.0829,-47.8736,-53.2473,-46.3314,-36.6984,-46.1848,-45.8469,-42.5623,-38.5328,-35.8715,-46.84,-43.9366,-37.699,-47.1778,-37.3489,-50.9493,-42.9531,-44.6913,-36.8089,-40.6667,-33.6132,-43.0027,-38.9045,-40.8886,-48.6048,-59.0403,-36.89,-40.9151,-34.9682,-41.7955,-46.8454,-56.908,-63.5612,-53.6984,-53.8511,-50.2474,-38.4101,-32.935,-43.5531,-41.6771,-46.415,-39.0638,-41.1421,-44.0553,-41.8833,-36.4243,-49.3284,-28.2751,-44.9299,-56.2697,-49.8472,-35.6785,-42.9134,-49.3655
-2672.57,0.920595,0.14609,5,31,0,2678.8,59.1086,35.7301,194.776,41.81,97.0089,82.7692,51.0644,17.0797,59.9707,17.2893,90.2189,98.4041,27.6444,33.074,102.831,0.140211,0.0615624,2.11227,-34.3538,-41.4988,-41.9965,-50.1264,-41.5542,-40.2297,-55.8249,-43.5607,-43.0363,-47.8568,-52.6059,-46.5112,-35.8145,-43.9925,-46.5616,-42.782,-38.6171,-35.9191,-48.0628,-44.5504,-37.4329,-46.8188,-37.6087,-49.8295,-42.5776,-44.8919,-37.0151,-41.7097,-33.351,-43.5662,-38.6167,-41.7997,-47.6774,-59.6403,-36.9788,-40.2839,-35.4603,-42.2143,-47.9179,-56.3814,-63.6828,-54.1288,-54.9064,-49.7547,-38.4801,-33.1247,-43.8219,-41.24,-45.4631,-39.206,-41.3213,-44.5195,-41.1364,-36.6673,-50.2879,-27.8423,-45.0034,-56.1373,-49.9626,-34.8062,-43.7163,-48.7399
