# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92967857
# output
#   file = output_cal_pl_Ka_Kgamma_EPs_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,b,mu_a,sigma_a,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.140116
# Diagonal elements of inverse mass matrix:
# 0.157551, 0.0181501, 0.820469, 0.0310469, 0.454954, 0.018174, 0.030169, 0.0743045, 0.0123952, 0.031315, 0.0840572, 0.958449, 0.226752, 0.0196218, 0.25053, 0.901851, 0.209334, 0.327875, 0.874476, 2.00895, 0.750892, 0.524724, 0.698604, 0.348352, 0.323883, 0.629042, 0.0814709, 1.19749, 1.04501, 0.767623, 1.43289, 0.17351, 0.590397, 0.0400201, 0.0429853, 0.114361, 0.282555, 0.0572484, 0.0903106, 0.397759, 0.168711, 1.14836, 0.364714, 0.355274, 0.392909, 0.366342, 0.360102, 2.04074, 0.0643252, 0.0989935
-2628.65,0.626218,0.140116,5,31,0,2657.05,88.7266,34.2853,257.412,31.3732,112.943,79.1884,62.6719,27.3456,53.1952,34.8552,148.033,268.768,54.6009,34.5919,104.378,0.0489678,0.183816,0.139858,0.12137,0.141094,0.225055,0.212092,0.100496,0.168155,0.155099,0.0747366,0.0387428,0.0586404,0.318693,0.0787124,-1.95388,0.583273,-1.95397,-3.20242,-2.03847,-4.69724,-2.90591,-2.8969,-2.95827,-1.27997,-4.30041,4.20471,-0.165735,3.09932,-2.79201,-2.70813,-0.473757,2.09516,-2.24407,3.38386,0.14171,0.0406636,0.130228,0.00912045,0.0546988,0.0551942,0.0519089,0.278044,0.013563,67.0012,0.84727,22.1828,0.0612976,0.0666615,0.622659,-34.0318,-41.7961,-43.4138,-48.8427,-41.2623,-38.9177,-54.9501,-41.5491,-39.3003,-47.212,-50.4546,-45.6,-34.1799,-42.5228,-46.2634,-42.3001,-37.7218,-35.6717,-45.3529,-43.4675,-36.3012,-45.6583,-35.9372,-48.6498,-40.8123,-43.6621,-37.9282,-39.9932,-34.1655,-43.3546,-38.3502,-41.8473,-49.4488,-58.2536,-37.4686,-39.5931,-35.1232,-40.8744,-47.0561,-51.8131,-59.1269,-53.5787,-52.8064,-49.7802,-38.9901,-31.9855,-43.9924,-40.478,-44.9713,-37.6458,-39.9383,-45.6849,-42.2664,-37.2803,-48.4952,-29.0524,-46.0836,-55.5116,-49.2746,-34.9126,-43.0423,-48.3998
-2627.17,0.948438,0.140116,4,31,0,2648.76,101.207,31.5265,224.557,35.2098,114.369,79.8924,44.0654,37.5683,48.9421,35.6187,161.18,244.241,22.6847,32.6057,91.9718,0.127882,0.149273,0.143065,0.178056,0.0685427,0.0520766,0.221499,0.0848408,0.195281,0.0613849,0.0690033,0.0640724,0.263275,0.116056,0.201687,-1.94793,0.801686,2.41486,-2.64221,-2.59821,-4.56691,-2.71403,-3.73059,-2.80927,2.24191,-5.36819,1.01879,2.89327,3.80163,-2.05249,-4.2244,-0.139699,2.09088,-1.73434,2.85131,11.1882,0.071204,0.074407,0.01039,0.0662694,0.0239787,0.0602491,9.4113,0.00466258,2.76983,18.0522,44.774,0.128415,0.0146342,0.86962,-33.5727,-41.5985,-44.164,-50.2264,-42.2641,-39.0639,-55.7817,-42.454,-40.4725,-48.3711,-51.0165,-45.965,-34.0314,-41.0121,-45.6221,-41.7268,-37.6186,-34.7833,-47.1777,-42.0426,-35.8615,-46.2095,-35.1086,-50.6857,-40.9344,-42.8406,-37.0983,-40.1575,-31.8138,-43.8729,-38.2085,-41.9745,-49.5345,-57.8618,-36.8957,-39.272,-35.0911,-40.5855,-46.2965,-51.3789,-57.852,-51.6379,-53.6399,-49.0227,-37.2035,-32.0815,-45.1337,-41.4306,-44.9047,-36.7982,-41.5849,-45.8659,-42.8282,-36.696,-49.2501,-28.158,-45.5146,-56.1482,-50.1208,-34.4496,-42.7634,-48.5806
-2634.36,0.899508,0.140116,5,31,0,2657.1,84.9348,34.2994,192.638,31.2174,146.434,80.6809,43.724,35.2777,49.0356,35.9259,140.585,204.856,34.309,34.0451,116.261,0.109092,0.10102,0.166085,0.19665,0.034564,0.0502465,0.306893,0.0385898,0.227643,0.0623302,0.0517382,0.0470436,0.203229,0.125221,0.131679,-1.86528,0.875206,1.8539,-2.63486,-2.41635,-4.4886,-2.04197,-3.86004,-4.51033,1.28957,-4.8374,-0.165133,2.74993,2.62253,-2.72293,-4.21626,0.861351,2.14217,-1.66812,3.48613,6.3847,0.0717288,0.0892468,0.0112364,0.129773,0.0210672,0.0109948,3.63123,0.00792761,0.847781,15.6416,13.7706,0.0656818,0.0147538,2.36636,-33.7922,-40.9964,-43.4327,-50.5834,-42.8719,-39.8387,-56.0498,-42.1808,-40.705,-47.7096,-51.825,-46.4196,-34.8045,-40.1533,-45.5938,-42.1725,-38.4272,-34.9166,-47.6745,-42.3882,-35.6648,-46.7009,-35.3962,-48.5751,-39.684,-43.0692,-38.1373,-39.9439,-32.2475,-44.6594,-38.1261,-42.6509,-48.9068,-57.4102,-37.3166,-38.5874,-35.6326,-41.1138,-46.7452,-50.5624,-58.3223,-52.9953,-53.7423,-51.0189,-38.0621,-33.2505,-45.829,-42.135,-45.6841,-35.42,-38.9199,-47.6733,-42.8104,-36.5025,-48.1539,-27.8104,-46.5647,-53.6211,-47.8776,-35.7498,-44.4281,-48.6674
-2627.27,0.949014,0.140116,5,31,0,2655.75,87.1182,34.3794,202.768,32.2763,121.426,79.3712,45.4817,36.063,44.8852,34.3726,154.103,260.226,30.1693,37.8426,117.403,0.104857,0.0903271,0.17771,0.143163,0.137298,0.0817771,0.316271,0.0551181,0.214977,0.0902829,0.0328589,0.0402376,0.0428298,0.0794793,0.107252,-1.81295,1.01914,-0.794258,-2.55635,-3.06348,-4.66901,-2.53739,-3.38587,-3.95428,0.0672544,-5.10327,1.39113,2.81554,2.43508,-1.73008,-3.67129,0.536309,2.17636,-2.53525,2.67129,0.451916,0.0775876,0.0467249,0.00938155,0.0790727,0.0338481,0.0191724,1.06957,0.00607683,4.01939,16.7022,11.4168,0.17727,0.0254437,1.70969,-34.2948,-42.0149,-44.868,-49.8918,-42.1814,-38.621,-55.9127,-42.6236,-40.0135,-48.4223,-51.0291,-45.8143,-34.0135,-41.699,-45.5924,-42.4902,-37.4815,-34.7422,-46.9677,-42.276,-35.7945,-47.1333,-35.8576,-48.3865,-40.1429,-42.6765,-37.2261,-40.6796,-32.3549,-44.4542,-37.8255,-42.6826,-50.4137,-57.9434,-37.2807,-39.5472,-35.2456,-40.4304,-46.2803,-49.9468,-56.0337,-52.3966,-53.6814,-48.5713,-39.0332,-33.064,-46.6576,-41.7198,-44.052,-36.8917,-40.7029,-45.8788,-42.1173,-36.6483,-48.6079,-28.1039,-45.4207,-55.1872,-49.2268,-34.8227,-42.7929,-48.1214
-2628.5,0.730002,0.140116,5,31,0,2662.3,89.8394,39.5632,268.425,49.2748,135.635,76.5569,80.6149,26.3042,70.3655,37.7639,166.484,271.099,30.0722,31.0462,60.4409,0.0473393,0.200468,0.115436,0.122875,0.210858,0.0974011,0.134771,0.102506,0.364907,0.0931782,0.104605,0.0465943,0.0881306,0.341779,0.0582839,-1.90535,0.738222,-1.3625,-3.55799,-2.0575,-3.77502,-0.842292,-4.80508,-3.30379,-2.26506,-2.76457,0.785027,0.13236,2.29505,-3.15012,-3.46707,-2.27439,2.01766,-2.07957,1.83821,0.256019,0.028496,0.127773,0.0229366,0.430722,0.00818805,0.0367437,0.103824,0.0630031,2.19247,1.14152,9.92495,0.0428469,0.0312083,0.10286,-34.052,-40.4562,-41.6789,-50.0244,-41.472,-40.6581,-55.3865,-41.6223,-39.387,-49.1628,-51.8039,-44.4851,-33.8601,-42.4296,-46.4059,-41.6457,-38.5731,-34.9621,-45.0873,-42.8632,-35.7732,-45.5456,-34.6635,-50.7538,-41.4982,-44.9333,-37.3651,-39.5408,-34.288,-42.6837,-38.5161,-40.6729,-49.0433,-58.2123,-36.7294,-38.8666,-34.4794,-40.5964,-46.1208,-55.1534,-62.7731,-53.2542,-51.4122,-51.6332,-38.7648,-31.5543,-43.6836,-40.8272,-48.7368,-35.3391,-40.9096,-47.1789,-42.5883,-35.7973,-47.897,-28.6364,-46.1427,-56.9374,-48.7134,-34.1431,-42.5618,-47.8195
-2639.23,0.721547,0.140116,5,31,0,2659.12,60.6165,43.186,243.435,31.1848,95.0707,87.9457,51.0864,31.2159,53.3313,35.9737,172.007,263.736,51.8581,33.5584,152.815,0.18999,0.17261,0.231225,0.149242,0.0585991,0.11382,0.0772102,0.0966304,0.090344,0.106513,0.0350597,0.0359672,0.0462519,0.266878,0.0546962,-1.53923,1.23525,-2.52723,-1.208,-0.765632,-5.68047,-2.61244,-3.98261,-4.97461,-0.570977,-6.71,0.878745,4.91426,2.88779,-1.11025,-2.19782,1.35341,2.01123,-0.727505,2.90422,0.07988,0.298793,0.46504,0.00341194,0.0733552,0.0186369,0.00691119,0.564973,0.00121866,2.40788,136.218,17.9535,0.329477,0.111045,3.87061,-32.3905,-42.9358,-41.7195,-48.9443,-42.0663,-40.0958,-55.7493,-41.8599,-39.9632,-49.1352,-51.5199,-45.4394,-34.6916,-41.4018,-46.3913,-42.3306,-39.1646,-34.4888,-46.8669,-42.0263,-35.0655,-45.8015,-35.9774,-49.5378,-39.9723,-42.1374,-38.2623,-40.3722,-33.6882,-44.0829,-38.1476,-41.9823,-49.1308,-57.8948,-37.123,-38.7408,-35.4918,-40.3025,-46.6857,-49.8707,-59.2152,-54.4191,-53.6217,-51.3677,-37.5332,-33.2345,-44.4493,-41.9549,-45.4747,-36.484,-38.8789,-48.3859,-41.6343,-36.7695,-48.0259,-28.6624,-45.4798,-54.4205,-48.8957,-35.1436,-44.1354,-48.2095
