# 0.104554, 0.0523889, 0.0692728, 0.0740025, 0.206816, 0.0105391, 0.02776, 0.0504999, 0.0169795, 0.0285168, 0.0443225, 0.109546, 0.106891, 0.0120884, 0.13025, 0.0429383, 1.27851, 0.585852, 0.095843, 1.01921, 0.815466, 1.00101, 0.0857533, 0.592711, 0.175613, 1.20791, 0.758822, 0.939075, 1.06263, 0.081461, 1.21789, 0.12966, 0.0807069
-2666.86,0.855088,0.122561,5,31,0,2681.08,55.4811,24.0883,184.87,33.0078,128.97,56.1293,49.3998,24.3027,52.089,29.8553,118.704,117.312,38.6287,33.9333,70.2015,0.16971,-1.51574,-1.55822,-1.28707,-1.7587,-1.05991,-1.94048,-1.49516,-0.792729,-1.78848,-0.324101,-0.188938,-1.00587,-0.752957,-1.30295,-0.335895,-0.967152,0.596352,0.219645,0.210511,0.276078,0.172268,0.346485,0.143634,0.224212,0.452608,0.167214,0.723177,0.827838,0.365727,0.470972,0.271729,0.714698,-35.3136,-41.7435,-45.2175,-49.5259,-42.2725,-39.566,-56.7425,-43.5886,-40.6872,-45.4572,-52.199,-46.8978,-35.7369,-42.3626,-45.7172,-42.8648,-37.9292,-36.2617,-46.4582,-44.3442,-37.1229,-46.4837,-35.8169,-52.058,-41.4356,-43.458,-37.5914,-40.4682,-32.4259,-43.0548,-41.0226,-42.7083,-49.6465,-58.3361,-37.0211,-40.2069,-35.4109,-41.5782,-47.0032,-54.6698,-58.7931,-52.4372,-52.8743,-52.1675,-37.5526,-32.6922,-44.8551,-41.8696,-47.1627,-36.1091,-41.1857,-45.5439,-43.0899,-36.481,-49.9487,-28.9105,-47.5179,-56.6489,-50.8142,-35.0624,-43.4215,-49.5862
-2673.85,0.917869,0.122561,5,31,0,2684.06,40.781,29.8351,174.088,42.2464,91.4437,55.1929,44.3938,28.3701,46.7535,25.2104,111.364,98.0689,54.5563,34.3385,75.8636,0.144194,-1.6399,-1.84229,-1.4307,-1.01391,-1.31319,-2.11615,-1.39746,-0.320948,-1.58414,-0.215094,-0.287252,-1.12812,-0.395562,-1.05718,-1.19698,-0.981547,0.869317,0.193999,0.158454,0.239142,0.362797,0.268959,0.120495,0.247223,0.725461,0.205125,0.806465,0.750323,0.323641,0.673301,0.347433,0.302105,-33.8747,-41.6935,-42.1182,-50.5196,-41.9148,-41.4173,-56.4456,-43.9671,-42.4117,-44.5593,-55.1854,-46.063,-36.2788,-43.614,-45.6158,-43.8298,-39.3917,-37.3646,-46.8497,-44.5757,-37.9033,-47.2539,-36.8284,-48.9432,-42.0875,-44.9636,-37.3499,-41.8531,-32.7373,-43.8349,-39.6279,-41.74,-47.7596,-58.7823,-38.2056,-40.9483,-36.9318,-42.6574,-48.4921,-55.1588,-60.4528,-52.492,-54.0612,-48.9749,-38.1798,-34.2263,-44.0189,-41.8227,-46.364,-36.4946,-40.4523,-45.6123,-42.0005,-37.5383,-49.7762,-27.7805,-46.9293,-54.1508,-47.767,-35.3022,-43.7136,-47.7325
-2672.5,0.953942,0.122561,5,31,0,2688.26,49.218,23.3712,169.097,53.4632,101.619,55.4705,50.2899,24.9612,50.0356,29.5157,111.185,136.006,43.1664,33.3784,72.887,0.149997,-1.92896,-1.69393,-1.52218,-0.974463,-1.68227,-2.25297,-1.42611,-0.856888,-1.73168,0.653352,-0.651978,-0.86284,-0.115357,-1.31794,-1.4284,-1.25624,0.675074,0.145299,0.183795,0.218236,0.377395,0.185951,0.105087,0.240241,0.424481,0.176986,1.92197,0.521014,0.421962,0.891048,0.267686,0.239692,-34.1839,-41.3381,-41.9042,-50.4071,-42.1922,-40.8305,-56.3497,-43.3876,-41.6624,-45.6816,-52.642,-46.8017,-35.2745,-42.1156,-45.9396,-42.5559,-38.7077,-36.9524,-46.4399,-43.577,-37.9189,-46.8468,-36.3404,-52.5075,-41.6987,-43.0864,-37.0736,-40.7489,-31.9743,-42.919,-40.5162,-42.6651,-49.0952,-58.7038,-37.3093,-40.4503,-35.4353,-41.9728,-46.9054,-54.4431,-58.7473,-52.4602,-52.4131,-51.8778,-37.3705,-32.6995,-44.5657,-41.8756,-46.9816,-35.8107,-42.0379,-44.9714,-42.9468,-36.6599,-50.2451,-28.7692,-46.75,-56.3943,-50.7863,-35.2179,-43.4916,-49.2917
-2679.99,0.777162,0.122561,5,31,0,2693.86,60.7013,23.1805,179.773,41.2841,99.3282,58.5326,56.6649,20.08,46.6084,39.9444,123.915,97.1396,49.3344,29.4075,39.3701,0.157125,-1.41932,-1.55983,-1.33103,-1.76187,-1.704,-2.174,-1.14821,-1.18936,-1.72995,0.428858,-0.0481442,-1.43652,-0.396045,-1.57199,-1.42769,-0.879101,1.1818,0.241877,0.210172,0.264205,0.171723,0.181954,0.113722,0.317203,0.304417,0.177294,1.5355,0.952996,0.237753,0.672976,0.207632,0.239861,-35.0053,-41.2706,-44.7537,-50.4727,-42.4821,-40.2922,-57.3923,-44.3827,-40.6059,-44.7522,-52.4257,-46.3755,-36.3926,-43.0796,-45.454,-43.2149,-38.3724,-37.0202,-46.602,-42.5878,-37.8303,-47.008,-35.8635,-51.366,-43.1239,-42.0667,-37.4044,-40.0542,-33.3372,-42.8485,-40.1227,-42.337,-49.4717,-58.4568,-37.9998,-41.2092,-35.3303,-41.7358,-46.6324,-55.1871,-59.0299,-52.2238,-52.6036,-51.7237,-37.6496,-33.2637,-45.2446,-41.147,-46.1942,-37.8478,-42.2056,-45.2321,-42.9123,-37.1691,-49.6693,-28.7559,-46.1807,-56.9463,-50.1629,-36.1314,-43.0894,-49.5129
-2682.43,0.988567,0.122561,5,31,0,2697.54,83.5792,26.6326,190.135,31.3617,180.36,72.8585,43.3879,21.7967,60.814,27.0479,125.664,170.969,21.3942,31.0392,112.906,0.111264,-1.05781,-1.8849,-1.52724,-1.62237,-0.854425,-2.06016,-1.54288,-1.32222,-1.7234,-1.03376,-0.303827,-0.583039,-1.95834,-1.34532,-1.36939,-1.62577,1.14958,0.347216,0.151844,0.217133,0.197431,0.425528,0.127434,0.213764,0.266542,0.178458,0.355667,0.737989,0.558199,0.141092,0.260456,0.254263,-34.3264,-41.6513,-42.8117,-48.3328,-41.7998,-41.6186,-55.5955,-42.6532,-41.9474,-46.6774,-53.7205,-47.2179,-36.0056,-43.1387,-45.3723,-43.2098,-38.2957,-35.9653,-47.2655,-44.4121,-37.5994,-46.7516,-36.1589,-51.9759,-40.8958,-43.5156,-36.6616,-41.4824,-31.5532,-42.5573,-40.7373,-42.7224,-47.829,-58.5545,-36.9801,-40.4493,-35.28,-41.748,-48.2239,-52.8141,-60.0125,-54.8984,-53.6657,-53.9275,-38.6096,-33.2483,-45.1772,-42.8894,-47.7303,-36.9596,-40.0624,-46.1055,-42.7339,-36.5926,-50.8418,-29.9498,-47.3882,-55.6636,-51.0316,-35.0619,-43.6438,-49.5919
-2678.58,0.932752,0.122561,5,31,0,2704.46,87.8758,30.7489,190.582,38.7156,161.123,72.1303,46.0889,21.0849,53.6978,27.0769,158.51,163.631,27.1625,31.1132,95.8224,0.117584,-0.292283,-2.12441,-1.76032,-1.80245,-0.614217,-2.18098,-1.70158,-1.43901,-1.61726,0.0372571,0.0209393,-0.701391,-1.30467,-1.35827,-1.99316,-1.51319,0.882973,0.746557,0.119504,0.17199,0.164894,0.541065,0.112931,0.182395,0.237163,0.198441,1.03796,1.02116,0.495895,0.271263,0.257104,0.136265,-33.4515,-42.1087,-43.9409,-49.1588,-41.702,-41.3329,-54.9374,-43.368,-42.7759,-45.2254,-55.4526,-45.5446,-36.3219,-46.3918,-44.8557,-43.2255,-38.5377,-36.8782,-47.8272,-43.469,-38.1302,-46.5885,-35.88,-52.5028,-42.9249,-44.4917,-36.0797,-40.8222,-32.2278,-43.0314,-39.3843,-41.2038,-47.1259,-58.2192,-37.6236,-41.0033,-35.1622,-42.1555,-47.2541,-54.6228,-60.5782,-53.7585,-54.3481,-50.066,-38.895,-33.2708,-45.5308,-41.7864,-47.4333,-37.8733,-41.5226,-44.9651,-41.4197,-36.1665,-50.5539,-28.7697,-45.9437,-56.0188,-49.1108,-34.0491,-42.6658,-48.4237
-2672.49,0.977112,0.122561,5,31,0,2691.7,81.2973,31.6823,189.76,38.924,173.639,56.3911,45.7964,20.8811,55.4712,40.7537,126.498,144.616,30.0361,32.7603,70.7061,0.119442,-0.390762,-1.3758,-1.37951,-1.65603,0.323282,-2.13417,-1.71662,-1.37258,-1.45316,-0.149415,-0.401744,-0.691149,-1.2143,-1.55188,-0.964283,-1.1484,0.545686,0.676541,0.252636,0.251703,0.190895,1.38165,0.118343,0.179672,0.253452,0.233831,0.861212,0.669152,0.501,0.296918,0.21185,0.381256,-35.4765,-40.8589,-44.4964,-49.8198,-42.3662,-40.0907,-56.607,-42.8755,-40.5092,-45.1297,-53.0155,-45.6277,-35.1631,-41.7972,-45.0652,-42.7354,-37.8892,-37.1275,-46.7469,-44.1394,-37.9387,-46.6542,-36.5812,-51.4818,-42.5756,-43.6084,-37.2533,-40.6982,-35.8548,-43.4971,-40.8439,-42.3271,-49.2118,-58.102,-37.8907,-40.7815,-35.8778,-41.4012,-47.0067,-54.1287,-59.6962,-51.9867,-52.3887,-50.0448,-38.564,-33.8724,-45.1701,-42.7033,-47.4041,-37.9349,-41.813,-45.5435,-42.6852,-37.1591,-49.8427,-28.4907,-47.0384,-56.8766,-49.0057,-34.914,-42.7054,-47.855
-2666.92,0.952058,0.122561,6,127,0,2691.13,54.0748,26.9882,194.625,30.734,102.121,55.5484,62.9952,18.931,58.7836,32.4031,110.889,120.193,31.2229,28.3138,45.0115,0.154812,-1.66956,-1.74727,-1.28101,-1.5785,-2.11653,-2.19442,-1.1073,-1.28335,-1.42764,-0.571922,-0.697932,-1.01742,-1.70327,-1.52946,-1.8361,-1.33351,0.420194,0.18833,0.174249,0.277756,0.206284,0.120449,0.111423,0.330451,0.277106,0.239874,0.564439,0.497613,0.361525,0.182086,0.216653,0.159438,-35.1784,-41.7325,-43.6112,-49.4062,-41.9766,-40.3188,-56.0472,-42.9757,-40.4625,-45.1666,-52.4966,-46.1331,-35.6067,-42.7292,-45.5832,-42.3154,-38.2107,-37.001,-46.6334,-44.1175,-37.2725,-46.3542,-35.6497,-51.7632,-42.3217,-44.354,-37.1733,-40.5813,-32.6761,-42.8921,-40.0717,-41.7806,-49.7065,-58.7997,-37.3783,-41.0647,-35.4078,-41.7882,-47.4573,-55.7865,-61.721,-52.35,-52.0264,-51.2213,-37.9687,-33.1359,-44.0242,-41.6441,-47.5305,-36.5683,-41.5746,-45.306,-43.046,-37.002,-50.2538,-29.022,-46.8432,-55.3552,-49.7524,-35.1926,-43.1675,-49.0641
-2668.45,0.912004,0.122561,5,31,0,2688.22,50.7486,27.1582,199.84,30.9452,95.7425,59.043,61.5787,20.4376,53.5179,28.539,116.495,121.581,30.2347,31.9209,36.752,0.148967,-0.932598,-1.88847,-1.25837,-1.60928,-1.98025,-2.11367,-1.26218,-1.26381,-1.57351,-0.581653,-0.816884,-0.902786,-0.942055,-1.42445,-1.56042,-1.46594,0.371942,0.39353,0.151303,0.284118,0.200033,0.138034,0.120794,0.283035,0.282574,0.207317,0.558974,0.441806,0.405438,0.389826,0.24064,0.210048,-34.3092,-41.7009,-44.166,-49.0132,-41.926,-40.9225,-56.8573,-43.8976,-40.0071,-45.5096,-53.6576,-46.0373,-35.6693,-42.5325,-44.9454,-41.8874,-38.8311,-37.0312,-46.7753,-44.5376,-37.245,-47.0437,-35.7043,-51.7787,-42.2758,-45.0438,-36.9345,-41.1308,-32.6169,-43.3348,-40.3816,-42.0152,-49.2646,-59.119,-37.3194,-40.3149,-35.2503,-42.0691,-47.6779,-55.9563,-60.1958,-52.9169,-53.2214,-50.6525,-38.7699,-32.8888,-44.5921,-42.0288,-47.6687,-36.7539,-40.9009,-45.3976,-42.2317,-36.4153,-50.2017,-28.8995,-47.2755,-55.4787,-48.5398,-34.8369,-43.1062,-48.9019
-2672.44,0.992792,0.122561,5,31,0,2681.06,37.4765,31.8683,164.78,41.3901,91.7069,64.9541,52.1401,18.6328,53.5598,31.7301,90.3926,104.901,16.7143,30.3805,101.864,0.16023,-1.57085,-1.28571,-1.64874,-1.43375,-1.9716,-2.03362,-1.2426,-1.44319,-1.58577,-0.0554246,-0.834073,-1.21666,-2.17584,-1.46452,-1.59164,-1.5366,0.704663,0.207869,0.276455,0.192293,0.238412,0.139234,0.130861,0.288634,0.236173,0.20479,0.946083,0.434277,0.296219,0.113512,0.231189,0.203591,-34.6523,-41.7335,-43.1931,-50.1367,-42.2875,-41.5089,-56.0238,-43.954,-42.2778,-46.3988,-52.4054,-45.9147,-36.5926,-43.9074,-44.9817,-42.7155,-38.9848,-36.6279,-48.0299,-43.5002,-37.4415,-47.5838,-36.6608,-52.2159,-41.3935,-43.7912,-37.1407,-41.3893,-32.9133,-43.0036,-39.7332,-42.2665,-48.1324,-58.54,-37.8495,-39.4846,-35.7459,-41.5421,-47.3187,-53.8059,-58.7336,-54.0066,-53.6237,-52.1308,-37.5884,-33.643,-45.0297,-41.9794,-46.6952,-37.3891,-41.4373,-45.346,-41.3373,-36.8311,-49.948,-28.2104,-45.9609,-56.5603,-48.0962,-35.7383,-43.6134,-47.6113
