# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_Ka_Kb_Kgamma_EPs_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 92968331
# output
#   file = output_cal_pl_Ka_Kb_Kgamma_EPs_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma.1,gamma.2,gamma.3,gamma.4,gamma.5,gamma.6,gamma.7,gamma.8,gamma.9,gamma.10,gamma.11,gamma.12,gamma.13,gamma.14,gamma.15,mu_gamma,sigma_gamma,log_a.1,log_a.2,log_a.3,log_a.4,log_a.5,log_a.6,log_a.7,log_a.8,log_a.9,log_a.10,log_a.11,log_a.12,log_a.13,log_a.14,log_a.15,log_b.1,log_b.2,log_b.3,log_b.4,log_b.5,log_b.6,log_b.7,log_b.8,log_b.9,log_b.10,log_b.11,log_b.12,log_b.13,log_b.14,log_b.15,mu_a,sigma_a,mu_b,sigma_b,a.1,a.2,a.3,a.4,a.5,a.6,a.7,a.8,a.9,a.10,a.11,a.12,a.13,a.14,a.15,b.1,b.2,b.3,b.4,b.5,b.6,b.7,b.8,b.9,b.10,b.11,b.12,b.13,b.14,b.15,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.0776686
# Diagonal elements of inverse mass matrix:
# 0.118155, 0.0172628, 0.307841, 0.0445718, 0.433212, 0.0125316, 0.0260238, 0.0818998, 0.0149883, 0.0222173, 0.0602252, 0.333963, 0.248121, 0.018551, 0.377954, 0.338859, 0.304135, 0.155399, 0.474328, 0.172183, 0.295992, 0.264641, 0.599926, 0.403679, 0.24226, 0.337817, 0.109814, 0.434189, 0.531548, 0.498966, 1.36671, 0.117481, 0.247157, 0.0464409, 0.0242696, 0.204141, 0.177121, 0.0255572, 0.0599051, 0.882055, 0.117849, 0.437134, 0.188246, 0.729775, 0.801357, 0.10309, 0.3967, 0.835268, 0.887931, 0.791093, 0.843999, 0.836492, 0.720367, 0.790215, 0.662989, 0.98595, 1.25431, 0.842705, 1.03337, 1.59626, 0.729274, 1.48987, 0.0460291, 0.0803096, 0.594763, 0.767321
-2623.7,0.996332,0.0776686,6,63,0,2653.84,86.4431,36.4017,259.926,51.6596,105.087,79.818,56.9088,27.0819,60.8078,28.3281,161.813,244.622,27.1828,36.7997,82.6987,0.167653,0.12126,0.0896929,0.111957,0.0953477,0.0912465,0.0684159,0.0590653,0.114802,0.0814945,0.0352583,0.0465471,0.147385,0.171817,0.194378,-1.95618,0.619325,2.40665,-2.63913,-1.87738,-3.4028,-2.84163,-3.53976,-4.27282,-3.06266,-5.42274,-0.193978,0.456488,0.55455,-0.674448,-3.7454,-1.55829,0.724287,0.741355,0.728204,0.714523,0.732236,0.724457,0.719807,0.7483,0.727204,0.731761,0.727495,0.720233,0.719635,0.731243,0.727965,-3.08503,2.43654,0.728033,0.00941267,11.0968,0.0714232,0.15299,0.0332798,0.0583306,0.0290202,0.0139424,0.0467633,0.00441503,0.823676,1.57852,1.74116,0.509437,0.0236262,0.210496,2.06326,2.09878,2.07136,2.04321,2.07973,2.06361,2.05404,2.1134,2.06929,2.07874,2.06989,2.05491,2.05368,2.07766,2.07086,-33.9405,-40.1881,-43.148,-49.3755,-42.743,-40.3739,-55.8593,-41.7986,-41.1901,-51.1925,-52.0954,-46.2614,-33.9901,-39.7681,-45.7477,-42.1984,-37.8551,-34.1731,-46.0266,-42.4629,-35.3165,-46.2347,-35.6042,-51.4089,-41.0749,-43.3812,-37.4619,-40.4552,-33.8928,-43.1753,-39.4526,-42.1117,-49.0755,-58.2605,-36.5449,-39.0489,-34.3792,-40.376,-45.9827,-52.0383,-59.8799,-52.8737,-53.167,-49.5961,-38.0452,-31.7799,-43.4837,-41.9788,-46.1717,-36.9703,-39.6335,-45.7214,-42.897,-36.0863,-47.9611,-28.5103,-46.6672,-56.6621,-50.4634,-34.8271,-42.5719,-49.6684
-2608.39,0.397121,0.0776686,6,127,0,2647.03,79.0885,35.5357,184.877,29.1188,155.477,72.5276,59.5348,22.9034,47.5825,40.6139,141.817,202.876,36.334,30.9688,71.9894,0.0629253,0.134051,0.186939,0.104277,0.134721,0.0416493,0.269619,0.0700223,0.153286,0.102035,0.106374,0.0520629,0.188105,0.11221,0.181056,-1.87449,0.567836,-1.2913,-2.17423,-3.3164,-5.38948,-0.853033,-3.76939,-1.18274,-1.43918,-4.16927,0.980766,1.75704,0.216207,-3.36883,-4.18555,-0.990942,0.7881,0.807545,0.777857,0.764228,0.793752,0.78934,0.780565,0.80593,0.795722,0.794965,0.788758,0.818581,0.761867,0.798503,0.786779,-1.794,2.23024,0.79119,0.0142533,0.274914,0.113696,0.0362831,0.00456432,0.426121,0.0230661,0.306438,0.237121,0.0154635,2.6665,5.79526,1.24136,0.03443,0.0152138,0.371227,2.19921,2.2424,2.1768,2.14734,2.21168,2.20194,2.18271,2.23878,2.21604,2.21436,2.20066,2.26728,2.14227,2.22221,2.19631,-35.2431,-41.9984,-44.9458,-50.3688,-41.6947,-38.4256,-56.1355,-42.6817,-39.2864,-45.6945,-50.1428,-46.4934,-34.5544,-43.1582,-45.6836,-42.4359,-37.83,-35.381,-46.4194,-42.1017,-36.5823,-46.9078,-35.5824,-48.7242,-40.7176,-42.5606,-37.7455,-40.2335,-31.9902,-43.7699,-38.5903,-42.1266,-50.0826,-57.6596,-37.9013,-39.632,-35.6737,-40.8411,-47.0708,-51.5533,-57.4019,-51.6948,-53.2255,-48.9885,-37.9989,-32.9647,-44.9043,-41.0071,-44.2706,-36.8513,-40.3139,-46.0441,-43.5038,-37.3081,-48.5186,-28.1488,-46.3332,-54.2923,-49.0935,-35.2232,-43.3921,-49.46
-2612.18,0.754913,0.0776686,6,63,0,2640.67,119.877,34.0596,252.038,43.2582,159.109,78.8397,62.2231,21.2184,62.834,32.6413,180.504,255.78,24.5716,38.637,53.5648,0.101336,0.165709,0.144246,0.147399,0.079564,0.219618,0.178416,0.223534,0.26195,0.107969,0.0633317,0.059113,0.0562898,0.191379,0.0625856,-1.83986,0.74003,2.44387,-2.9195,-2.61477,-4.5196,-1.94742,-4.11368,-2.94339,-2.25013,-2.8619,3.98788,1.63166,2.78943,-4.91013,-3.2225,-3.69831,0.825966,0.802831,0.804015,0.825962,0.816807,0.81755,0.828833,0.841143,0.830319,0.815249,0.824226,0.793588,0.775678,0.816776,0.860499,-2.22499,3.32046,0.817603,0.0156132,11.5175,0.0539609,0.0731849,0.0108933,0.142642,0.0163475,0.0526869,0.105386,0.0571601,53.9406,5.11237,16.2717,0.0073715,0.0398554,0.0247654,2.28409,2.23185,2.23449,2.28408,2.26326,2.26494,2.29064,2.31902,2.29405,2.25974,2.28012,2.21132,2.17206,2.26319,2.36434,-33.5046,-41.6349,-43.2719,-50.2618,-41.434,-39.0491,-55.1063,-41.7923,-39.2688,-47.5372,-49.4088,-45.2084,-33.6555,-43.471,-45.2863,-41.9697,-38.0088,-34.9767,-46.9973,-41.7848,-36.3349,-45.5988,-35.0252,-51.2585,-43.3661,-43.423,-36.5738,-39.2116,-33.9442,-42.158,-37.2259,-41.5292,-48.3621,-58.1063,-36.8231,-40.3528,-34.5307,-40.3958,-45.3633,-52.0019,-59.8945,-54.2158,-52.2091,-52.7899,-37.9241,-31.5582,-45.384,-40.4763,-46.9009,-35.9035,-41.266,-46.345,-41.9051,-35.4819,-48.0277,-28.7703,-45.1197,-57.7345,-49.109,-34.5822,-42.8256,-48.6291
-2611.5,0.349137,0.0776686,6,63,0,2644.47,90.1548,31.9324,222.512,29.2254,102.317,76.3756,58.6324,16.9723,57.9085,40.2481,179.192,250.831,28.3988,38.0913,60.7599,0.131521,0.126516,0.0807838,0.0612089,0.123169,0.108925,0.0898591,0.116061,0.2808,0.082713,0.0993776,0.0482464,0.128673,0.374335,0.0490946,-1.76098,0.65171,-0.193204,-3.36132,-2.34022,-5.04267,-3.94367,-3.07688,-3.05549,-3.85359,-2.79646,-1.06633,2.97982,1.49257,-3.01962,-2.32276,-3.21035,0.815569,0.791247,0.802527,0.825331,0.806136,0.814865,0.8198,0.823076,0.806665,0.810412,0.813561,0.777995,0.829143,0.817238,0.79944,-1.81527,2.33583,0.816038,0.020095,0.824314,0.0346896,0.0963068,0.00645646,0.0193769,0.046103,0.0470995,0.0212035,0.0610255,0.344269,19.6842,4.44851,0.0488195,0.0980026,0.0403426,2.26046,2.20615,2.23117,2.28264,2.23924,2.25887,2.27005,2.2775,2.24042,2.24884,2.25593,2.1771,2.29135,2.26424,2.22429,-35.196,-40.0698,-44.0818,-49.6155,-42.5101,-39.2918,-55.7674,-41.6944,-39.2768,-46.2584,-49.8536,-45.735,-34.0836,-41.9114,-45.3792,-41.7853,-37.537,-35.4773,-46.3988,-42.7014,-35.7796,-46.4701,-34.9769,-49.0042,-41.4733,-44.1047,-37.2985,-40.5802,-33.0248,-43.2357,-38.9069,-42.6552,-50.1337,-57.7686,-37.3385,-39.4025,-34.8871,-40.6565,-46.5767,-52.5195,-58.4552,-52.4542,-52.4273,-49.9467,-38.6477,-32.0473,-44.9054,-41.4545,-45.6021,-36.5617,-40.6624,-46.19,-43.3,-36.5312,-48.7948,-29.3032,-46.4648,-56.5883,-49.9574,-35.3791,-42.553,-48.9778
-2614.18,0.656049,0.0776686,3,12,1,2647.72,87.2564,31.8112,226.58,31.0998,88.592,77.5663,56.4499,18.0919,63.8601,37.071,167.136,243.069,26.209,36.7373,47.5941,0.13709,0.148325,0.0920362,0.038132,0.103188,0.117165,0.0573797,0.079912,0.254387,0.0936614,0.125509,0.050832,0.171162,0.261651,0.0713309,-1.8606,0.789244,-0.448843,-3.46058,-2.01669,-5.6455,-4.12795,-3.39027,-3.33848,-4.22718,-3.22041,0.504364,3.84558,3.62376,-0.692023,-2.55651,-4.59355,0.805302,0.808006,0.817831,0.798829,0.802556,0.795047,0.798902,0.806715,0.812957,0.806111,0.816651,0.836992,0.791548,0.803238,0.791572,-1.818,2.63377,0.801397,0.0157874,0.638366,0.0314116,0.133095,0.00353337,0.0161159,0.0336995,0.0354909,0.0145935,0.0399385,1.65593,46.7858,37.4782,0.500563,0.0775747,0.0101169,2.23737,2.24343,2.26558,2.22294,2.23124,2.21454,2.2231,2.24054,2.25456,2.23918,2.26291,2.30941,2.20681,2.23276,2.20686,-33.8561,-40.6567,-43.4012,-48.9156,-42.4183,-40.4088,-56.0015,-41.8101,-40.5486,-47.4403,-50.803,-45.5913,-34.0745,-41.2489,-46.0706,-41.6295,-38.0557,-35.1165,-46.8141,-42.7465,-35.2584,-45.8563,-34.9573,-49.2192,-41.5283,-44.8876,-37.4938,-40.3575,-32.8152,-42.821,-38.9895,-41.8486,-49.5109,-58.326,-36.6646,-39.4438,-35.0795,-40.7704,-45.9349,-53.1226,-59.44,-53.3965,-53.0406,-51.3132,-37.2696,-31.6551,-44.4219,-41.6601,-47.0494,-35.0732,-40.1103,-46.5849,-42.5235,-36.0217,-48.0772,-28.7547,-46.6333,-57.1418,-49.9944,-34.5198,-42.6845,-49.0451
-2626.33,0.95099,0.0776686,6,63,0,2666.53,81.4515,53.7041,260.612,47.7515,196.844,104.87,60.1549,30.3581,58.1623,41.1628,188.963,250.41,43.4184,35.7169,76.4469,0.0556978,0.11231,0.207297,0.247842,0.0449503,0.172886,0.412839,0.0902904,0.105281,0.128606,0.00751193,0.0267215,0.0316465,0.0818674,0.0239535,-1.99223,1.80758,-2.14008,-0.15338,-1.93527,-1.21034,-0.157415,-2.0802,-1.78927,-1.49563,-4.54521,1.9083,1.07315,-0.179387,-0.403873,-3.08202,-2.24353,0.812116,0.786512,0.792564,0.787995,0.790708,0.828564,0.833958,0.840217,0.8143,0.821978,0.823222,0.830419,0.818673,0.820903,0.842803,-0.879955,1.3956,0.810873,0.0208727,0.117646,0.857804,0.144385,0.298097,0.854349,0.124905,0.167082,0.224107,0.0106179,6.74162,2.92459,0.835782,0.667729,0.0458666,0.106083,2.25267,2.19572,2.20905,2.19898,2.20496,2.29003,2.30241,2.31687,2.2576,2.275,2.27783,2.29428,2.26749,2.27255,2.32287,-33.6729,-42.2658,-42.1967,-49.1116,-41.3293,-38.7115,-55.996,-42.4118,-39.4881,-49.6559,-50.4692,-45.8299,-35.0554,-44.1514,-45.8578,-42.4852,-37.8147,-34.0626,-46.2988,-42.1675,-35.513,-46.3767,-36.914,-50.4306,-41.0419,-41.7221,-38.1277,-40.672,-34.3386,-43.0954,-38.1521,-42.3712,-49.5506,-57.8635,-37.187,-39.2806,-35.1973,-39.3754,-46.508,-49.836,-60.3117,-53.6705,-53.1698,-51.154,-40.8568,-32.6922,-44.1379,-42.14,-44.4794,-39.0647,-39.6534,-45.8776,-41.9047,-37.2343,-47.5284,-28.2615,-46.2021,-56.9667,-49.7866,-34.6229,-43.5254,-49.1509
