# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_pl_model
# method = sample (Default)
#   sample
#     num_samples = 500
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 94246324
# output
#   file = output_cal_pl_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,gamma,a,b,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.195541
# Diagonal elements of inverse mass matrix:
# 0.0228247, 0.0102116, 0.060324, 0.0212966, 0.0367221, 0.01591, 0.0215672, 0.0149966, 0.0135915, 0.0210432, 0.0200607, 0.019744, 0.0563783, 0.0182745, 0.123656, 0.0338587, 0.377486, 1.87316
-2673.2,0.992599,0.195541,4,15,0,2683.44,49.7055,31.3659,195.351,38.4276,99.9679,72.5199,51.8231,21.9093,58.4205,21.3844,86.5287,107.247,21.9356,32.0444,60.8172,0.123357,0.0630085,2.06816,-34.9083,-41.2655,-43.2332,-50.0287,-42.1275,-39.6061,-56.9007,-44.0851,-41.118,-47.8925,-52.1978,-46.9834,-35.616,-43.7596,-46.3895,-42.7002,-38.4062,-36.3318,-47.3769,-44.451,-37.7228,-47.367,-37.3606,-50.031,-42.2276,-44.5602,-37.2334,-42.2068,-32.8601,-43.444,-39.5197,-42.1649,-48.8229,-59.6427,-37.3622,-40.7044,-35.4937,-42.0714,-47.8682,-55.264,-60.907,-53.0137,-54.0821,-48.6235,-39.3786,-32.8513,-44.1358,-41.6751,-44.2888,-39.0809,-41.6492,-43.8413,-41.5022,-36.6564,-50.6535,-28.6402,-45.544,-56.756,-50.4542,-35.2044,-42.9546,-49.5034
-2676.65,0.953967,0.195541,4,15,0,2685.7,43.2884,29.1688,183.366,36.126,115.525,79.1707,49.1063,18.3284,52.8041,20.0886,71.547,77.058,28.9162,33.35,55.5731,0.0965631,0.0391035,2.10491,-35.1816,-41.1412,-43.175,-49.469,-42.6624,-40.1098,-57.2806,-44.4774,-41.4862,-47.6111,-52.5392,-47.0954,-36.4969,-44.4654,-45.9378,-42.6902,-38.8219,-36.4127,-48.2904,-43.8071,-37.7315,-48.1139,-37.8431,-47.0683,-41.8695,-44.1731,-37.7332,-41.6853,-32.992,-43.6003,-38.7657,-42.3677,-48.2717,-59.7428,-37.4845,-40.5526,-35.6374,-42.9637,-48.4326,-55.3329,-60.6633,-54.436,-55.3226,-49.4576,-38.4526,-32.6782,-44.7392,-41.6193,-44.784,-38.4515,-38.9785,-45.5566,-41.2267,-36.6706,-49.9997,-28.3835,-45.4085,-56.3952,-48.6382,-36.09,-44.0223,-49.9015
-2680.85,0.979841,0.195541,4,15,0,2687.49,41.0692,28.5957,182.414,33.728,122.302,82.7682,50.4543,19.6419,52.6193,19.816,67.6158,79.2271,28.7946,36.7061,58.9317,0.100556,0.0421028,2.14226,-35.3868,-41.1623,-43.3461,-49.7001,-42.9474,-40.4326,-57.2154,-44.2654,-41.5818,-47.8833,-52.3141,-47.1085,-36.5554,-44.0597,-45.8313,-42.9962,-38.8351,-36.5728,-48.4163,-43.6207,-37.9469,-48.1898,-38.0524,-47.268,-41.404,-43.9902,-37.5851,-41.9984,-32.8461,-43.4721,-38.6017,-42.8979,-48.2355,-59.8694,-37.6624,-40.6087,-35.7726,-43.0738,-48.7306,-54.8664,-60.0541,-54.9687,-55.4986,-50.1695,-38.8928,-32.8636,-45.2724,-41.4742,-44.2715,-38.4764,-38.9671,-45.6771,-41.0376,-36.8488,-50.359,-28.945,-45.7856,-56.2581,-48.4765,-36.3012,-44.3183,-49.8753
-2682.49,0.976541,0.195541,4,15,0,2691.23,59.5766,29.3653,175.518,35.5581,101.856,60.3079,46.0736,16.7108,54.0593,16.0805,92.8819,93.9317,24.024,27.935,65.2492,0.113126,0.0575542,2.00742,-34.8989,-41.705,-43.4919,-49.8626,-42.0042,-39.3743,-56.812,-43.8528,-41.7716,-46.6621,-52.3929,-47.8565,-35.3125,-42.369,-47.3623,-42.4219,-38.5569,-36.0996,-47.9428,-45.3944,-37.6096,-47.004,-37.2238,-48.0345,-42.993,-45.0384,-37.896,-42.3195,-32.701,-44.2911,-40.1585,-42.3485,-49.6139,-59.5876,-37.4249,-41.1074,-35.7208,-42.5268,-48.2174,-56.07,-61.1969,-52.6292,-54.3662,-47.7036,-39.0127,-32.7146,-43.6391,-41.877,-44.9659,-38.5616,-41.2579,-44.4571,-42.6119,-36.5872,-50.6495,-28.1139,-45.5205,-57.2068,-51.186,-34.7153,-43.4918,-50.2654
-2676.36,0.994344,0.195541,4,15,0,2689.61,56.2331,32.5924,194.047,38.8877,101.655,68.9156,46.5913,19.4844,50.3333,17.6436,86.0722,93.7204,25.6961,32.0152,67.996,0.109427,0.0296166,2.00545,-34.8344,-41.1266,-43.2551,-50.5307,-41.6008,-38.9263,-56.185,-43.8749,-41.6756,-47.5454,-52.3498,-47.0438,-35.4018,-45.0197,-46.6858,-42.9372,-37.9666,-36.0153,-47.5546,-44.507,-37.7966,-47.221,-37.4726,-48.911,-43.1271,-45.0412,-37.0455,-41.6715,-33.1141,-43.6244,-38.8776,-41.7055,-48.297,-59.8187,-37.1144,-41.3472,-35.3997,-42.2867,-47.8077,-56.9697,-61.5781,-52.8901,-55.467,-47.2646,-38.6851,-32.7822,-44.5088,-40.7748,-44.8565,-39.3956,-41.4789,-43.972,-41.793,-36.4036,-50.45,-28.2951,-44.8998,-56.8063,-50.5213,-34.9588,-42.9153,-49.6987
-2674.65,0.946705,0.195541,4,15,0,2683,54.8509,30.9744,176.714,36.2751,96.8637,80.7655,55.3118,20.2564,63.177,18.7536,75.4273,86.0337,26.6457,29.2667,78.3097,0.152023,0.0660203,2.06814,-34.8307,-42.0334,-41.9553,-49.716,-42.3763,-40.83,-56.7372,-44.0998,-42.8946,-47.597,-52.8174,-46.8195,-36.3422,-43.5829,-46.8251,-42.5435,-39.1911,-35.9673,-48.4237,-44.721,-37.0414,-47.1087,-37.2988,-48.7993,-41.2303,-44.7006,-37.6311,-41.6006,-32.4397,-43.3374,-39.0287,-42.0341,-47.9745,-59.7066,-37.0345,-40.1969,-35.6069,-42.5733,-48.0628,-55.5361,-62.7405,-55.0268,-54.4951,-50.8996,-37.8732,-32.6679,-43.5768,-41.9091,-45.5996,-37.5076,-40.2602,-45.0116,-40.8392,-36.7189,-50.0381,-28.3788,-45.3249,-55.6406,-49.6775,-35.5925,-44.1696,-49.2994
