# stan_version_major = 2
# stan_version_minor = 16
# stan_version_patch = 0
# model = cal_g_model
# method = sample (Default)
#   sample
#     num_samples = 200
#     num_warmup = 250
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = elicitation_neus_certainty_median.dump
# init = 2 (Default)
# random
#   seed = 91372356
# output
#   file = output_neus_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,phi.13,phi.14,phi.15,psi,gamma,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,log_lik.41,log_lik.42,log_lik.43,log_lik.44,log_lik.45,log_lik.46,log_lik.47,log_lik.48,log_lik.49,log_lik.50,log_lik.51,log_lik.52,log_lik.53,log_lik.54,log_lik.55,log_lik.56,log_lik.57,log_lik.58,log_lik.59,log_lik.60,log_lik.61,log_lik.62
# Adaptation terminated
# Step size = 0.404052
# Diagonal elements of inverse mass matrix:
# 0.0156623, 0.0123218, 0.0846489, 0.0285177, 0.051003, 0.0170292, 0.026656, 0.0164148, 0.0133238, 0.0285438, 0.0345286, 0.0238354, 0.0553597, 0.0177776, 0.125963, 0.0231336, 0.0145061
-2685.79,1,0.404052,3,7,0,2693.82,44.0442,29.7926,178.828,42.3643,95.3979,66.0424,56.6026,16.6121,58.8123,25.1232,80.1683,83.1494,20.5338,31.063,59.5148,0.271763,0.21599,-36.5243,-42.0377,-43.4012,-50.4196,-42.1261,-39.8157,-58.227,-45.3423,-41.6884,-46.9007,-52.5337,-45.4241,-36.5225,-44.1636,-45.9939,-42.3657,-39.2071,-36.2065,-47.8849,-45.8798,-37.3704,-48.5854,-37.2767,-51.4843,-42.8433,-46.0202,-37.6203,-41.3522,-33.1398,-43.8139,-39.6008,-41.859,-49.3117,-60.1921,-36.8919,-40.0775,-35.3499,-42.1478,-47.3499,-57.0022,-63.3325,-52.8927,-53.4445,-50.0003,-38.3091,-32.5067,-44.1307,-43.2413,-48.6605,-38.5445,-42.0624,-45.246,-41.3676,-36.4366,-49.6236,-27.0419,-45.3588,-57.7305,-48.3559,-36.1521,-43.2481,-47.3161
-2687,0.936247,0.404052,3,15,0,2692.23,61.7174,30.9316,189.857,30.6721,111.304,75.1209,46.1394,20.8785,63.374,17.4828,82.8082,88.5188,36.787,28.1408,78.833,0.287615,0.17364,-35.5071,-42.8249,-43.0628,-49.7874,-41.9071,-40.0633,-56.5196,-43.619,-43.0989,-46.7093,-53.3752,-46.3687,-36.1617,-42.5909,-46.257,-42.8437,-38.591,-36.331,-48.0609,-46.193,-37.5651,-46.9743,-38.0066,-49.7012,-42.5002,-45.1548,-37.4751,-42.1903,-33.6703,-43.5424,-39.536,-42.1886,-49.1798,-59.4205,-37.0885,-41.4362,-35.8218,-42.6542,-49.1107,-55.678,-64.2045,-53.5474,-53.3731,-50.1372,-39.0293,-32.9178,-43.5004,-42.2531,-47.5287,-39.7608,-40.6052,-45.4278,-41.6764,-37.9348,-50.1846,-28.4572,-46.2523,-57.1257,-48.973,-35.2566,-43.8527,-47.9188
-2687.99,0.903163,0.404052,3,15,0,2695.95,69.0661,33.2846,186.457,46.6867,108.929,71.8483,71.2215,18.7598,63.0515,22.3182,84.4647,109.234,30.3743,33.747,51.4456,0.304066,0.204256,-35.9976,-41.9327,-42.9524,-51.4769,-42.105,-39.9626,-57.1189,-43.699,-41.6002,-47.2541,-52.6859,-45.4066,-35.4357,-42.2642,-46.5705,-43.6003,-38.4986,-36.4653,-46.7747,-45.5862,-37.5711,-46.8809,-37.8297,-52.904,-43.5213,-45.4015,-37.5806,-41.3689,-34.4399,-43.3343,-39.3623,-41.8709,-49.7369,-59.7715,-36.998,-41.563,-35.3363,-41.6286,-47.331,-56.5762,-65.4318,-52.5388,-52.1395,-50.2971,-39.3408,-33.4401,-43.4941,-41.8301,-47.9059,-39.7322,-44.1521,-44.3391,-42.2106,-37.2841,-50.4519,-27.9925,-45.651,-57.373,-50.3307,-35.1023,-43.4145,-47.7574
-2685.8,0.987376,0.404052,3,15,0,2696.28,62.2704,31.3164,195.119,41.5848,84.3836,79.023,61.9736,17.9656,61.8033,25.7004,72.9917,93.1925,29.6753,33.337,64.9901,0.281385,0.204565,-35.8935,-42.2065,-42.9172,-50.2563,-42.2107,-40.0351,-57.6143,-44.6861,-42.1491,-47.6372,-52.4314,-44.9358,-36.3179,-43.7176,-46.0745,-43.328,-38.9627,-36.6875,-47.5494,-45.0382,-37.2863,-48.1363,-38.073,-50.8152,-42.6181,-44.853,-37.1783,-41.3636,-34.5043,-43.1776,-38.6937,-41.9721,-48.4476,-60.145,-37.0417,-40.7948,-35.563,-42.2141,-47.8841,-55.69,-65.3512,-53.6024,-53.0894,-50.9614,-38.6147,-33.1514,-44.2702,-42.5912,-47.5959,-39.7498,-42.3023,-45.1106,-40.976,-37.7431,-49.9665,-27.6672,-45.4111,-56.8466,-48.904,-36.2639,-43.4884,-47.1883
-2682.83,0.94663,0.404052,3,7,0,2690.32,57.1711,33.4507,188.517,44.1832,121.988,79.0598,54.5388,19.6354,66.3064,19.236,97.7135,100.595,24.1029,32.4498,55.315,0.318714,0.214365,-35.6431,-42.282,-42.2775,-50.9399,-42.0518,-40.3932,-57.0705,-43.8179,-42.0982,-46.7955,-53.0637,-45.5317,-35.7604,-42.6159,-46.1498,-42.2871,-38.9418,-35.8309,-47.8192,-45.8014,-37.2999,-46.59,-37.3215,-52.8934,-43.5174,-45.9599,-37.4271,-41.5147,-33.1737,-43.5126,-38.8958,-41.6534,-49.9309,-59.4133,-36.5184,-40.9048,-35.3052,-41.7627,-47.5311,-57.8335,-65.2111,-53.4827,-52.9599,-50.7012,-38.7005,-32.7778,-43.1581,-42.3654,-48.2938,-39.2714,-43.2746,-44.7428,-41.1817,-36.5347,-50.2641,-27.761,-45.0631,-58.3864,-49.1026,-34.52,-43.4881,-47.6949
-2685.38,0.768172,0.404052,3,15,0,2691.25,67.1242,34.0939,194.962,40.3177,110.921,88.7035,61.6873,21.2235,61.4844,23.8532,88.093,107.098,38.3521,32.379,67.1463,0.296688,0.183474,-35.513,-41.7267,-42.1804,-50.8322,-41.7639,-40.5112,-56.7318,-43.4975,-42.3785,-47.1528,-53.1198,-45.2514,-36.3207,-43.0945,-45.781,-43.2962,-38.6813,-36.949,-47.008,-44.7134,-37.8703,-46.8861,-38.3708,-51.7089,-43.0434,-44.2561,-36.855,-41.9129,-34.958,-42.9314,-38.6092,-41.774,-48.7656,-59.3263,-37.4188,-41.6093,-35.529,-42.1593,-48.4415,-55.4794,-65.0129,-53.9343,-52.8038,-50.775,-40.1162,-33.8234,-43.7721,-41.8108,-46.6745,-41.3388,-42.7556,-44.4536,-41.299,-38.2748,-50.4007,-28.8439,-45.7638,-56.2313,-49.0421,-35.5505,-43.6746,-47.5503
-2689.32,0.843586,0.404052,3,7,0,2697.31,67.6835,30.7258,195.141,37.8833,131.689,93.5752,68.4352,18.5338,65.187,22.788,91.0346,105.812,31.0923,28.8314,48.4352,0.345776,0.19099,-35.5122,-42.672,-41.9041,-49.9682,-42.4995,-41.1112,-57.7322,-44.1033,-42.2043,-46.7368,-53.2303,-45.5604,-36.613,-42.5651,-46.2851,-42.5935,-39.592,-36.8157,-48.1806,-44.4788,-37.4157,-46.6748,-37.7619,-50.9823,-42.1973,-44.2494,-37.4434,-41.7914,-34.319,-43.2396,-38.3733,-41.7558,-50.0038,-59.4749,-37.3508,-40.8056,-35.5439,-42.16,-48.2445,-55.7416,-64.995,-54.849,-52.5525,-51.6699,-40.4419,-33.3679,-43.2789,-42.5695,-46.3515,-40.0397,-42.7546,-44.7108,-41.2,-37.8706,-50.9336,-28.9816,-45.165,-57.1623,-49.4331,-35.1098,-44.1189,-48.4011
-2692.18,0.851527,0.404052,3,7,0,2702.47,66.4171,38.4658,211.987,43.8358,135.243,73.3386,48.8153,25.118,68.3307,22.7222,93.033,106.264,30.9926,26.7368,119.084,0.301647,0.191123,-36.5748,-42.7211,-42.1504,-51.4942,-40.9353,-40.199,-56.2981,-43.6622,-43.9036,-47.2524,-53.9261,-45.9421,-36.3465,-45.1243,-46.0713,-42.9002,-38.6218,-35.9724,-47.298,-46.6322,-37.8007,-46.9849,-37.7515,-53.4004,-43.4446,-46.5663,-37.2654,-41.4925,-34.4265,-43.3123,-39.7208,-40.8557,-48.9863,-59.3016,-36.6021,-41.4391,-35.4986,-41.6254,-47.7979,-57.2135,-64.7447,-52.4166,-53.0315,-49.2669,-38.7868,-32.9871,-43.2919,-42.7039,-49.1957,-40.3776,-43.113,-44.2913,-42.4839,-37.4241,-49.8893,-28.0019,-45.6415,-57.7297,-49.6687,-35.095,-42.8667,-46.6512
-2690.51,0.994055,0.404052,3,7,0,2699.36,54.7229,30.516,202.108,42.588,123.031,91.242,66.9973,17.3401,71.9785,24.2129,87.9244,98.981,30.2894,39.4935,43.6325,0.325197,0.212754,-36.1659,-42.4627,-42.7826,-50.1294,-43.1332,-40.4917,-57.8516,-44.3935,-41.589,-47.5889,-52.4313,-45.1965,-36.3221,-42.8319,-45.5485,-42.6277,-39.2164,-36.3195,-48.3582,-44.9308,-37.0864,-47.2453,-37.7615,-51.7973,-42.3362,-45.0946,-37.2933,-41.2149,-33.6778,-43.5942,-38.4412,-42.6616,-50.3001,-59.6983,-36.8117,-40.128,-35.5554,-42.0961,-47.7097,-56.551,-66.1691,-54.4282,-52.4837,-53.2546,-39.1241,-32.6294,-43.4487,-42.7582,-48.1785,-38.7052,-41.7265,-45.9801,-40.9382,-37.044,-50.0497,-28.2653,-46.0162,-58.4253,-48.4335,-35.4121,-44.0651,-48.116
-2689.45,0.997231,0.404052,3,7,0,2698.82,51.1471,32.1142,216.601,38.6252,129.304,84.6145,55.3856,17.8746,69.631,21.9725,104.928,118.505,38.9807,31.13,70.0496,0.351648,0.199555,-35.5958,-43.1991,-42.4944,-50.4956,-42.2106,-39.7898,-56.7468,-43.6796,-41.9885,-46.8202,-52.5664,-46.0395,-36.2154,-43.346,-45.9518,-42.391,-38.8786,-36.8282,-47.9344,-45.3861,-37.6243,-46.4483,-37.3254,-53.9673,-42.4534,-44.8858,-38.0774,-41.7499,-33.473,-43.9228,-38.9188,-42.086,-50.6183,-59.2969,-37.2974,-39.9617,-35.6808,-41.8094,-48.5795,-56.0807,-64.3417,-53.009,-52.1787,-51.0912,-39.6316,-32.9541,-42.984,-42.3203,-46.7154,-39.8321,-43.4507,-44.8033,-41.7738,-37.5871,-51.5302,-28.5757,-46.0655,-58.3638,-49.7097,-34.5638,-44.0784,-47.7983
-2689.21,0.937276,0.404052,4,15,0,2702.05,77.2453,33.8618,220.175,41.2958,118.879,82.0542,60.8268,21.907,68.4045,27.621,97.4153,125.213,21.7312,32.7997,65.1443,0.325491,0.189055,-35.998,-42.173,-42.4301,-50.1608,-41.572,-39.7916,-57.4352,-44.0273,-41.6008,-47.7024,-52.3323,-45.1268,-35.7345,-43.7037,-46.5717,-42.8568,-38.5792,-36.7028,-47.1804,-44.9131,-37.3837,-47.0532,-37.6048,-53.3887,-43.0455,-45.2341,-37.3066,-42.0174,-34.5556,-42.9685,-38.8405,-41.5699,-49.8044,-59.6766,-36.8923,-41.2927,-35.3067,-41.2304,-47.7277,-56.2373,-65.2836,-52.6841,-52.1037,-50.2876,-40.4105,-33.2012,-43.9344,-42.6636,-46.7708,-40.5214,-44.9005,-44.0535,-41.7843,-37.7217,-51.464,-28.6696,-45.3741,-58.3273,-50.9566,-35.0576,-42.9696,-47.1818
-2690.69,0.969936,0.404052,3,7,0,2696.27,77.0963,35.7753,204.35,49.0314,125.305,93.3141,47.8827,21.5746,73.0274,23.6308,87.3149,97.2545,35.174,33.8142,88.7684,0.311753,0.184056,-36.0229,-41.9573,-41.4968,-50.7969,-41.9238,-41.0316,-56.7749,-43.5618,-43.7463,-47.6969,-53.6109,-45.3439,-36.5481,-43.4334,-45.6482,-42.9561,-38.9941,-36.0473,-48.0478,-45.3804,-37.5055,-46.8812,-38.5979,-50.8766,-43.7049,-45.4807,-36.819,-41.1976,-34.8796,-43.2576,-38.5246,-41.6208,-48.8347,-59.1952,-36.5256,-41.5147,-35.6709,-42.2302,-47.7803,-56.5303,-67.2477,-54.1301,-52.9007,-52.0978,-38.1224,-33.2053,-43.2118,-42.8835,-49.3437,-40.6727,-41.6264,-45.6875,-41.403,-37.7934,-49.2465,-27.7874,-45.3405,-57.8152,-48.639,-35.4755,-43.5335,-47.2202
